sample_index,temperature_K,potential_energy_eV
0,5.076009178901652,-451.9226379394531
1,115.25586714774322,-452.9834899902344
2,282.4262672453527,-454.72869873046875
3,404.25699262566457,-456.2922058105469
4,468.6394264856102,-457.3704528808594
5,491.0950811650585,-457.91839599609375
6,557.4865007404924,-458.54010009765625
7,546.5378017183411,-458.5315246582031
8,508.21973086562633,-458.14886474609375
9,507.83634600400785,-458.2055358886719
10,510.6975102596661,-458.6279296875
11,550.4189442330832,-459.4839782714844
12,516.5498671674732,-459.32733154296875
13,480.5718913515012,-459.2928771972656
14,440.21787784584006,-459.0016784667969
15,424.9748983746079,-458.7615661621094
16,407.5239967751388,-458.7085266113281
17,399.98373288930645,-458.8106994628906
18,400.59305928485304,-458.90936279296875
19,439.9412118305222,-459.4555969238281
20,476.34712166777587,-459.6816711425781
21,466.0761220493581,-459.6545715332031
22,439.91606755069085,-459.4892272949219
23,467.9725602006416,-459.9675598144531
24,449.4127243717828,-460.1001892089844
25,459.45438084228323,-460.3809509277344
26,435.32005615296805,-460.2456970214844
27,430.9298964629127,-460.08953857421875
28,426.572886938734,-460.22900390625
29,443.74036955191565,-460.30291748046875
30,413.637353316719,-460.4903869628906
31,414.01050876842663,-460.4329833984375
32,398.1537819172839,-460.39105224609375
33,390.11871481857867,-460.5472412109375
34,408.7782222479303,-460.6744689941406
35,395.11572896266296,-460.6826171875
36,411.6279271817492,-460.8923034667969
37,407.0383833544023,-460.8653259277344
38,433.03733466458,-461.0570068359375
39,409.0721151042092,-460.7221374511719
40,461.2414585376851,-461.2271423339844
41,426.46379696357616,-460.84869384765625
42,480.0322940175448,-461.419189453125
43,394.47073298926,-460.77105712890625
44,420.3640850944634,-461.0797424316406
45,380.89518521208953,-460.7564392089844
46,404.32363983409124,-460.92877197265625
47,368.2211436285677,-460.5862121582031
48,383.92667718936406,-460.88336181640625
49,373.618038503532,-461.0391845703125
50,391.78077335742194,-461.2491760253906
51,423.6839253109635,-461.5399169921875
52,411.37171949916427,-461.6784362792969
53,397.06953153139415,-461.9058837890625
54,391.4683589042361,-461.7185363769531
55,400.59727800936895,-461.8772277832031
56,352.9372819291072,-461.2716979980469
57,388.765227565354,-461.7351379394531
58,334.9382908059996,-461.0418701171875
59,356.04526901757066,-461.1077880859375
60,319.7691395534957,-460.3578796386719
61,374.40887077657766,-460.942626953125
62,360.59136477993286,-460.8189697265625
63,411.9491318384233,-461.4925842285156
64,403.90199539185454,-461.56573486328125
65,421.05217350042227,-461.859130859375
66,411.50685036578693,-461.69598388671875
67,415.6990650742034,-461.652587890625
68,433.778698963502,-461.5623474121094
69,427.0962470343042,-461.6777648925781
70,417.31288784488623,-461.48114013671875
71,400.65338193220276,-461.4944763183594
72,379.29756224424426,-461.4708251953125
73,399.89308931587226,-461.7799072265625
74,415.8290533254058,-462.10693359375
75,385.2682506779414,-462.0124206542969
76,403.0204823435498,-462.3176574707031
77,380.2079303082242,-462.0496520996094
78,409.5511130190089,-462.4963684082031
79,391.4792965183466,-462.2247314453125
