r_angstrom,g_oo
0.025,0.0
0.07500000000000001,0.0
0.125,0.0
0.17500000000000002,0.0
0.225,0.0
0.275,0.0
0.325,0.0
0.375,0.0
0.42500000000000004,0.0
0.47500000000000003,0.0
0.525,0.0
0.5750000000000001,0.0
0.625,0.0
0.675,0.0
0.7250000000000001,0.0
0.775,0.0
0.8250000000000001,0.0
0.875,0.0
0.925,0.0
0.9750000000000001,0.0
1.0250000000000001,0.0
1.075,0.0
1.125,0.0
1.175,0.0
1.225,0.0
1.2750000000000001,0.0
1.3250000000000002,0.0
1.375,0.0
1.425,0.0
1.475,0.0
1.5250000000000001,0.0
1.5750000000000002,0.0
1.625,0.0
1.675,0.0
1.725,0.0
1.7750000000000001,0.0
1.8250000000000002,0.0
1.875,0.0
1.925,0.0
1.975,0.0
2.025,0.0
2.075,0.0
2.125,0.0
2.1750000000000003,0.0
2.225,0.0
2.275,0.0
2.325,0.0
2.375,0.0
2.4250000000000003,0.03653679212227589
2.475,0.0
2.5250000000000004,0.37070105360880623
2.575,0.842505571122711
2.625,1.6526129601052317
2.6750000000000003,2.011782982291824
2.725,3.038156812830727
2.7750000000000004,2.232121919185091
2.825,2.369188784000898
2.875,1.9235785333692665
2.9250000000000003,1.9588300688233273
2.975,1.8449880275379942
3.0250000000000004,1.5966585643970754
3.075,1.386096589449939
3.125,1.2760916013153694
3.1750000000000003,1.1083317755646156
3.225,1.3221308414772917
3.2750000000000004,0.8413575221313877
3.325,0.9134156720385107
3.375,0.9054147873672269
3.4250000000000003,1.1355975267124847
3.475,1.227703158139645
3.5250000000000004,0.89916418731863
3.575,1.0591131427426828
3.625,1.2590083298475165
3.6750000000000003,1.002258533756542
3.725,1.1458639747672874
3.7750000000000004,1.1157109821415092
3.825,1.0573615596416577
3.875,1.0302508532633325
3.9250000000000003,1.0181164114864723
3.975,1.1150478035060523
4.025,1.2731904247342085
4.075,1.1645045329920003
4.125,1.0228006921343622
4.175,1.0600818325773775
4.2250000000000005,1.2156872093038718
4.275,1.1756597827656166
4.325,0.918907219294982
4.375,1.1337548533854005
4.425,1.2838468262052347
4.4750000000000005,1.1265672448813038
4.525,0.9549005101841502
4.575,0.9649383273725233
4.625,0.8437420854519647
4.675,0.9437607309198267
4.7250000000000005,1.077874746865746
4.775,1.1967704829628771
4.825,0.9505971096964986
4.875,1.1210535163111968
4.925000000000001,0.8415211503119616
4.9750000000000005,0.9549055447749887
5.025,0.9359969921198567
5.075,1.0177512340405315
5.125,0.8998266383970098
5.175000000000001,0.9948437526601143
5.2250000000000005,1.1411672850067904
5.275,1.019255123972085
5.325,1.3260280916206315
5.375,1.249413645196041
5.425000000000001,1.3359970673695423
5.4750000000000005,1.082337237314747
5.525,1.1684158062904115
5.575,0.9539887276404545
5.625,0.7605484213884706
5.675000000000001,0.9006497584970924
5.7250000000000005,0.9308747763228414
5.775,0.9663649774512113
5.825,0.8738585245046356
5.875,0.8528226484337469
5.925000000000001,0.8140082973070499
5.9750000000000005,0.8365518830887179
