rep,threshold,coverage_ratio_selected_scores,covered_cells,total_cells
0,0.1,0.99,99,100
0,0.25,0.99,99,100
0,0.5,0.99,99,100
0,0.75,0.99,99,100
0,0.9,0.9,90,100
1,0.1,0.99,99,100
1,0.25,0.99,99,100
1,0.5,0.99,99,100
1,0.75,0.98,98,100
1,0.9,0.88,88,100
2,0.1,1.0,100,100
2,0.25,0.99,99,100
2,0.5,0.99,99,100
2,0.75,0.98,98,100
2,0.9,0.6,60,100
3,0.1,1.0,100,100
3,0.25,0.99,99,100
3,0.5,0.99,99,100
3,0.75,0.97,97,100
3,0.9,0.82,82,100
4,0.1,1.0,100,100
4,0.25,1.0,100,100
4,0.5,1.0,100,100
4,0.75,1.0,100,100
4,0.9,0.97,97,100
5,0.1,0.98,98,100
5,0.25,0.98,98,100
5,0.5,0.98,98,100
5,0.75,0.97,97,100
5,0.9,0.95,95,100
6,0.1,1.0,100,100
6,0.25,1.0,100,100
6,0.5,1.0,100,100
6,0.75,0.99,99,100
6,0.9,0.99,99,100
7,0.1,1.0,100,100
7,0.25,1.0,100,100
7,0.5,1.0,100,100
7,0.75,1.0,100,100
7,0.9,1.0,100,100
8,0.1,0.99,99,100
8,0.25,0.98,98,100
8,0.5,0.98,98,100
8,0.75,0.98,98,100
8,0.9,0.78,78,100
9,0.1,1.0,100,100
9,0.25,1.0,100,100
9,0.5,1.0,100,100
9,0.75,0.99,99,100
9,0.9,0.98,98,100
