cell_id,combined_p_no_response,combined_p_response,repetition
0,0.04669547167649757,0.9533045283235024,0
1,0.12538076023429726,0.8746192397657028,0
2,0.11425326441691003,0.8857467355830899,0
3,0.03149108031051625,0.9685089196894837,0
4,0.028436385286310883,0.9715636147136891,0
5,0.130141632859184,0.869858367140816,0
6,0.0264464874729636,0.9735535125270364,0
7,0.04874808412940615,0.9512519158705939,0
8,0.05856376471921506,0.9414362352807849,0
9,0.04998580893473215,0.9500141910652679,0
10,0.08747515869330907,0.9125248413066909,0
11,0.035106632703630576,0.9648933672963694,0
12,0.030359475954416574,0.9696405240455834,0
13,0.027117969730033154,0.9728820302699669,0
14,0.015868519481715533,0.9841314805182845,0
15,1.898330943621968e-08,0.9999999810166905,0
16,0.08747515869330906,0.912524841306691,0
17,0.06376943107471562,0.9362305689252843,0
18,0.14105335330451024,0.8589466466954898,0
19,0.01836142663529197,0.9816385733647081,0
20,0.04701779488323208,0.9529822051167679,0
21,0.056434216032380906,0.9435657839676191,0
22,0.06718357643817888,0.9328164235618212,0
23,0.0385604980560868,0.9614395019439133,0
24,0.06560637175358021,0.9343936282464198,0
25,0.01275098728326913,0.9872490127167308,0
26,0.05622122490618035,0.9437787750938197,0
27,0.027646485190366613,0.9723535148096334,0
28,0.059506902930376276,0.9404930970696237,0
29,0.022668418373692958,0.9773315816263071,0
30,0.061696792262480045,0.93830320773752,0
31,0.032788246508517006,0.967211753491483,0
32,0.008405193400345644,0.9915948065996544,0
33,0.045549586991185484,0.9544504130088145,0
34,0.02892583968177228,0.9710741603182277,0
35,0.0460669578559462,0.9539330421440538,0
36,0.03238344695500919,0.9676165530449908,0
37,0.05077923427187382,0.9492207657281262,0
38,0.015565160684422612,0.9844348393155774,0
39,0.062482248845525556,0.9375177511544744,0
40,0.05333035391668843,0.9466696460833116,0
41,0.028925839681772272,0.9710741603182277,0
42,0.020984487208467892,0.9790155127915321,0
43,0.22039576536018182,0.7796042346398182,0
44,0.039988664254043835,0.9600113357459562,0
45,0.02438420961417517,0.9756157903858248,0
46,0.046487944695823166,0.9535120553041768,0
47,0.021426544579405436,0.9785734554205946,0
48,0.037789295112976504,0.9622107048870235,0
49,0.05623404567355911,0.943765954326441,0
50,0.08330965934197554,0.9166903406580245,0
51,0.027665089369900392,0.9723349106300996,0
52,0.07713855975126888,0.9228614402487312,0
53,0.13389048956660532,0.8661095104333947,0
54,0.03826166884793937,0.9617383311520606,0
55,0.06641133343699339,0.9335886665630067,0
56,0.019352540946464464,0.9806474590535356,0
57,0.054647062941643454,0.9453529370583565,0
