candidate_name,design_track,No.,Glass (kPa)_10s,retro_mean,retro_std,nn_dist,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm
INT-1,Interpolative search,INT-1,,128.72204183776972,9.037425144635941,0.024120402871613687,0.1255610086918254,0.5848298247304394,0.08974044303102126,0.07836074055554243,0.10512712778414515,0.016380855207026302
INT-2,Interpolative search,INT-2,,126.51181795751026,11.139905927091622,0.0894317162545351,0.10942777300331885,0.5799348218766215,0.029200496906282805,0.09041495275156959,0.1504736437235101,0.0405483117386973
INT-3,Interpolative search,INT-3,,121.43030768548267,9.746310458201984,0.0987663775929969,0.13352221927083047,0.5134892903782033,0.1562588313741492,0.07595636275967889,0.10524892790192836,0.015524368315209742
INT-4,Interpolative search,INT-4,,120.01853419732979,10.213918369197943,0.06698607209195945,0.12104564675894416,0.5218596195241368,0.08834713433982436,0.14533181646618848,0.10199750854421087,0.021418274366695328
GPRFR-1,Measured frontier,GPRFR-1,238.20712432177402,123.84736672035703,14.323303297572263,0.35584021437181457,0.0,0.48451258787893264,0.0,0.060700692151103144,0.45478647504419284,0.0
GPRFR-2,Measured frontier,GPRFR-2,304.60014154281674,103.56560869528766,19.818045829292327,0.32843552735823756,0.0,0.5301078450090368,0.0,0.0500926869726537,0.3697016062106456,0.050097791441497265
GPRFR-3,Measured frontier,GPRFR-3,253.19179051663127,117.79590851405821,10.347358707469915,0.21307468663631818,0.0,0.5706106704507212,0.0,0.14944086180721236,0.20982239211675183,0.0701261674416365
GPRFR-4,Measured frontier,GPRFR-4,146.24203821656047,89.48780969363126,15.048235879255499,0.2183556094757345,0.0,0.6796300844191252,0.0,0.23033092595743287,0.0900391617164726,0.0
HIST-1,Historical optimizer,HIST-1,,136.9087367163655,16.65307244664553,0.2862940294544062,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0
HIST-2,Historical optimizer,HIST-2,,136.9087367163655,16.65307244664553,0.2862940294544062,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0
HIST-3,Historical optimizer,HIST-3,,136.85931318217357,15.626139459738193,0.27377809702387496,0.0,0.5881002724572348,0.0,0.09387710903197888,0.3180226185107864,0.0
HIST-4,Historical optimizer,HIST-4,,131.37078644790873,16.95472604744088,0.2841521186177929,0.0,0.5697701241069648,0.0,0.10015256785522626,0.330077308037806,0.0
