No.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_10s,Glass (kPa)_60s,Steel (kPa)_10s,Steel (kPa)_60s,Q,Phase Seperation,Modulus (kPa),Tanδ,Slope,Log_Slope,G'',XlogP3,feature_sum,is_holdout
G-001,0.5187030996297279,0.19930214833259108,0.09476832310244172,0.18722642893523825,0.0,0.0,22.363765038924274,,,,2.515456000000001,1.0,5599.0,0.0105,1.0,,58.789500000000004,-0.3133557183360619,0.999999999999999,False
G-002,0.42178707272479005,0.4062137461445382,0.17199918113067175,0.0,0.0,0.0,12.569002123142251,,,,0.238328,0.0,19219.0,0.1573,84.42814271423809,0.11659186344364714,3023.1486999999997,0.5252238952657209,1.0,False
G-003,0.5368643097418104,0.10837528063313279,0.1840671899149181,0.17069321971013868,0.0,0.0,10.927105449398443,,,,2.9038056296296286,1.0,4555.0,,1.9073024341447151,0.01494220234868233,,-0.3969259926288726,1.0,False
G-004,0.2163563060405009,0.1994740702224794,0.0881418434484952,0.17430278490590836,0.32172499538261606,0.0,126.82236376503893,,,,1.1910160000000003,1.0,8866.0,0.148,45.628542847615876,0.13090681558247894,1312.168,0.38459513044044935,1.0,False
G-005,0.11982103312688624,0.4100782635726174,0.1918131069994494,0.18716702427784399,0.09112057202320299,0.0,109.27105449398444,,33.85704175513093,,1.1033703703703706,1.0,7136.0,0.1024,25.035011670556855,0.09580937142957065,730.7264,0.30477564110839206,1.0,False
G-006,0.23359972043322955,0.2999268066669277,0.46647347289984264,0.0,0.0,0.0,7.19037508846426,,60.58032554847841,,0.2962962962962963,0.0,13350.0,0.0988,43.30110036678893,0.09096949887870766,1318.98,0.4751298196846271,0.9999999999999999,False
G-007,0.5083477338623493,0.22245732419009484,0.10150779687566042,0.16768714507189547,0.0,0.0,39.97169143665959,,,,2.2999680000000002,1.0,6240.0,0.00755733,2.6375458486162056,0.014700212911616778,47.1577392,-0.22365413696286934,1.0,False
G-008,0.4279597500148048,0.3820111115391019,0.09970859608637408,0.09032054235971926,0.0,0.0,77.5654635527247,,,,0.5120000000000002,1.0,12158.0,0.1422,46.70556852284095,0.1069565102018121,1728.8675999999998,0.24047760738737908,1.0,False
G-009,0.44303394698918414,0.17691555573758633,0.38005049727322954,0.0,0.0,0.0,11.040339702760084,,,,0.33329303703703705,1.0,21207.0,0.0739,43.034344781593866,0.06317142022807716,1567.1972999999998,0.21106050104204177,1.0,False
G-010,0.638621162720913,0.11451410258815117,0.08572782173699028,0.0763537893540844,0.08478312359986119,0.0,76.9992922859165,,,,0.5927039999999999,1.0,10703.0,0.0719,20.2434144714905,0.0609914255246587,769.5457,-0.041057200082559225,1.0000000000000002,False
