feature,importance
Tail_end_1_y,0.08529985981962132
Tail_end_1_x,0.0696550783967857
Tail_base_1_x,0.04624434758361143
Tail_end_2_x,0.04244522280763489
Tail_end_2_y,0.03533025550877582
Tail_base_1_y,0.034030477085654966
Center_1_x,0.033913015839754576
Center_1_y,0.03285305952577206
Lat_right_1_x,0.032429453119101996
Tail_base_2_x,0.03105089667991874
Tail_base_2_y,0.030834048386868658
Lat_left_1_x,0.028784402765934948
Nose_2_y,0.027026895821283634
Ear_right_2_y,0.026406881800450217
Lat_right_2_y,0.025872435808098723
Nose_1_x,0.02585537268731131
Lat_right_1_y,0.025239012613880115
Ear_left_1_x,0.02337104965134991
Lat_left_2_x,0.02096088266802328
Center_2_x,0.020718699060470382
Ear_left_2_x,0.020650605167323692
Center_2_y,0.020631952339118638
Ear_right_2_x,0.02054556090655506
Lat_left_1_y,0.020355859621589117
Ear_right_1_x,0.0192007819281811
Ear_left_2_y,0.01803454499556925
Lat_right_2_x,0.017333076907459482
Nose_1_y,0.017180697859104095
Nose_2_x,0.016835027764637852
Lat_left_2_y,0.016609039236166603
Ear_right_1_y,0.016035996633832966
Ear_left_1_y,0.014077777360921825
Tail_end_1_p,0.00781974975481693
Tail_end_2_p,0.007533214965269269
Lat_right_2_p,0.0074477775395884035
Center_2_p,0.00707064407173406
Ear_left_1_p,0.00603703371995664
Lat_right_1_p,0.006019135909091666
Nose_2_p,0.005780832464185451
Lat_left_1_p,0.005388049980743702
Ear_right_1_p,0.005245603989832479
Center_1_p,0.004621958433612268
Tail_base_1_p,0.004076164443639161
Lat_left_2_p,0.0037610952198459105
Nose_1_p,0.003691892167124248
Ear_right_2_p,0.0035561118580711014
Tail_base_2_p,0.0031096141546753157
Ear_left_2_p,0.0030288529770511295
