hex_id,lat,lon,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,lcoh_prod_strong_de-risking,delivered_strong_de-risking,tech_strong_de-risking,lcoe_strong_de-risking,lcoh_prod_moderate_de-risking,delivered_moderate_de-risking,tech_moderate_de-risking,lcoe_moderate_de-risking,lcoh_prod_no_de-risking,delivered_no_de-risking,tech_no_de-risking,lcoe_no_de-risking
hex_000,-19.712527417328438,21.42667018270944,148.1040023836202,99.32873897912859,401.94869598655094,209.80741851465152,2.2062,3.8062,PV,18.8694,2.6953,4.2953,PV,23.3386,3.4214,5.0214,PV,29.9896
hex_001,-23.73345872297537,24.54513625407894,164.2124173809309,107.64313184893224,403.1165214670598,176.4293997201662,1.7343,3.3343,PV,14.7825,2.1174,3.7174,PV,18.2838,2.6863,4.2863,PV,23.4943
hex_002,-18.69682496106341,15.561555013934127,25.688858679272826,17.689641590834682,238.2976785700376,63.933817239716994,2.5087,4.1087,PV,21.5196,3.0664,4.6664,PV,26.6166,3.8946,5.4946,PV,34.2018
hex_003,-20.631583651287634,16.186435884488162,106.87281353179937,66.93030108114688,149.00878280554892,242.2167352237675,2.0437,3.6437,PV,17.4711,2.4966,4.0966,PV,21.6092,3.1689,4.7689,PV,27.7674
hex_004,-27.869871825348206,17.57378135786131,15.195472596163658,13.920513195117783,349.6854701288347,216.0451032366615,1.9143,3.5143,PV,16.3365,2.3377,3.9377,PV,20.2058,2.9664,4.5664,PV,25.9641
hex_005,-17.292531780358928,13.652599027179999,126.02775071490714,80.99657107173759,301.13095579381485,223.00028115508482,1.8158,3.4158,PV,15.481,2.217,3.817,PV,19.1476,2.8128,4.4128,PV,24.6044
hex_006,-19.866323576115764,12.818901074696603,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,1.7849,3.3849,PV,15.2453,2.18,3.78,PV,18.8561,2.7667,4.3667,PV,24.2298
hex_007,-19.567228336676553,17.65986896716307,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,1.7674,3.3674,PV,15.0943,2.1586,3.7586,PV,18.6694,2.7395,4.3395,PV,23.9899
hex_008,-27.46263640789345,14.176730886712377,30.333727092025153,87.51235910013904,338.58742899357145,278.63095254691973,2.0503,3.6503,PV,17.5049,2.504,4.104,PV,21.651,3.1777,4.7777,PV,27.8211
hex_009,-23.595368745253197,20.377395925555145,148.97292018353946,92.46905153820119,125.48262700606045,122.28556717835748,2.0796,3.6796,PV,17.7876,2.5407,4.1407,PV,22.0005,3.2252,4.8252,PV,28.2703
hex_010,-24.550423709209024,17.12012686421263,46.7952772915371,13.82117256875169,422.19778623486286,93.77986407537722,1.7551,3.3551,PV,14.9776,2.1433,3.7433,PV,18.5251,2.7197,4.3197,PV,23.8044
hex_011,-17.878820133816777,22.657494744809725,231.6544290023153,110.00540957137534,116.02705300250129,149.13229337870234,2.0035,3.6035,PV,17.1279,2.4474,4.0474,PV,21.1846,3.1066,4.7066,PV,27.2219
hex_012,-21.273618559032023,20.803711428031487,147.35997922659678,28.395464916490816,64.01349026105385,200.54494276525682,2.3464,3.9464,PV,20.1119,2.8677,4.4677,PV,24.8754,3.6417,5.2417,PV,31.9644
hex_013,-19.12686064075004,15.373132979348576,89.98310211103508,5.452094184965394,375.6895757349587,286.9088608288561,2.2992,3.8992,PV,19.662,2.8088,4.4088,PV,24.319,3.5655,5.1655,PV,31.2494
hex_014,-23.67902961407203,22.651637219532816,149.7742954129471,67.02744385758652,77.44509931477738,89.50163693020623,2.2212,3.8212,PV,19.0231,2.7142,4.3142,PV,23.5288,3.4463,5.0463,PV,30.234
hex_015,-26.273135338582676,22.266701004955227,10.586948402275887,45.13975177963021,88.8780555894052,277.818486647048,1.8329,3.4329,PV,15.6534,2.2386,3.8386,PV,19.3609,2.841,4.441,PV,24.8784
hex_016,-22.344982555809985,16.42469730642244,239.8470072441541,99.74497943275716,273.72842826917116,12.333549958945614,1.915,3.515,PV,16.38,2.3396,3.9396,PV,20.2595,2.97,4.57,PV,26.0331
hex_017,-28.234192926749895,15.036593455023418,123.16434205101055,97.18192517565191,394.80729796848436,168.7834224864133,1.7919,3.3919,PV,15.2839,2.1881,3.7881,PV,18.9039,2.7763,4.3763,PV,24.2911
hex_018,-19.068425936089014,20.554937055649656,196.77013067632012,38.739528245903124,96.43125291441223,192.02265794592012,2.0689,3.6689,PV,17.6993,2.5277,4.1277,PV,21.8914,3.2088,4.8088,PV,28.13
hex_019,-21.420027210535224,12.956534770530338,25.268849980997448,114.39502801329965,146.5424160760417,36.23973410647223,1.9116,3.5116,PV,16.3455,2.3352,3.9352,PV,20.2169,2.9643,4.5643,PV,25.9784
hex_020,-19.902947118975515,13.798714834651516,124.23129105534929,35.61922273867412,352.05812882611815,46.400181133854225,1.8034,3.4034,PV,15.406,2.2027,3.8027,PV,19.0549,2.7956,4.3956,PV,24.4851
