Country,mean_cri,mean_slr,high_risk_pct,very_high_pct,n_points
American Samoa,5.0,10.300000000000002,100.0,100.0,5
Cayman Islands,5.0,8.642857142857144,100.0,100.0,35
Comoros,5.0,8.677777777777779,100.0,100.0,3
Guam,5.0,9.533333333333333,100.0,100.0,8
Palau,5.0,8.524731182795698,100.0,100.0,31
Mayotte,5.0,8.533333333333333,100.0,100.0,41
Samoa,5.0,10.183333333333334,100.0,100.0,10
Tuvalu,5.0,9.166666666666666,100.0,100.0,1
Wallis and Futuna,5.0,9.4,100.0,100.0,4
Solomon Islands,4.9972972972972975,7.983063063063064,100.0,100.0,370
Belize,4.947565543071161,10.829962546816478,100.0,100.0,267
Fiji,4.896551724137931,8.362382445141066,100.0,100.0,319
Jamaica,4.844827586206897,8.047701149425286,100.0,100.0,58
"Micronesia, Federated States of",4.82,8.968333333333335,100.0,100.0,100
Vanuatu,4.714285714285714,7.690476190476191,100.0,100.0,7
French Polynesia,4.576923076923077,8.206410256410257,96.15384615384616,80.76923076923077,26
Tonga,4.5,8.650000000000002,100.0,100.0,10
Cuba,4.353703703703704,8.476851851851851,99.72222222222223,95.55555555555556,1080
Nicaragua,4.138743455497382,7.986387434554974,95.54973821989529,59.16230366492147,382
United States,4.0436974789915965,9.87781512605042,96.38655462184875,93.27731092436974,1190
Philippines,4.022090729783037,9.923418803418803,98.57988165680473,71.71597633136095,2535
Honduras,4.013986013986014,9.07027972027972,71.32867132867133,65.03496503496503,286
Bahamas,4.001282051282051,8.68982905982906,100.0,100.0,780
Marshall Islands,4.0,8.733333333333333,100.0,100.0,1
Saint Martin (French part),4.0,7.733333333333334,100.0,100.0,7
Martinique,4.0,7.236073059360731,100.0,100.0,73
Barbados,4.0,8.1,100.0,100.0,4
Aruba,4.0,8.366666666666667,100.0,100.0,12
Antigua and Barbuda,4.0,7.132407407407407,100.0,100.0,72
ANT,4.0,8.299999999999999,100.0,100.0,31
Hong Kong,4.0,7.751111111111111,100.0,100.0,15
Grenada,4.0,8.093333333333334,100.0,100.0,45
Saint Vincent and the Grenadines,4.0,8.0,100.0,100.0,1
"Virgin Islands, U.S.",4.0,8.287878787878789,100.0,100.0,11
"Virgin Islands, British",4.0,8.333333333333334,100.0,100.0,6
Saint Lucia,4.0,7.633333333333334,100.0,100.0,16
Saint Kitts and Nevis,4.0,7.366666666666667,100.0,100.0,4
Seychelles,4.0,8.753333333333332,100.0,100.0,30
Anguilla,4.0,7.733333333333334,100.0,100.0,7
Australia,3.992096814028155,7.863480694821766,81.79797480859472,73.20326006421338,4049
Madagascar,3.9660633484162897,8.17530165912519,97.85067873303167,72.62443438914026,884
Timor-Leste,3.935483870967742,8.231182795698926,100.0,93.54838709677419,31
