Country,mean_cri,mean_slr,high_risk_pct,very_high_pct,n_points
American Samoa,5.0,14.666666666666668,100.0,100.0,5
Cayman Islands,5.0,13.02,100.0,100.0,35
Comoros,5.0,13.144444444444444,100.0,100.0,3
Guam,5.0,13.266666666666667,100.0,100.0,8
Palau,5.0,13.366666666666667,100.0,100.0,31
Mayotte,5.0,12.966666666666669,100.0,100.0,41
Samoa,5.0,14.633333333333335,100.0,100.0,10
Tuvalu,5.0,12.700000000000001,100.0,100.0,1
Wallis and Futuna,5.0,13.766666666666666,100.0,100.0,4
Solomon Islands,4.9972972972972975,12.7,100.0,100.0,370
Belize,4.947565543071161,15.338202247191012,100.0,100.0,267
Fiji,4.896551724137931,13.473040752351096,100.0,100.0,319
Jamaica,4.844827586206897,12.48735632183908,100.0,100.0,58
"Micronesia, Federated States of",4.82,13.625666666666667,100.0,100.0,100
Vanuatu,4.714285714285714,13.60952380952381,100.0,100.0,7
French Polynesia,4.576923076923077,12.337179487179489,96.15384615384616,80.76923076923077,26
Tonga,4.5,13.566666666666668,100.0,100.0,10
Cuba,4.353703703703704,12.456018518518519,99.72222222222223,95.55555555555556,1080
Nicaragua,4.138743455497382,12.37434554973822,95.54973821989529,59.16230366492147,382
Australia,4.056804149172636,12.754581378118054,81.79797480859472,73.20326006421338,4049
United States,4.0436974789915965,14.372689075630252,96.38655462184875,93.27731092436974,1190
Philippines,4.022090729783037,14.198303747534519,98.57988165680473,71.71597633136095,2535
Honduras,4.013986013986014,13.447202797202797,71.32867132867133,65.03496503496503,286
Bahamas,4.001282051282051,12.300726495726497,100.0,100.0,780
Saint Martin (French part),4.0,12.066666666666668,100.0,100.0,7
Martinique,4.0,11.255707762557076,100.0,100.0,73
Marshall Islands,4.0,13.566666666666668,100.0,100.0,1
ANT,4.0,12.740860215053765,100.0,100.0,31
Antigua and Barbuda,4.0,11.460185185185187,100.0,100.0,72
Aruba,4.0,12.85,100.0,100.0,12
Dominica,4.0,11.0,100.0,100.0,9
Grenada,4.0,12.461481481481481,100.0,100.0,45
Saint Vincent and the Grenadines,4.0,12.0,100.0,100.0,1
"Virgin Islands, U.S.",4.0,12.57878787878788,100.0,100.0,11
"Virgin Islands, British",4.0,12.644444444444446,100.0,100.0,6
Saint Lucia,4.0,11.6,100.0,100.0,16
Saint Kitts and Nevis,4.0,11.633333333333335,100.0,100.0,4
Seychelles,4.0,13.180000000000001,100.0,100.0,30
Barbados,4.0,12.0,100.0,100.0,4
Hong Kong,4.0,12.051111111111112,100.0,100.0,15
Guadeloupe,4.0,10.981666666666667,100.0,100.0,100
Anguilla,4.0,12.066666666666668,100.0,100.0,7
Madagascar,3.9660633484162897,12.32420814479638,97.85067873303167,72.62443438914026,884
Timor-Leste,3.935483870967742,13.095698924731185,100.0,93.54838709677419,31
United Arab Emirates,3.923076923076923,11.736651583710408,99.09502262443439,93.21266968325791,221
Mauritius,3.923076923076923,11.605128205128207,100.0,92.3076923076923,26
Mexico,3.921584263689527,13.5486531986532,87.71929824561403,76.04997341839447,3762
Japan,3.913978494623656,13.55483870967742,97.84946236559139,93.54838709677419,93
"Tanzania, United Republic of",3.864734299516908,12.466666666666669,100.0,85.99033816425121,414
Sudan,3.85,12.053333333333335,100.0,85.0,40
Papua New Guinea,3.8295096716149346,12.082141250562303,91.5429599640126,75.12370670265408,2223
Guatemala,3.7846153846153845,12.964615384615385,100.0,78.46153846153847,130
Viet Nam,3.7272,12.205546666666667,96.24000000000001,76.48,1250
Mozambique,3.705503931379557,12.609459137479153,87.3481057898499,74.69621157969979,1399
Cambodia,3.684887459807074,12.384244372990354,97.7491961414791,70.7395498392283,311
Puerto Rico,3.6551724137931036,12.586590038314176,100.0,65.51724137931035,87
Turks and Caicos Islands,3.6153846153846154,12.716666666666669,100.0,61.53846153846154,26
China,3.57396449704142,12.485305719921106,94.37869822485207,63.01775147928994,338
Trinidad and Tobago,3.5675675675675675,12.582882882882883,100.0,56.75675675675676,74
Bangladesh,3.525524337158686,13.108785120696478,88.6030866640285,63.94934705184012,2527
Dominican Republic,3.471830985915493,12.281220657276995,99.29577464788733,47.88732394366197,142
Haiti,3.4464285714285716,12.738988095238096,87.5,55.35714285714286,112
Eritrea,3.088757396449704,12.105522682445761,63.905325443786985,44.97041420118343,169
Egypt,3.0113636363636362,11.897727272727273,95.45454545454545,5.681818181818182,88
"Taiwan, Province of China",3.0,12.95438596491228,61.40350877192983,36.84210526315789,57
Bahrain,2.9574468085106385,11.907801418439716,95.74468085106383,0.0,47
"Venezuela, Bolivarian Republic of",2.9472025216706066,12.477278697136855,84.94877856579984,9.771473601260835,1269
Saudi Arabia,2.8848484848484848,11.800404040404041,78.98989898989899,9.494949494949495,495
El Salvador,2.8783783783783785,12.07454954954955,80.4054054054054,7.4324324324324325,148
Indonesia,2.8611051386798536,12.571688286867818,48.86404357485845,30.588403927470797,13953
Qatar,2.8595041322314048,11.933333333333332,80.16528925619835,5.785123966942149,121
Guyana,2.611111111111111,12.457407407407407,61.111111111111114,0.0,198
Malaysia,2.6016632016632015,12.290880110880112,50.27027027027027,9.896049896049897,2405
Thailand,2.581589958158996,13.104351464435148,46.10878661087866,12.05020920502092,1195
New Caledonia,2.539192399049881,12.985431512272367,51.306413301662715,2.6128266033254155,421
"Iran, Islamic Republic of",2.514018691588785,11.626947040498443,37.850467289719624,13.551401869158877,214
Myanmar,2.464697738809414,12.282110444546992,41.393631748961695,5.0761421319796955,2167
Panama,2.4552332912988653,12.251744430432955,41.36191677175284,4.16141235813367,793
French Guiana,2.42911877394636,12.441123882503193,42.911877394636015,0.0,261
Kenya,2.402061855670103,12.316151202749142,30.927835051546392,9.278350515463918,194
India,2.375409836065574,11.739057377049182,32.5,5.204918032786885,2440
Yemen,2.3661971830985915,12.242253521126761,36.61971830985916,0.0,71
Suriname,2.3358490566037737,12.515471698113208,33.58490566037736,0.0,265
Brazil,2.3328993862748746,12.280540574049967,20.848056537102476,12.441882090384974,5377
Oman,2.2941176470588234,11.826797385620916,22.54901960784314,6.862745098039216,102
Sri Lanka,2.1517412935323383,12.74402985074627,14.676616915422885,0.4975124378109453,402
Colombia,2.0670103092783507,12.40381443298969,3.814432989690722,1.8556701030927836,970
Brunei Darussalam,2.0185185185185186,12.47037037037037,1.8518518518518516,0.0,54
Costa Rica,2.009009009009009,12.314114114114114,0.45045045045045046,0.45045045045045046,222
Gabon,2.0,12.888568935427575,0.0,0.0,764
Ghana,2.0,12.764361702127662,0.0,0.0,188
Djibouti,2.0,12.20215053763441,0.0,0.0,31
Equatorial Guinea,2.0,12.67093023255814,0.0,0.0,86
Guinea,2.0,12.057331821617536,0.0,0.0,882
