cell,reference_pseudotime,trajectory_bin,embedding_1,embedding_2,annotated_age,phase,state,batch
0,0.13794984610070773,Q3,11.271975,1.7049696,6.933333332999999,S,cycling,1
1,0.28688119233870657,Q8,9.786067,1.9558742,16.26666667,G2,cycling,1
2,0.13455157071498738,Q3,11.309623,3.4523437,2.666666667,G0,arrested,1
3,0.09385504853446766,Q1,13.313704,0.4983148,0.26666666699999997,G1,cycling,1
4,0.09337114669763864,Q1,11.554534,1.2218279,12.8,G2,cycling,1
5,0.16357637105410924,Q5,10.327097,1.0533292,10.13333333,S,cycling,1
6,0.08830751781099148,Q1,12.013432,0.7906821,4.533333333,G1,cycling,1
7,0.1896457131884505,Q6,10.322746,2.1564257,18.66666667,G2,cycling,1
8,0.18927209516117238,Q6,10.169342,1.1314826,1.6,G1,cycling,1
9,0.15785101816931515,Q4,11.33654,1.2252294,15.46666667,G1,cycling,1
10,0.12957134192423944,Q2,13.428454,3.2965045,5.066666667,G1,cycling,1
11,0.12058214690632725,Q2,13.301178,3.012362,6.4,G1,cycling,1
12,0.12310279419156621,Q2,11.667823,2.1014197,0.26666666699999997,G1,cycling,1
13,0.17052726340420601,Q5,10.297082,3.3251748,7.733333332999999,S,cycling,1
14,0.12891886793457955,Q2,11.947519,0.3080188,5.333333333,S,cycling,1
15,0.11878270117878927,Q2,12.099038,1.4220214,8.533333333,S,cycling,1
16,0.1600089339093694,Q4,13.289112,2.1070375,9.333333332999999,S,cycling,1
17,0.2445006706749435,Q8,9.8602915,2.2725499,16.26666667,G2,cycling,1
18,0.22308773174563787,Q7,10.587011,1.3490468,18.13333333,G2,cycling,1
19,0.1552667834434491,Q4,12.8934965,3.052323,4.8,G1,cycling,1
20,0.12662921613714678,Q2,12.425743,3.3791897,3.4666666669999997,G1,cycling,1
21,0.11705647961689293,Q1,12.061721,2.152802,6.933333332999999,G1,cycling,1
22,0.13606394583438083,Q3,11.546122,0.800529,7.2,S,cycling,1
23,0.059072416665769234,Q1,12.910126,0.91799676,16.8,S,cycling,1
24,0.19442691662084777,Q7,10.730004,1.198733,20.0,G2,cycling,1
25,0.13172313774134797,Q2,11.792641,1.9035773,10.93333333,S,cycling,1
26,0.11650559563247304,Q1,12.487798,1.7091296,4.8,G1,cycling,1
27,0.16777182336670501,Q5,10.949751,4.0794735,8.0,S,cycling,1
28,0.16483955909238987,Q5,12.845064,2.1523242,9.6,S,cycling,1
29,0.08820713014878669,Q1,13.3953905,0.9751455,5.6,S,cycling,1
30,0.21757194638161823,Q7,9.875777,5.047408,5.066666667,G1,cycling,1
31,0.08355405539817456,Q1,14.3164835,1.8694404,4.266666667,G1,cycling,1
32,0.1499973373645226,Q4,15.184164,7.718834,18.93333333,G0,arrested,1
33,0.12597437465934908,Q2,11.46161,3.9547172,5.8666666670000005,G1,cycling,1
34,0.1269239976469944,Q2,12.339668,0.2695024,8.0,S,cycling,1
35,0.10231015751374264,Q1,14.289266,2.4864335,7.2,S,cycling,1
36,0.11968039014073484,Q2,13.864638,2.5297706,10.93333333,S,cycling,1
37,0.1745684274930289,Q6,10.322085,3.27234,4.266666667,G1,cycling,1
38,0.17885525067808758,Q6,10.707191,2.6427767,13.86666667,G2,cycling,1
