scenario,time,bus,carrier,curtailment_mw
high_wind,0,Bus1,onshore wind,7246.8951
high_wind,0,Bus2,onshore wind,9370.833
high_wind,0,Bus3,onshore wind,5051.3628
high_wind,0,Bus4,onshore wind,-0.0
high_wind,0,Bus5,onshore wind,0.0
high_wind,0,Bus6,onshore wind,-0.0
high_wind,0,Bus7,onshore wind,-0.0
high_wind,0,Bus8,onshore wind,-0.0
high_wind,0,Bus9,onshore wind,-0.0
high_wind,0,Bus10,onshore wind,-0.0
high_wind,0,Bus11,onshore wind,-0.0
high_wind,0,Bus12,onshore wind,-0.0
high_wind,0,Bus13,onshore wind,-0.0
high_wind,0,Bus14,onshore wind,-0.0
high_wind,0,Bus15,onshore wind,-0.0
high_wind,0,Bus16,onshore wind,-0.0
high_wind,0,Bus17,onshore wind,-0.0
high_wind,0,Bus18,onshore wind,-0.0
high_wind,0,Bus19,onshore wind,0.0
high_wind,0,Bus20,onshore wind,-0.0
high_wind,1,Bus1,onshore wind,8663.1017
high_wind,1,Bus2,onshore wind,6414.2184
high_wind,1,Bus3,onshore wind,-0.0
high_wind,1,Bus4,onshore wind,-0.0
high_wind,1,Bus5,onshore wind,0.0
high_wind,1,Bus6,onshore wind,0.0
high_wind,1,Bus7,onshore wind,-0.0
high_wind,1,Bus8,onshore wind,-0.0
high_wind,1,Bus9,onshore wind,-0.0
high_wind,1,Bus10,onshore wind,-0.0
high_wind,1,Bus11,onshore wind,-0.0
high_wind,1,Bus12,onshore wind,-0.0
high_wind,1,Bus13,onshore wind,-0.0
high_wind,1,Bus14,onshore wind,-0.0
high_wind,1,Bus15,onshore wind,-0.0
high_wind,1,Bus16,onshore wind,-0.0
high_wind,1,Bus17,onshore wind,-0.0
high_wind,1,Bus18,onshore wind,-0.0
high_wind,1,Bus19,onshore wind,0.0
high_wind,1,Bus20,onshore wind,-0.0
high_wind,2,Bus1,onshore wind,6920.6388
high_wind,2,Bus2,onshore wind,8568.5128
high_wind,2,Bus3,onshore wind,-0.0
high_wind,2,Bus4,onshore wind,-0.0
high_wind,2,Bus5,onshore wind,712.6531
high_wind,2,Bus6,onshore wind,-0.0
high_wind,2,Bus7,onshore wind,0.0
high_wind,2,Bus8,onshore wind,-0.0
high_wind,2,Bus9,onshore wind,-0.0
high_wind,2,Bus10,onshore wind,-0.0
high_wind,2,Bus11,onshore wind,-0.0
high_wind,2,Bus12,onshore wind,-0.0
high_wind,2,Bus13,onshore wind,-0.0
high_wind,2,Bus14,onshore wind,-0.0
high_wind,2,Bus15,onshore wind,-0.0
high_wind,2,Bus16,onshore wind,-0.0
high_wind,2,Bus17,onshore wind,-0.0
high_wind,2,Bus18,onshore wind,0.0
high_wind,2,Bus19,onshore wind,0.0
high_wind,2,Bus20,onshore wind,-0.0
high_wind,3,Bus1,onshore wind,7780.4219
high_wind,3,Bus2,onshore wind,9795.6129
high_wind,3,Bus3,onshore wind,-0.0
high_wind,3,Bus4,onshore wind,-0.0
high_wind,3,Bus5,onshore wind,0.0
high_wind,3,Bus6,onshore wind,0.0
high_wind,3,Bus7,onshore wind,-0.0
high_wind,3,Bus8,onshore wind,-0.0
high_wind,3,Bus9,onshore wind,-0.0
high_wind,3,Bus10,onshore wind,-0.0
high_wind,3,Bus11,onshore wind,-0.0
high_wind,3,Bus12,onshore wind,-0.0
high_wind,3,Bus13,onshore wind,-0.0
high_wind,3,Bus14,onshore wind,-0.0
high_wind,3,Bus15,onshore wind,-0.0
high_wind,3,Bus16,onshore wind,-0.0
high_wind,3,Bus17,onshore wind,-0.0
high_wind,3,Bus18,onshore wind,-0.0
high_wind,3,Bus19,onshore wind,0.0
high_wind,3,Bus20,onshore wind,0.0
high_wind,4,Bus1,onshore wind,6789.3286
high_wind,4,Bus2,onshore wind,5901.8416
high_wind,4,Bus3,onshore wind,-0.0
high_wind,4,Bus4,onshore wind,0.0
high_wind,4,Bus5,onshore wind,-0.0
high_wind,4,Bus6,onshore wind,0.0
high_wind,4,Bus7,onshore wind,-0.0
high_wind,4,Bus8,onshore wind,-0.0
high_wind,4,Bus9,onshore wind,-0.0
high_wind,4,Bus10,onshore wind,-0.0
high_wind,4,Bus11,onshore wind,-0.0
high_wind,4,Bus12,onshore wind,-0.0
high_wind,4,Bus13,onshore wind,-0.0
high_wind,4,Bus14,onshore wind,-0.0
high_wind,4,Bus15,onshore wind,-0.0
high_wind,4,Bus16,onshore wind,-0.0
high_wind,4,Bus17,onshore wind,-0.0
high_wind,4,Bus18,onshore wind,-0.0
high_wind,4,Bus19,onshore wind,0.0
high_wind,4,Bus20,onshore wind,0.0
high_wind,5,Bus1,onshore wind,7006.0379
high_wind,5,Bus2,onshore wind,8450.8812
