level,rmse_persistence,rmse_linear,mae_persistence,mae_linear,skill_linear_vs_persistence,x0_mean,x1_mean,y6_mean
Z50,14.159016609191895,24.530492782592773,11.28886890411377,19.565942764282227,-0.732499753313806,-0.013563878834247589,0.012458390556275845,-0.030800623819231987
Z100,14.116448402404785,24.49126625061035,11.255379676818848,19.52970314025879,-0.7349453313226042,-0.05587483197450638,0.0455087274312973,0.005991913843899965
Z150,14.122411727905273,24.44549560546875,11.250139236450195,19.493520736694336,-0.7309717402703801,0.047502484172582626,0.027372712269425392,0.019106389954686165
Z200,14.128812789916992,24.420183181762695,11.286091804504395,19.49416732788086,-0.7283959767085595,0.012838312424719334,0.03789951279759407,-0.04024263471364975
Z250,14.143549919128418,24.545467376708984,11.277328491210938,19.579130172729492,-0.7354530875951288,-0.006700369529426098,-0.04372056946158409,-0.013976704329252243
Z300,14.0969820022583,24.438196182250977,11.232598304748535,19.52276039123535,-0.7335764618507923,0.0012230040738359094,0.05243027210235596,-0.043732352554798126
Z400,14.107192039489746,24.466670989990234,11.24972915649414,19.52240562438965,-0.7343402515185051,-0.022476932033896446,0.05846897512674332,-0.05708009749650955
Z500,14.145960807800293,24.487171173095703,11.29648494720459,19.58913803100586,-0.7310362658145766,-0.01747925765812397,0.048029858618974686,0.0282217375934124
Z600,14.14189624786377,24.479984283447266,11.276252746582031,19.52651023864746,-0.7310255890997224,-0.04248889163136482,-0.08025744557380676,-0.001528476132079959
Z700,14.104652404785156,24.49762535095215,11.246644020080566,19.5593204498291,-0.7368471514150414,-0.04888376593589783,0.009150141850113869,0.013957181014120579
Z850,14.125845909118652,24.469724655151367,11.283093452453613,19.500776290893555,-0.732266146224468,0.019376272335648537,0.01017684955149889,-0.0137937618419528
Z925,14.176214218139648,24.63072395324707,11.29041576385498,19.616374969482422,-0.7374683800790953,0.055374037474393845,0.01995663344860077,0.021314037963747978
Z1000,14.161310195922852,24.5136661529541,11.275116920471191,19.54153823852539,-0.7310309437335849,-0.04842575266957283,-0.08137713372707367,-0.016078246757388115
T50,14.133868217468262,24.530845642089844,11.27596378326416,19.566030502319336,-0.7356073556544176,0.023191258311271667,0.012064681388437748,0.006783426273614168
