,count,mean,std,min,25%,50%,75%,max
M1_Nose_Ear_dist,1738.0,68.38085920002622,19.574351691215305,22.831323240787928,53.421663543826156,67.54191471735038,82.26404157230277,200.31226469936206
M1_Nose_Center_dist,1738.0,158.53009869000945,22.58220841997749,99.15216990186268,141.22311769487732,159.28625026402494,176.0362175594498,221.88634740048386
M1_Nose_Lat_dist,1738.0,163.24344803305289,26.323339538939535,99.57840082330038,143.40022523934857,163.09655430321388,183.59501478726273,238.71635028807137
M1_Nose_Tail_dist,1738.0,457.8110684670546,66.9820003760562,234.30475614763745,420.47629913174535,472.18474293716486,505.5815485907495,618.2990778225687
M1_Ear_Ear_dist,1738.0,71.5481150771915,25.337742589154836,10.2447243639774,65.41637116207617,69.76028345602077,74.02319490911388,618.6288371273444
M1_Ear_Center_dist,1738.0,104.10081326781824,14.90810758841971,19.221727615267483,94.56821520251458,104.29193745786765,113.82639172092263,158.72865113207686
M1_Ear_Lat_dist,1738.0,98.62928613266446,21.800332216920975,30.632449940100333,82.86972069530796,100.0082106565824,114.77091673932802,164.66441520921197
M1_Ear_Tail_dist,1738.0,405.12628001283485,66.8751011315807,192.0810775962779,361.15809749215134,424.1210350738917,454.75453566047366,594.2584401765662
M1_Center_Lat_dist,1738.0,56.43018602820783,9.249308878958624,2.8906721244862723,50.46009174994094,56.03625029560677,62.27457511892008,114.7086057626328
M1_Center_Tail_dist,1738.0,326.7436776595577,43.453989252866165,131.84664072179413,303.0531410857415,336.82782514693383,353.06124752124504,511.9810522020636
M1_Lat_Lat_dist,1738.0,113.65694130774675,13.671452126361785,88.84948993565567,104.4545120804254,112.08492906927358,120.59118636780418,234.88367112170067
M1_Lat_Tail_dist,1738.0,319.44897549044964,56.93244314588355,129.01936414722292,283.0708112071009,333.9833463101796,356.0988687828785,553.8343784661494
M1_Tail_Tail_dist,1738.0,191.16204234592698,34.405470226567644,24.574951699452075,179.27167743354534,195.2916269242549,208.34289510119612,444.6984019196352
M2_Nose_Ear_dist,1738.0,79.50527598627893,19.2776228200261,20.1051033668771,68.66334636198238,79.63353236943985,90.82605292382677,283.3763054096949
M2_Nose_Center_dist,1738.0,164.54491612768516,25.097392170309277,92.06080609313547,148.23900876466405,167.96437030891298,181.88861375504993,295.50083964244664
