feature,gini_importance
Feature_2,0.09279651387671235
Feature_1,0.08150404122052471
M1Ear_left_M2Tail_end_dist,0.017225699489640575
M1Lat_right_M2Lat_right_dist,0.017008907076146006
M1Lat_left_M2Tail_end_dist,0.01633921036274845
M1Center_M2Lat_right_dist,0.014065903288201658
centroid_distance_roll_mean_10,0.01362700634053644
M1Nose_M2Tail_end_dist,0.013597980940940084
M1Lat_right_M2Ear_right_dist,0.01277591940086685
M1Lat_left_M2Tail_base_dist,0.012476586766722409
M1Ear_right_M2Tail_end_dist,0.011776181003212833
M1Center_M2Tail_base_dist,0.010237939971921118
M1_Tail_Tail_dist,0.010151932032500631
M1Lat_right_M2Nose_dist,0.010056634957846144
M1Ear_left_M2Tail_base_dist,0.009981525007750534
M1Tail_base_M2Tail_end_dist,0.009731320709578514
centroid_distance_roll_mean_5,0.009663019906054471
M1_Ear_Tail_dist,0.00965897363839804
M1Tail_end_M2Nose_dist,0.009623328583280704
M1Center_M2Tail_end_dist,0.009424905462415518
M1Lat_right_M2Tail_end_dist,0.009153528035542265
M1_Lat_Tail_dist,0.00914166152267052
M1Tail_base_M2Tail_base_dist,0.009110618819751958
M1Lat_left_M2Lat_right_dist,0.009032397925876377
M1Ear_right_M2Lat_right_dist,0.008706534322895037
M1Tail_end_M2Ear_left_dist,0.008440081014569532
M1Nose_M2Tail_base_dist,0.008356703873563243
M1Center_M2Ear_right_dist,0.008005422940593507
M1_Center_Tail_dist,0.007928571185172626
centroid_distance,0.007914338885528258
M1Ear_right_M2Tail_base_dist,0.007409692514113033
M1Lat_right_M2Tail_base_dist,0.007354965488253128
M1Tail_end_M2Tail_base_dist,0.0073474368348551596
M2_body_area,0.007334055832641735
M1Tail_base_M2Center_dist,0.007216029041043008
M2_body_bend,0.006914849656279736
nose_to_nose_dist_roll_mean_10,0.0067723140121389745
M2_Ear_Tail_dist,0.006696618441621875
M1_Center_Lat_dist,0.006685226975935465
M1Center_M2Nose_dist,0.006684996449919665
M1Tail_end_M2Center_dist,0.00662865972940183
M1Tail_base_M2Lat_right_dist,0.00638759532275557
M1Tail_base_M2Nose_dist,0.006365792233510439
M1Tail_base_M2Ear_left_dist,0.006297103112121984
M1Tail_end_M2Lat_right_dist,0.006283413908495032
M1Tail_end_M2Ear_right_dist,0.0062593760983371705
M1Lat_left_M2Ear_right_dist,0.006232666577790968
M2_Ear_Ear_dist,0.006170707273797114
M1Lat_left_M2Center_dist,0.005871307999779185
M1Lat_left_M2Ear_left_dist,0.005780226901963583
M1Nose_M2Lat_left_dist,0.005694520020805234
M2_Nose_Tail_dist,0.005617835251307162
M1Lat_right_M2Ear_left_dist,0.005597921917129802
M2_head_angle,0.005583241016342211
M1Tail_end_M2Tail_end_dist,0.005535877309288764
M1Ear_right_M2Ear_right_dist,0.005476718809213361
nose_to_nose_dist_roll_mean_5,0.005455408790005053
M1Tail_base_M2Ear_right_dist,0.005448025955874195
M1Nose_M2Lat_right_dist,0.0053783794463525434
M2_Ear_Lat_dist,0.005229083525865168
M2_Center_Tail_dist,0.00505440150761146
M1_Lat_Lat_dist,0.00501974455206355
M1Lat_left_M2Nose_dist,0.004884604015292032
M1_body_bend,0.00487723274818496
M1Tail_end_M2Lat_left_dist,0.004876815641435893
M1Center_M2Ear_left_dist,0.004861512003431977
M2_Nose_Lat_dist,0.004794750350122915
M1_Ear_Ear_dist,0.0047753433853534874
M1Nose_M2Nose_dist,0.0046884465039245616
M1_Nose_Tail_dist,0.0046425376487282295
M1Center_M2Center_dist,0.004577791474703482
Ear_left_2_movement,0.004484313052269927
Ear_right_1_movement_roll_mean_10,0.004404993841890544
M1Ear_right_M2Nose_dist,0.00440254197852102
M1_Nose_Ear_dist,0.004395586163558445
M2_Lat_Tail_dist,0.004383968527463879
M1Nose_M2Center_dist,0.004368301525943338
Nose_2_movement,0.004354200999986208
M2_Nose_Ear_dist,0.0042734248157088525
Lat_right_1_movement_roll_std_10,0.004236347984404669
Tail_end_1_movement_roll_std_10,0.004205050168429035
M1_Nose_Lat_dist,0.004165325377813255
nose_to_nose_dist_roll_std_10,0.004113017484377055
nose_to_nose_dist,0.004086410169218298
M1Lat_left_M2Lat_left_dist,0.00396475826493842
centroid_distance_roll_std_10,0.003915833878202794
M1Ear_left_M2Ear_left_dist,0.003911742688884522
M1Lat_right_M2Center_dist,0.003898254710350062
M2_Lat_Lat_dist,0.003886632782965586
M1_head_angle,0.0038698141102947565
Lat_right_1_movement_roll_mean_10,0.003864754890161752
M1_body_area,0.003853285764456075
M1_Ear_Lat_dist,0.0038332604901562648
M1Nose_M2Ear_left_dist,0.0037909258565142876
M1Tail_base_M2Lat_left_dist,0.003775998515802809
M1Ear_left_M2Lat_right_dist,0.003770809121834777
M2_Nose_Center_dist,0.0037682972410542624
Ear_right_1_movement_roll_std_10,0.0037183950912401858
Nose_1_movement,0.003702950098177906
Tail_base_1_movement_roll_std_10,0.0036690035853113212
M1Ear_right_M2Center_dist,0.003646461771899103
M1Ear_right_M2Ear_left_dist,0.003634172587915048
M1_Nose_Center_dist,0.0036340349480205062
M1Ear_left_M2Nose_dist,0.0035095779779971375
M1Ear_left_M2Ear_right_dist,0.0035000044406110578
nose_to_nose_dist_roll_std_5,0.0034901265413535662
Center_1_movement_roll_std_10,0.003419928090220774
Ear_right_2_movement,0.003414267352196783
M1_Ear_Center_dist,0.003393394774353858
M1Ear_left_M2Center_dist,0.0033717190739139475
Nose_1_movement_roll_std_5,0.003369706423105959
M1Nose_M2Ear_right_dist,0.003357535862312957
