feature,gini_importance
Feature_2,0.0514975888328021
Feature_1,0.04804932232929952
M1_Lat_Tail_dist,0.03507138124024389
M1Tail_base_M2Tail_base_dist,0.02852467203908965
M1Tail_end_M2Tail_end_dist,0.025811083887666248
M1_Center_Lat_dist,0.02413507355193496
M1_Ear_Tail_dist,0.022171876208514386
M1_Center_Tail_dist,0.02062819903828544
M1Lat_left_M2Tail_base_dist,0.01909335519720389
M1Center_M2Tail_base_dist,0.018830407436580356
M1Lat_left_M2Tail_end_dist,0.01595263071891715
M1Lat_right_M2Tail_end_dist,0.015757286840616287
M1Tail_end_M2Tail_base_dist,0.014470033170060277
M1Tail_base_M2Tail_end_dist,0.01435583548750658
M1Center_M2Tail_end_dist,0.012522196525050718
M1Ear_left_M2Tail_end_dist,0.012422298921067696
M1_Tail_Tail_dist,0.011431696341241165
M1Ear_right_M2Tail_end_dist,0.011015689572444394
M2_Ear_Tail_dist,0.010985897625242935
M1Tail_end_M2Ear_right_dist,0.01049653742947269
M2_Ear_Center_dist,0.010104230959113999
M1Lat_left_M2Lat_right_dist,0.010076699543328481
M1_head_angle,0.009997666281591384
M1Nose_M2Tail_end_dist,0.009546649869874088
M1Ear_right_M2Nose_dist,0.009019626353157695
centroid_distance_roll_mean_10,0.00895267188101645
M2_Ear_Lat_dist,0.008866923274319332
M1Lat_left_M2Center_dist,0.00856696886394228
M1Lat_right_M2Tail_base_dist,0.008122178956515548
M1Lat_right_M2Lat_right_dist,0.00811571131209482
M1Center_M2Lat_right_dist,0.008016482244572
M2_Nose_Ear_dist,0.007702893886039075
M2_Nose_Tail_dist,0.007655655971523135
M1Tail_end_M2Lat_right_dist,0.0075812326502195364
M1Ear_right_M2Ear_right_dist,0.007339114904704665
M1_Nose_Ear_dist,0.0073033272706350275
M1Tail_end_M2Nose_dist,0.006912966829954819
M1Lat_left_M2Nose_dist,0.00687726087597124
M1Ear_left_M2Nose_dist,0.006035865886632185
M2_Ear_Ear_dist,0.005983584454511
M2_body_area,0.005962046823838818
M2_body_bend,0.005943502686389338
M2_Nose_Lat_dist,0.005917183013696522
M1Tail_base_M2Ear_left_dist,0.0059015281211966305
M2_Tail_Tail_dist,0.0058303669164794306
M1Tail_end_M2Ear_left_dist,0.005823675540320875
M1Tail_base_M2Nose_dist,0.005799159304716668
M1Nose_M2Nose_dist,0.005770164776177787
nose_to_nose_dist_roll_mean_5,0.005584157730501637
M1Tail_base_M2Center_dist,0.005421153808013096
M1Lat_right_M2Nose_dist,0.005344900953694343
M2_Nose_Center_dist,0.0052965847493728945
M1Lat_right_M2Center_dist,0.005262249001116613
nose_to_nose_dist_roll_std_10,0.005180199963008166
M1_Ear_Lat_dist,0.005134520926655637
Tail_base_1_movement_roll_mean_10,0.0050920574976409064
M1Tail_end_M2Center_dist,0.005008615798720465
M1Ear_left_M2Ear_left_dist,0.004991444904776015
nose_to_nose_dist,0.00497281169388988
Tail_end_1_movement_roll_std_10,0.004932194067638403
Ear_right_1_movement_roll_std_10,0.004914772200685528
nose_to_nose_dist_roll_mean_10,0.004904830786159761
centroid_distance_roll_mean_5,0.004866415305400721
M2_Lat_Tail_dist,0.004839226966847485
centroid_distance_roll_std_10,0.004730643896281633
M1Center_M2Center_dist,0.004726175721230098
