feature,importance
M2_Ear_Lat_dist,0.014704944254720933
M2_Ear_Ear_dist,0.013647926833543746
M1_Nose_velocity,0.01343941560355027
M1_body_length_std5,0.01307005345441451
M1_Nose_acceleration,0.012461019053708933
M2_Center_Lat_dist,0.011923304511794434
M2_Ear_acceleration,0.011676182950095376
M1_Tail_acceleration,0.011427829750759384
M1_Center_acceleration,0.011166717011602476
M2_Center_acceleration,0.011134735740569904
M2_Ear_Center_dist,0.011006235535457827
M2_Nose_velocity_std10,0.010970574088639289
M2_ear_dist,0.010441640348833296
M2_Nose_velocity,0.010384210629305876
M2_Center_Tail_dist,0.010373690812385889
M2_Nose_acceleration,0.010365898238478919
M1_body_length_std10,0.010342230733163952
M1_body_angle,0.010310161873281449
M1_Ear_acceleration,0.010171974514472675
Lat_left_to_Tail_end_dist,0.009722592828012423
M2_width,0.00959710361212557
M2_Nose_Lat_dist,0.009533830921612035
M2_Tail_acceleration,0.009493650543473767
M1_Lat_acceleration,0.009277883525657738
Lat_right_to_Tail_end_dist,0.009144092709261364
M2_Lat_Tail_dist,0.009106430287552625
M1_Nose_Lat_dist,0.009045666275102397
M2_Center_velocity_std5,0.008997896872730927
M1_mean_confidence,0.008977081454773968
M1_Nose_velocity_std5,0.008896556841593784
Tail_base_to_Tail_end_dist,0.008805049736581411
M2_body_angle,0.00878018179858035
M2_Lat_acceleration,0.008544816704550167
M1_Tail_Tail_dist,0.008444918551487204
M2_Nose_velocity_std5,0.008380525847225085
M2_Ear_velocity,0.008353816431016492
M2_Nose_velocity_mean10,0.008247529411993837
M2_body_length_std10,0.00814813140914077
M1_Nose_Ear_dist,0.0081191908346275
M1_head_angle,0.00809064671493996
M2_body_length,0.008040517733777229
M1_Lat_Tail_dist,0.007818363432690049
M1_Ear_Ear_dist,0.007702464466161866
M2_Lat_Lat_dist,0.007664462226144793
M2_head_angle,0.007655953323270114
M2_body_length_mean5,0.007641558934424831
centroid_distance_std10,0.0075896474335068334
M1_min_confidence,0.007583805854681367
M2_Center_velocity,0.007463249308216009
Center_to_Tail_end_dist,0.007419095637259893
M2_Nose_Center_dist,0.007377548952988053
M2_Lat_velocity,0.007361099220862247
M2_Tail_Tail_dist,0.0072826568239523284
M1_Nose_Center_dist,0.007217912024809694
M2_facing_M1_angle,0.0072032127201496965
M2_body_length_mean10,0.00715615510487524
M2_mean_confidence,0.007067279129847743
M1_body_length,0.007032137430327082
M1_Ear_Center_dist,0.007022140319035442
Nose_to_Tail_end_dist,0.006987736420641743
M2_Center_velocity_mean10,0.00696537025126115
M1_Nose_Tail_dist,0.006954577015820664
M1_body_length_mean10,0.0069278631472744975
M1_width,0.006850868406055559
centroid_distance_std5,0.006815589773744329
M1_Ear_velocity,0.006768280378681596
M2_Nose_velocity_mean5,0.006713211876314507
M2_Nose_Ear_dist,0.006698633673980904
M1_Ear_Tail_dist,0.006683699238892287
M1_body_length_mean5,0.006663914904535587
M1_Lat_velocity,0.006631870243022641
M1_Ear_Lat_dist,0.006623507023958605
Ear_right_to_Tail_end_dist,0.006618830903821683
M1_Center_Lat_dist,0.006595417485123506
M1_Center_velocity,0.006594455493137129
M1_Center_velocity_mean5,0.006424052610226466
M1_Nose_velocity_std10,0.00641556373894238
M2_Ear_Tail_dist,0.006364917412611951
M2_Center_velocity_std10,0.0063010122255754576
M1_ear_dist,0.006252006809576291
Ear_left_to_Tail_end_dist,0.006241716027130957
Tail_end_to_Tail_end_dist,0.006232989002254238
M1_Center_Tail_dist,0.006229455967418518
M2_body_length_std5,0.00614828803934104
M1_facing_M2_angle,0.006107567591370718
M2_Tail_velocity,0.006083626424488264
M1_Lat_Lat_dist,0.006051264470457964
Ear_left_to_Tail_base_dist,0.005920911955975303
M2_Nose_Tail_dist,0.005853409709163125
M2_min_confidence,0.005821015482403563
M1_Tail_velocity,0.005717673830829783
M1_Nose_velocity_mean5,0.005711596618631414
M1_Center_velocity_std5,0.005675903135768709
Lat_left_to_Tail_base_dist,0.005609483006696855
Nose_to_Tail_base_dist,0.005565427099543448
Ear_left_to_Center_dist,0.005512416600633436
M1_Center_velocity_mean10,0.005476766887978485
M2_Center_velocity_mean5,0.005413943867173287
M1_Center_velocity_std10,0.005245534583994857
Nose_to_Lat_right_dist,0.005072480917579314
Tail_end_to_Tail_base_dist,0.005060435812267173
Center_to_Tail_base_dist,0.005033918990250201
Ear_left_to_Lat_left_dist,0.004952524411437954
Tail_end_to_Lat_left_dist,0.004808033595798546
Ear_left_to_Lat_right_dist,0.004694560261242615
M1_Nose_velocity_mean10,0.004685003293508892
Tail_end_to_Nose_dist,0.0045024987284521395
Tail_end_to_Ear_left_dist,0.0044143234468402475
Lat_right_to_Tail_base_dist,0.0043665609598694324
Lat_right_to_Ear_right_dist,0.004346029468271003
Lat_left_to_Nose_dist,0.004309346955350161
Lat_right_to_Nose_dist,0.004240500778482332
Nose_to_Ear_right_dist,0.0042316316057009005
Nose_to_Center_dist,0.004186916796606924
Tail_base_to_Lat_left_dist,0.004174065967740944
Tail_end_to_Ear_right_dist,0.004142547792710797
Tail_base_to_Nose_dist,0.003985556951294239
Ear_right_to_Tail_base_dist,0.003973855108409056
Center_to_Ear_right_dist,0.003958407120013634
Lat_right_to_Center_dist,0.003913755955548245
Tail_base_to_Center_dist,0.0038993386765829047
Ear_right_to_Nose_dist,0.003899257466553901
Lat_right_to_Lat_right_dist,0.003875917761895478
Nose_to_Nose_dist,0.0038559836180062797
Tail_base_to_Ear_left_dist,0.003849605470906099
Tail_base_to_Ear_right_dist,0.0038237419484296303
