image,patch_size,num_patches,top1_score,top5_mean_score,top5_mean_relative_area
demo1.png,128,48,6.424925450093033,5.643535821450846,0.020833333333333332
demo1.png,224,20,4.972502405898865,4.440954875245157,0.06380208333333333
demo1.png,336,12,3.789991451367876,3.293523150427282,0.1162109375
demo1.png,448,6,3.9682252920214975,3.0744054579209243,0.16354166666666664
demo2.png,128,216,7.41843123577829,7.311990543278239,0.004854518518518518
demo2.png,224,77,6.775947022118805,6.680374676200434,0.014866962962962966
demo2.png,336,35,6.4905546209775675,6.22924208905924,0.03345066666666666
demo2.png,448,24,6.268256823082358,6.103158294921143,0.05946785185185186
method_case.png,128,280,7.005266650755367,6.3524007151843565,0.003898631766805473
method_case.png,224,96,6.048973735028712,5.528925169918879,0.01193955978584176
method_case.png,336,48,5.8131729670067065,4.65172114094442,0.02686400951814396
method_case.png,448,24,4.259606873975553,3.8203880508405192,0.04775823914336704
