year,glacier_area_km2,consensus_gt,consensus_gt_err,consensus_mwe,consensus_mwe_err,cum_gt,cum_gt_err,cum_mwe,cum_mwe_err
2000,704082.69565,-251.7179582851238,23.393247478346684,-0.35751192273336735,0.03322514190857984,-251.7179582851238,23.393247478346684,-0.35751192273336735,0.03322514190857984
2001,701805.49875,-262.0127907702103,18.293443386246828,-0.37334103428497867,0.026066258270745456,-513.7307490553342,29.696701811968808,-0.730852957018346,0.04222984578568189
2002,699528.3018499999,-262.37788571985436,25.501543785168206,-0.37507829922815067,0.036455342432501765,-776.1086347751885,39.143618048614805,-1.1059312562464967,0.05578845639514897
2003,697251.10495,-200.26730446239426,19.698150749715513,-0.28722407614794027,0.028251157452275494,-976.3759392375828,43.82054286398515,-1.393155332394437,0.06253382895958554
2004,694973.90805,-224.97620009519036,11.862843295844547,-0.32371891590353696,0.017069480103404217,-1201.352139332773,45.39787470748079,-1.716874248297974,0.06482165467918273
2005,692696.71115,-230.55129574199046,12.13772823333918,-0.3328315149053245,0.017522427980332673,-1431.9034350747636,46.99246189148344,-2.0497057632032982,0.0671482121703412
2006,690419.51425,-231.32650998789697,10.845549731543327,-0.3350521026903274,0.015708637296158706,-1663.2299450626606,48.22776610627847,-2.3847578658936257,0.06896117518847417
2007,688142.31735,-230.0241589425885,11.30595183254012,-0.3342682947161272,0.01642967093795183,-1893.254104005249,49.53525987053687,-2.719026160609753,0.07089130955557814
2008,685865.12045,-228.48176425569963,12.419073373850933,-0.33312929531362,0.018107165685437843,-2121.735868260949,51.06834003476825,-3.052155455923373,0.07316725510544113
2009,683587.92355,-214.24276815447587,12.058814378747417,-0.3134092349699116,0.01764047310274842,-2335.9786364154247,52.472758247759366,-3.3655646908932844,0.07526375961213665
2010,681310.72665,-217.33889058537616,15.294788267834946,-0.31900112838972894,0.02244906423687076,-2553.317527000801,54.65638943696977,-3.684565819283013,0.07854039722375131
2011,679033.52975,-295.44237406677803,24.411496438683816,-0.4350924676363937,0.035950354981250196,-2848.759901067579,59.860187643053486,-4.119658286919407,0.08637720775379662
2012,676756.33285,-273.73584758140635,30.798470868461365,-0.404482136766467,0.04550895111503553,-3122.495748648985,67.31855518723673,-4.524140423685874,0.09763240574180909
2013,674479.13595,-292.37245532751075,17.32396488530621,-0.4334788724275449,0.025684952968790507,-3414.868203976496,69.51192438599551,-4.957619296113419,0.100954462308222
2014,672201.93905,-292.2067137222869,17.277875693923434,-0.4347007896693256,0.025703400556002058,-3707.074917698783,71.62703833287419,-5.392320085782745,0.1041751806337983
2015,669924.7421500001,-313.354324514977,19.047565289581474,-0.46774556125412536,0.028432395597827634,-4020.42924221376,74.11641089394371,-5.860065647036871,0.10798550541399467
2016,667647.54525,-312.71711882564466,16.861445054844715,-0.46838653276040737,0.025255009435451403,-4333.146361039405,76.01020124389518,-6.328452179797278,0.11089943589171503
2017,665370.34835,-291.84475362269706,23.021862987095922,-0.43862001717753146,0.03460007354428409,-4624.991114662102,79.42012886248713,-6.7670721969748096,0.11617164012946739
2018,663093.15145,-294.85793950911955,17.189080825808414,-0.4446704642693826,0.025922573303947843,-4919.849054171221,81.25897715434422,-7.211742661244192,0.11902869308309248
2019,660815.95455,-324.4901534430663,14.127438527980113,-0.49104467168023563,0.021378779417637644,-5244.339207614287,82.47791151291413,-7.702787332924427,0.12093337829754462
2020,658538.75765,-146.67431628112223,38.42956548588134,-0.22272693076491126,0.05835581435330778,-5391.01352389541,90.9914138310079,-7.9255142636893385,0.13427688950558378
2021,656261.56075,-134.65290270538136,46.01943874186293,-0.20518176099099122,0.07012362371075065,-5525.666426600791,101.96678936340896,-8.13069602468033,0.15148467136189625
2022,653984.36385,-221.29913531646628,48.67377629469075,-0.33838597304327017,0.07442651382083307,-5746.965561917257,112.98832962685752,-8.469081997723599,0.16878066126527755
2023,651707.16695,-163.53642758207494,37.0075093632728,-0.25093544443807186,0.056785487777384035,-5910.501989499332,118.89456834161994,-8.720017442161671,0.17807723953178237
