year,region,glacier_area_km2,consensus_mwe,consensus_mwe_err,consensus_gt,consensus_gt_err,n_groups,altimetry_mwe,altimetry_mwe_err,altimetry_gt,altimetry_gt_err,gravimetry_mwe,gravimetry_mwe_err,gravimetry_gt,gravimetry_gt_err,demdiff_glaciological_mwe,demdiff_glaciological_mwe_err,demdiff_glaciological_gt,demdiff_glaciological_gt_err,demdiff_mean_mwe,demdiff_mean_mwe_err,demdiff_n_sources,glaciological_mean_mwe,glaciological_mean_mwe_err,glaciological_n_sources,gravimetry_mean_mwe,gravimetry_mean_mwe_err,gravimetry_n_sources,combined_mean_mwe,combined_mean_mwe_err,combined_n_sources,altimetry_mean_mwe,altimetry_mean_mwe_err,altimetry_n_sources
2000,north_asia,2487.7225,-0.4664979789820935,0.1827271748459909,-1.160517518518281,0.4545745042258056,1,,,,,,,,,-0.4664979789820935,0.1827271748459909,-1.160517518518281,0.4545745042258056,-0.5099999999995362,0.061199128534044675,1,0.2200691379000928,0.24312634458386684,2,,,0.0,-0.11754837820788604,0.25856268072258687,2,,,
2001,north_asia,2477.3595,-0.4669581029332126,0.14661197279367896,-1.156823092403572,0.3632105636141621,1,,,,,,,,,-0.4669581029332126,0.14661197279367896,-1.156823092403572,0.3632105636141621,-0.5099999999995362,0.061199128534044675,1,-0.04649486440178816,0.19127735212093028,2,,,0.0,-0.6621226986791987,0.20011697635739772,2,,,
2002,north_asia,2466.9965,-0.48636137593614354,0.1507946202820463,-1.1998518121696506,0.3720098004546373,2,,,,,-12.528246950338454,18.537885652368058,-30.907141377620654,45.73289902179223,-0.48580100780975766,0.12645897672504178,-1.198469385963145,0.3119738529742596,-0.5099999999995362,0.061199128534044675,1,0.027246763872002422,0.2817899506842167,2,-12.528246950338454,18.537885652368058,2.0,-0.7727450177173264,0.5029757655506967,2,,,
2003,north_asia,2456.6335,-0.42242103214870286,0.35262089681221664,-1.0377336586810804,0.8662603079089345,2,,,,,1.2230414843942032,0.7105040796996654,3.0045646824525263,1.7454481240768678,-0.4864895687901864,0.14019902116260088,-1.1951265720905264,0.3444176120552543,-0.5099999999995362,0.061199128534044675,1,0.19555803528904017,0.32962662545156374,2,1.2230414843942032,0.7105040796996654,3.0,-0.6952651045973472,0.4977900995106807,2,,,
2004,north_asia,2446.2705,-0.3701820330386408,0.42510350896989196,-0.9055653870524524,1.0399181734395326,2,,,,,1.2242465374518121,0.7434862839568253,2.9948381892955127,1.818768563598205,-0.464214709407121,0.1805551272348193,-1.1355947492887128,0.44168668137828515,-0.5099999999995362,0.061199128534044675,1,0.17150132340033317,0.22804147042197337,2,1.2242465374518121,0.7434862839568253,3.0,-0.21073093537668727,0.18912675638049808,2,,,
2005,north_asia,2435.9075,-0.2266657874544242,0.6423171407743289,-0.5521368916536372,1.5646251405907436,2,,,,,1.2437256934197265,0.7592107387957838,3.029600744543812,1.84936713271319,-0.4546336475625896,0.2989390601619665,-1.1074455118500686,0.7281878986914854,-0.5909999999994625,0.05542562584215365,1,0.18213927833627586,0.11977034171309772,2,1.2437256934197265,0.7592107387957838,3.0,-0.12464044796835344,0.16087963399130684,2,,,
2006,north_asia,2425.5445,-0.47042000084788527,0.3798355235480877,-1.1410246457465836,0.9213079650466847,2,,,,,1.2250672741163595,0.7604048054774329,2.971455188862928,1.8443956936993575,-0.5417461120998605,0.1559630999730293,-1.3140293026002,0.37829543934253135,-0.5909999999994625,0.05542562584215365,1,-0.10395020125802586,0.1652441894972606,2,1.2250672741163595,0.7604048054774329,3.0,-0.5141336264512605,0.08724725961791802,2,,,
2007,north_asia,2415.1815,-0.5167131888114943,0.2925480926584514,-1.2479561344235277,0.7065567412489776,2,,,,,1.2260276077927543,0.7925371720898259,2.9610791968303163,1.914121116093664,-0.557566809291667,0.12134405868449656,-1.3466250428152622,0.2930679256697105,-0.5909999999994625,0.05542562584215365,1,-0.20115934004248878,0.18096521010105696,2,1.2260276077927543,0.7925371720898259,3.0,-0.5930646838435754,0.10754083322795427,2,,,
2008,north_asia,2404.8185,-0.5375864528874115,0.2653924814430699,-1.2927978472530253,0.6382207491352014,2,,,,,1.2432692926737923,0.7320457965245311,2.9898369955038504,1.760437274329428,-0.5715113764630682,0.10103766925239686,-1.3743811310788505,0.24297725621504518,-0.5909999999994625,0.05542562584215365,1,-0.19751063237847663,0.2428042339721258,2,1.2432692926737923,0.7320457965245311,3.0,-0.381731148090593,0.21011379616183004,2,,,
2009,north_asia,2394.4555,-0.4717978618729618,0.42724624627727326,-1.129698985249954,1.0230221242529713,2,,,,,1.2857533230693519,0.9991774294992151,3.0786791160666858,2.392485891540258,-0.5511263278662777,0.2122771031579754,-1.319647466954212,0.5082880771806816,-0.5909999999994625,0.05542562584215365,1,0.5047422506709349,0.28521503924187963,2,1.2857533230693519,0.9991774294992151,3.0,-0.07831164925713843,0.11871641595108452,2,,,
