year,consensus_gt,consensus_gt_err,consensus_mwe,consensus_mwe_err,cum_gt,cum_gt_err,cum_mwe,cum_mwe_err,sle_mm_yr,cum_sle_mm
2000,-251.7179582851238,23.393247478346684,-0.3575119227333673,0.0332251419085798,-251.7179582851238,23.393247478346684,-0.3575119227333673,0.0332251419085798,0.6992165507920106,0.6992165507920106
2001,-262.0127907702103,18.293443386246828,-0.3733410342849786,0.0260662582707454,-513.7307490553342,29.696701811968808,-0.730852957018346,0.0422298457856818,0.7278133076950286,1.4270298584870393
2002,-262.3778857198544,25.50154378516821,-0.3750782992281506,0.0364553424325017,-776.1086347751885,39.143618048614805,-1.105931256246497,0.0557884563951489,0.7288274603329289,2.1558573188199683
2003,-200.26730446239424,19.698150749715516,-0.2872240761479402,0.0282511574522754,-976.3759392375828,43.82054286398515,-1.393155332394437,0.0625338289595855,0.5562980679510952,2.7121553867710633
2004,-224.9762000951904,11.862843295844549,-0.3237189159035369,0.0170694801034042,-1201.352139332773,45.39787470748079,-1.716874248297974,0.0648216546791827,0.6249338891533066,3.3370892759243698
2005,-230.5512957419905,12.13772823333918,-0.3328315149053245,0.0175224279803326,-1431.9034350747636,46.99246189148344,-2.0497057632032982,0.0671482121703412,0.6404202659499736,3.977509541874343
2006,-231.32650998789697,10.845549731543327,-0.3350521026903274,0.0157086372961587,-1663.2299450626606,48.22776610627847,-2.3847578658936257,0.0689611751884741,0.6425736388552694,4.620083180729613
2007,-230.0241589425885,11.30595183254012,-0.3342682947161272,0.0164296709379518,-1893.254104005249,49.53525987053687,-2.719026160609753,0.0708913095555781,0.6389559970627459,5.259039177792358
2008,-228.48176425569963,12.419073373850932,-0.33312929531362,0.0181071656854378,-2121.735868260949,51.06834003476825,-3.052155455923373,0.0731672551054411,0.6346715673769434,5.893710745169302
2009,-214.24276815447587,12.058814378747416,-0.3134092349699116,0.0176404731027484,-2335.9786364154247,52.472758247759366,-3.3655646908932844,0.0752637596121366,0.5951188004290996,6.488829545598401
2010,-217.33889058537616,15.294788267834946,-0.3190011283897289,0.0224490642368707,-2553.317527000801,54.65638943696977,-3.684565819283013,0.0785403972237513,0.6037191405149338,7.092548686113335
2011,-295.44237406677803,24.411496438683816,-0.4350924676363937,0.0359503549812501,-2848.759901067579,59.860187643053486,-4.119658286919407,0.0863772077537966,0.8206732612966057,7.913221947409941
2012,-273.73584758140635,30.798470868461365,-0.404482136766467,0.0455089511150355,-3122.495748648985,67.31855518723673,-4.524140423685874,0.097632405741809,0.7603773543927954,8.673599301802737
2013,-292.37245532751075,17.32396488530621,-0.4334788724275449,0.0256849529687905,-3414.868203976496,69.51192438599551,-4.957619296113419,0.100954462308222,0.8121457092430854,9.485745011045822
2014,-292.2067137222869,17.277875693923434,-0.4347007896693256,0.025703400556002,-3707.074917698783,71.62703833287419,-5.392320085782745,0.1041751806337983,0.8116853158952414,10.297430326941063
2015,-313.354324514977,19.047565289581478,-0.4677455612541253,0.0284323955978276,-4020.42924221376,74.11641089394371,-5.860065647036871,0.1079855054139946,0.8704286792082695,11.167859006149332
2016,-312.71711882564466,16.861445054844715,-0.4683865327604073,0.0252550094354514,-4333.146361039405,76.01020124389518,-6.328452179797278,0.110899435891715,0.8686586634045685,12.0365176695539
2017,-291.84475362269706,23.02186298709592,-0.4386200171775314,0.034600073544284,-4624.991114662102,79.42012886248713,-6.7670721969748096,0.1161716401294673,0.8106798711741585,12.84719754072806
2018,-294.85793950911955,17.189080825808414,-0.4446704642693826,0.0259225733039478,-4919.849054171221,81.25897715434422,-7.211742661244192,0.1190286930830924,0.8190498319697765,13.666247372697836
2019,-324.4901534430663,14.127438527980113,-0.4910446716802356,0.0213787794176376,-5244.339207614287,82.47791151291413,-7.702787332924427,0.1209333782975446,0.9013615373418508,14.567608910039686
2020,-146.67431628112223,38.42956548588134,-0.2227269307649112,0.0583558143533077,-5391.01352389541,90.9914138310079,-7.925514263689338,0.1342768895055837,0.40742865633645065,14.975037566376137
2021,-134.65290270538136,46.01943874186293,-0.2051817609909912,0.0701236237107506,-5525.666426600791,101.96678936340896,-8.13069602468033,0.1514846713618962,0.37403584084828156,15.349073407224418
2022,-221.29913531646628,48.67377629469075,-0.3383859730432701,0.074426513820833,-5746.965561917257,112.98832962685752,-8.469081997723599,0.1687806612652775,0.6147198203235175,15.963793227547935
2023,-163.53642758207494,37.0075093632728,-0.2509354444380718,0.056785487777384,-5910.501989499332,118.89456834161994,-8.720017442161671,0.1780772395317823,0.4542678543946526,16.41806108194259
