region,method,file,first_year_covered,last_year_covered,n_years_covered
north_asia,combined,north_asia_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
north_asia,combined,north_asia_combined_Huss_Huss_et_al.csv,2000,2021,22
north_asia,demdiff,north_asia_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
north_asia,glaciological,north_asia_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
north_asia,glaciological,north_asia_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
north_asia,gravimetry,north_asia_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
north_asia,gravimetry,north_asia_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
north_asia,gravimetry,north_asia_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
central_europe,combined,central_europe_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
central_europe,combined,central_europe_combined_Huss_Huss_et_al.csv,2000,2021,22
central_europe,demdiff,central_europe_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
central_europe,demdiff,central_europe_demdiff_FAU-GLACIER_Braun_et_al.csv,2000,2011,12
central_europe,glaciological,central_europe_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
central_europe,glaciological,central_europe_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
central_europe,gravimetry,central_europe_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
central_europe,gravimetry,central_europe_gravimetry_Sasgen_AWIarc_RL01_2_Sasgen_et_al.csv,2002,2022,21
central_europe,gravimetry,central_europe_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
caucasus_middle_east,combined,caucasus_middle_east_combined_DUS-combined_Dussaillant_et_al.csv,2000,2023,24
caucasus_middle_east,combined,caucasus_middle_east_combined_Huss_Huss_et_al.csv,2000,2021,22
caucasus_middle_east,demdiff,caucasus_middle_east_demdiff_ETH_Hugonnet_et_al.csv,2000,2019,20
caucasus_middle_east,glaciological,caucasus_middle_east_glaciological_UZH_GlaciolSineWave_Zemp_et_al.csv,2000,2023,24
caucasus_middle_east,glaciological,caucasus_middle_east_glaciological_WGMS-beta_WGMS.csv,2000,2023,24
caucasus_middle_east,gravimetry,caucasus_middle_east_gravimetry_Jacob_2012_dmdt_Jacob_et_al.csv,2003,2010,8
caucasus_middle_east,gravimetry,caucasus_middle_east_gravimetry_Wouters_Wouters_et_al.csv,2002,2021,20
