region_num,region,mean_glambie_gt,mean_reconciled_gt,bias_gt,rmse_gt,bias_mwe,rmse_mwe,correlation,cumulative_glambie_gt,cumulative_reconciled_gt
1,alaska,-61.410829023824874,-56.41731591370948,4.993513110115398,54.679683780506856,0.06991714351084738,0.6453293274150528,0.2383172605368054,-1473.859896571797,-1354.0155819290276
2,western_canada_us,-9.243631301302939,-7.2786889854577455,1.9649423158451935,9.54554247169829,0.14598849162024252,0.6946108854901558,0.5712541878081444,-221.84715123127052,-174.6885356509859
3,arctic_canada_north,-30.42657164569776,-31.794878389559006,-1.368306743861252,26.91931981819772,-0.012104033665704436,0.25940627035142666,0.20648107896198759,-730.2377194967462,-763.0770813494162
4,arctic_canada_south,-23.010101306000866,-25.215640178255864,-2.2055388722549942,14.479229604506298,-0.052228404818965644,0.3585041370742733,0.1512200803072372,-552.2424313440208,-605.1753642781407
5,greenland_periphery,-35.436586854737946,-36.3325105865977,-0.8959237318597507,29.004393837388037,-0.0013346221292101547,0.3677801594280162,0.13300324225745494,-850.4780845137108,-871.9802540783448
6,iceland,-8.294894553976642,-6.216304932536523,2.0785896214401194,7.437584151594745,0.20307561460008508,0.7080343893255503,0.30313029657977886,-199.07746929543939,-149.19131838087654
7,svalbard,-13.795151516440137,-10.55895709215716,3.236194424282976,10.098568260477009,0.10003370512418595,0.3059943014667138,0.6216755009670324,-331.0836363945633,-253.41497021177184
8,scandinavia,-1.6680211091491615,-1.192062362186986,0.4759587469621754,1.651906437673726,0.16790737426291813,0.5768815031585106,0.5999770475355979,-40.03250661957988,-28.60949669248766
9,russian_arctic,-16.017819773703753,-13.32576839583421,2.692051377869543,13.835786724950722,0.05415431158877918,0.2725993191654086,0.5902906079702275,-384.42767456889004,-319.81844150002104
10,north_asia,-1.355185314557352,-1.1498087582541927,0.20537655630315946,0.7323951640862569,0.09139314464273951,0.31712434938622985,0.18497199632990904,-32.52444754937645,-27.595410198100623
11,central_europe,-1.97207942247639,-0.9284444766833383,1.0436349457930518,1.3505868029824373,0.561407129703397,0.7394535203868818,0.831480612548572,-47.32990613943336,-22.282667440400118
12,caucasus_middle_east,-0.7366037844157987,-0.3162019669853759,0.42040181743042276,0.6446233648511904,0.35705569945533755,0.5458276758840795,0.6570483443058086,-17.678490825979168,-7.588847207649022
13,central_asia,-10.484469748042555,-10.037699637822827,0.44677011021972596,13.178265796117424,0.010529995829687772,0.27111827191550153,0.5962405823345466,-251.6272739530213,-240.90479130774787
14,south_asia_west,-5.610944972121096,-5.896858296534508,-0.28591332441341155,9.314015212916445,-0.009005898547929983,0.28952269358822463,0.5438859601659308,-134.66267933090631,-141.5245991168282
15,south_asia_east,-7.355021193995356,-6.65139072316908,0.7036304708262757,4.089445903264302,0.05520834716310589,0.29826223629000687,0.3448568155413655,-176.52050865588853,-159.63337735605793
16,low_latitudes,-0.85004179012117,-0.6065106906685691,0.2435310994526009,0.8842961532663854,0.12877520928211952,0.4315934146445621,0.5559094363784939,-20.40100296290808,-14.556256576045659
17,southern_andes,-26.282882167382045,-19.267481785869432,7.0154003815126105,24.46845353208223,0.2515122960290821,0.8570367243656536,-0.214776003098759,-630.7891720171691,-462.4195628608664
18,new_zealand,-0.8329537025264065,-0.4544551217624842,0.37849858076392223,0.8223502504919874,0.437296180456481,0.9464675974543844,0.44939700394791593,-19.990888860633756,-10.906922922299621
19,antarctic_and_subantarctic,-17.819153654022866,-12.629937935094349,5.189215718928515,36.5598460300443,0.04373056940869382,0.29939807033493904,-0.11390995718005607,-427.6596876965488,-303.1185104422644
