epoch,train_loss,roc_auc,pr_auc
1,0.7582011371850967,0.716903926827591,0.7003414460842757
2,0.7429695427417755,0.7860188432707517,0.7644123360437138
3,0.7281032651662827,0.793171033629049,0.7425476012471548
4,0.7152181565761566,0.7948215390963482,0.7320196559828356
5,0.7035579979419708,0.796815899869335,0.7301098195264165
6,0.6934054493904114,0.8010797056598583,0.7317510548237773
7,0.6799905002117157,0.8040368612887697,0.735331035304337
8,0.6675914078950882,0.8078880407124682,0.7396729901447141
9,0.6582599431276321,0.8045182587167319,0.7181381243342544
10,0.6555128395557404,0.8069252458565436,0.7199028011334316
