epoch,train_loss,roc_auc,pr_auc
1,0.3076222240924835,0.7723116883116884,0.9116290838642626
2,0.28075724840164185,0.8014545454545454,0.9217745540648756
3,0.24326324959596,0.8186233766233766,0.9279457190610995
4,0.20977350572745004,0.8394805194805195,0.9356495655716037
5,0.18707292526960373,0.852935064935065,0.9412609525895945
6,0.1691632717847824,0.8751948051948052,0.9523697376863909
7,0.15226436406373978,0.8829870129870129,0.9553783220367589
8,0.13855323940515518,0.8948831168831168,0.9603370129282945
9,0.12946595127383867,0.8996883116883116,0.9643448513043911
10,0.0967791968335708,0.8973766233766234,0.9647423076429071
