epoch,train_loss,roc_auc,pr_auc
1,0.33657848338286084,0.7531168831168832,0.8742699004697148
2,0.30505063633124035,0.779012987012987,0.8926750434417312
3,0.2962715079387029,0.7818181818181819,0.8938280846500837
4,0.28397464752197266,0.7842597402597403,0.8989235989582138
5,0.275936762491862,0.788987012987013,0.9023136486390223
6,0.26783841103315353,0.7943896103896104,0.9076483208260183
7,0.2527630925178528,0.801974025974026,0.9151099785788741
8,0.22992397596438727,0.8113506493506494,0.9252073881810411
9,0.24975014726320902,0.8171428571428572,0.9303191274547745
10,0.23008078336715698,0.8262857142857144,0.9361099872904027
