epoch,train_loss,roc_auc,pr_auc
1,1.3038285672664642,0.5476915271435819,0.15573692126992417
2,1.1773932576179504,0.6839167935058346,0.2216146189660662
3,1.101463183760643,0.7506341958396754,0.18351142182191765
4,0.9831762611865997,0.789193302891933,0.27295111874415995
5,0.8172811716794968,0.8105022831050229,0.2924360754753538
6,0.6970019489526749,0.823947234906139,0.31192022468139236
7,0.5874039232730865,0.8310502283105023,0.31623021126158485
8,0.4673137366771698,0.850076103500761,0.3472251018683141
9,0.36737067997455597,0.8538812785388128,0.3718007127625178
10,0.30390798300504684,0.8559107052257737,0.28031303377804445
