epoch,train_loss,roc_auc,pr_auc
1,0.7403502464294434,0.7131902895261675,0.6620732890667018
2,0.6811346411705017,0.7690323911697957,0.7038737130132768
3,0.6313733011484146,0.8010109345987209,0.7494336963076036
4,0.5792482942342758,0.8055498246337942,0.7628904489858538
5,0.5251083970069885,0.8038305481053573,0.7616808281522757
6,0.47961150854825974,0.8099855580771611,0.7693169894836689
7,0.42423906177282333,0.8173096760883021,0.7809744231164303
8,0.3838312327861786,0.8221236503679251,0.7851383036240307
9,0.32037699967622757,0.8171721339660272,0.7809397506274356
10,0.28619733825325966,0.821092084450863,0.7795725821938393
