epoch,train_loss,roc_auc,pr_auc
1,1.2721971571445465,0.926179604261796,0.5973537170329201
2,1.2463240027427673,0.9299847792998478,0.6140841282685324
3,1.213300347328186,0.9205986808726535,0.6140984385864913
4,1.2079456150531769,0.9140030441400304,0.619833416911833
5,1.2073661983013153,0.9071537290715372,0.6022361712386188
6,1.1454104781150818,0.9056316590563166,0.605097316024266
7,1.1391692757606506,0.9030948756976155,0.6152566761409506
8,1.1189225912094116,0.8987823439878235,0.6063145224194442
9,1.0970423072576523,0.8967529173008625,0.6052626721062229
10,1.0577521622180939,0.8924403855910705,0.6030573403260576
