rep,mean_p_response,median_p_response,min_p_response,coverage_ratio_0_5,coverage_ratio_0_9,mean_presented_peptides
0,0.9426851051143266,0.961974518019542,1.7999838891502584e-05,0.99,0.9,17.44
1,0.9321466295897786,0.948915887213367,1.7999838891502584e-05,0.99,0.88,17.85
2,0.8927035099236038,0.9102584353546734,0.1479439762004031,0.99,0.6,16.98
3,0.9260332978362632,0.9465919295128284,0.1735682478069135,0.99,0.82,17.25
4,0.9764399539697292,0.9851990856136397,0.8377150029201976,1.0,0.97,16.93
5,0.9372315856376983,0.9635603180074399,1.7999838891502584e-05,0.98,0.95,17.05
6,0.9669038206238555,0.9758442156458653,0.568395800465879,1.0,0.99,17.49
7,0.9726328255454676,0.9777007034796884,0.91850005231169,1.0,1.0,18.06
8,0.9141367089439814,0.9403493830339884,1.7999838891502584e-05,0.98,0.78,16.99
9,0.9665568629318829,0.9759426859200078,0.5144453787044814,1.0,0.98,17.44
