cell_id,mean_selected_response,max_selected_response,activated_elements,rep,coverage_0_5,coverage_0_9
0,0.1949983614736523,0.763804051831921,2,0,True,False
1,0.15287657105028205,0.6267521835135927,1,0,True,False
2,0.14699039478745674,0.6938899448859717,1,0,True,False
3,0.2313872029802718,0.7084001871099722,2,0,True,False
4,0.21261407329322562,0.8133760684288108,2,0,True,False
5,0.1559619179861674,0.5800962122847882,1,0,True,False
6,0.22929440215482177,0.6976691409952307,3,0,True,False
7,0.20848764171416528,0.7200641259712017,1,0,True,False
8,0.19632189817186863,0.6220865112745818,2,0,True,False
9,0.20884126626300864,0.6112003445198876,2,0,True,False
10,0.16255074498676123,0.7459841122912025,1,0,True,False
11,0.17478862893157282,0.8589122236953984,2,0,True,False
12,0.24046814184704052,0.650080236195957,2,0,True,False
13,0.22123561535465552,0.819203699768493,2,0,True,False
14,0.17935745777438022,0.95276077257504,1,0,True,True
15,0.1642013891298934,0.9999999603100316,1,0,True,True
16,0.17778329824540437,0.6371202485439521,1,0,True,False
17,0.19382386028359605,0.5800962122847882,3,0,True,False
18,0.1393550128641395,0.5800962122847882,2,0,True,False
19,0.24659986372835627,0.7279021694528387,3,0,True,False
20,0.16443979296919256,0.8755840335232143,1,0,True,False
21,0.09435810697120903,0.9435648697258688,1,0,True,True
22,0.16680141502884846,0.7120002919998865,2,0,True,False
23,0.19741778135356763,0.7408001627199781,2,0,True,False
24,0.17558535156670155,0.7142321302966006,3,0,True,False
25,0.23718925851745415,0.8724541440567882,2,0,True,False
26,0.21185179594448308,0.6457061692737965,1,0,True,False
27,0.16487284158434995,0.8809571612970084,2,0,True,False
28,0.1308747850741246,0.8992230111666006,1,0,True,False
29,0.24882337361234833,0.7387264650073797,3,0,True,False
30,0.1620546254062669,0.7984460827993825,2,0,True,False
31,0.23173562833134068,0.7165648716461414,3,0,True,False
32,0.24537109387919798,0.9271000048600428,3,0,True,True
33,0.18413277207489648,0.7619143940197058,2,0,True,False
34,0.24656923463751418,0.6325841791881939,3,0,True,False
35,0.22657956990995087,0.6325841791881939,1,0,True,False
36,0.22970678348304455,0.6267521835135927,4,0,True,False
37,0.15506818143794154,0.8790676174309996,1,0,True,False
38,0.22346166256794947,0.8425360468018164,3,0,True,False
39,0.16474569907466233,0.8110432320177009,2,0,True,False
40,0.17862858200003068,0.7312002259199344,2,0,True,False
41,0.2075026955140451,0.8148223005811148,3,0,True,False
42,0.26393036059996666,0.6640768942451413,4,0,True,False
43,0.10610629797370612,0.5334403343679261,2,0,True,False
44,0.19826449463347268,0.7900480431568196,2,0,True,False
45,0.21477767649829552,0.7999624426270777,3,0,True,False
46,0.22236187778621747,0.5917602852819415,2,0,True,False
47,0.2117388654380859,0.8214357880746052,3,0,True,False
48,0.1821514280850116,0.8208409600000204,2,0,True,False
49,0.19065328321440916,0.7084001871099722,2,0,True,False
50,0.18161091472744717,0.5800962122847882,2,0,True,False
51,0.24334173425855438,0.7084001871099722,2,0,True,False
52,0.1411838441824556,0.8367040283824169,1,0,True,False
53,0.15376135381495143,0.5626003936598674,1,0,True,False
54,0.23224316721252544,0.6112003445198876,2,0,True,False
55,0.18048138479061976,0.7245008922364582,2,0,True,False
56,0.24910918916567876,0.7408002080799478,3,0,True,False
57,0.2172347426824476,0.5800962122847882,2,0,True,False
58,0.0887145953546738,0.8871297535605165,1,0,True,False
59,0.22790375557303735,0.7795504487263791,3,0,True,False
60,0.227064323428755,0.7732001780199581,3,0,True,False
61,0.19258372824925532,0.8367040569592109,2,0,True,False
62,1.7999984690542092e-06,1.7999984690542092e-06,0,0,False,False
63,0.10865235451527915,0.8065081631656418,1,0,True,False
64,0.18113809244772758,0.8133760684288108,2,0,True,False
65,0.1792789653539665,0.7667200972000062,2,0,True,False
66,0.22154929146673333,0.7106599748610309,2,0,True,False
67,0.14160146266480286,0.8992000474800029,1,0,True,False
68,0.24544583920405957,0.574847331088802,2,0,True,False
69,0.1852859045940081,0.7713856527990588,2,0,True,False
70,0.17428395607168098,0.6457061692737965,2,0,True,False
71,0.1928869281323339,0.8548480232128156,3,0,True,False
72,0.16801679229877778,0.9032540525590425,1,0,True,True
73,0.26501741184209515,0.5800962122847882,3,0,True,False
74,0.19390490118224962,0.897940033048017,2,0,True,False
75,0.25043414216558074,0.7874236017714943,3,0,True,False
76,0.18133098689934002,0.9032320270336096,2,0,True,True
77,0.18055563444332962,0.9606339838162202,2,0,True,True
78,0.18619094463538655,0.7354002213399364,3,0,True,False
79,0.23971222553204335,0.6598002953799078,2,0,True,False
80,0.22053832016823524,0.7916750910471555,2,0,True,False
81,0.20690984467656373,0.6220865112745818,1,0,True,False
82,0.2271103560312931,0.6267521835135927,2,0,True,False
83,0.21951325305640976,0.7984001201599876,1,0,True,False
84,0.23792850809702867,0.7200641259712017,1,0,True,False
85,0.19705226230472736,0.7958801227959865,2,0,True,False
86,0.2118382645718982,0.6938202012039667,3,0,True,False
87,0.19610808772042404,0.7900480857304064,2,0,True,False
