hour,total_demand_mw,total_curtailment_mw,total_load_shedding_mw,total_storage_charge_mw,total_storage_discharge_mw,gen_onshore wind_mw,gen_gas_mw,gen_nuclear_mw
0,113235.03081712821,15788.028224131616,88468.88925756379,0.0,325.0,29781.81320171868,8047.356581977324,2400.0
1,101604.81038085517,11770.834634711462,77291.36848182749,0.0,550.0,25086.919951761818,8047.356581977324,2400.0
2,86308.16927158141,12533.330212861441,62576.73170657518,0.0,362.5,25454.911195890345,8047.356581977324,2400.0
3,80522.35697790461,13162.760074379332,57204.08637313453,0.0,0.0,26033.67409717208,8047.356581977324,2400.0
4,90165.30637495837,9779.890579284609,66275.6155682414,0.0,0.0,23222.224804024267,8047.356581977324,2400.0
5,109380.90701161747,11372.057582038771,84297.734036087,0.0,0.0,26007.873975591894,8047.356581977324,2400.0
6,124989.68566055656,8328.066859903574,100113.21651699288,0.0,0.0,22757.179421489942,8047.356581977324,2400.0
7,126516.00307208969,10985.25351360683,101278.50453380274,0.0,0.0,25775.39546991646,8047.356581977324,2400.0
8,114156.67664708235,14120.145258896264,89645.55008790866,0.0,0.0,28183.915236092624,8047.356581977324,2400.0
9,98623.42379830468,14972.802119365102,74615.45851446997,0.0,0.0,28533.410821222496,8047.356581977324,2400.0
10,92979.1398988091,6831.90856016213,69272.59523908739,0.0,0.0,20091.09663790654,8047.356581977324,2400.0
11,102684.2598795031,8403.768504269716,78221.52567636347,0.0,0.0,22419.146125432027,8047.356581977324,2400.0
12,121432.36935956641,7226.106867680153,96581.27174871595,300.0,200.0,21729.847896553292,8047.356581977324,2400.0
13,135946.04648064196,8225.63775119036,110139.7640399015,0.0,168.75,23415.813609953475,8047.356581977324,2400.0
14,136081.209903101,7645.646329787996,110388.99073982904,0.0,0.0,22890.508911082634,8047.356581977324,2400.0
15,122546.12188226433,9951.864712270517,97288.48242397381,0.0,0.0,24762.147588583695,8047.356581977324,2400.0
16,106357.49615029007,5744.3659753545035,81862.76967914803,0.0,0.0,19791.735864519233,8047.356581977324,2400.0
17,100447.87932489335,9537.61889120063,75934.08822733641,0.0,200.0,23404.05340678024,8047.356581977324,2400.0
18,109814.82762275719,5268.293686955829,85151.53597802293,0.0,0.0,19484.228749712744,8047.356581977324,2400.0
19,127712.73677207026,6334.59450363279,102210.02458099446,0.0,0.0,21389.95011273127,8047.356581977324,2400.0
20,140787.0447698484,6740.103453570562,114703.47301753586,0.0,0.0,22376.318623905805,8047.356581977324,2400.0
21,139241.418137539,4808.487694710047,113713.26605048418,0.0,0.0,19889.28319978757,8047.356581977324,2400.0
22,124296.19964579133,10056.580166112355,99012.45821113548,300.0,0.0,25192.965018790866,8047.356581977324,2400.0
23,107258.94126429211,11305.649363839915,82702.3585152337,0.0,168.75,25246.125530921006,8047.356581977324,2400.0
24,100914.75972337114,8919.625051947554,77174.91523041732,550.0,0.0,22762.112962924086,8047.356581977324,2400.0
25,109792.26415792527,11878.944303556875,85406.29898830924,0.0,309.375,25508.177891195563,8047.356581977324,2400.0
26,126716.98915249383,13815.726627788292,101334.0946497376,0.0,0.0,28751.264548567193,8047.356581977324,2400.0
27,138276.68711117023,10637.428004495112,112839.73852396673,0.0,0.0,25627.020009721244,8047.356581977324,2400.0
28,135036.95912951572,7881.65503310561,109362.40731484351,0.0,0.0,23108.850265800513,8047.356581977324,2400.0
29,118728.58895188865,11576.257381697731,94151.18499242551,0.0,0.0,25706.304759183557,8047.356581977324,2400.0
