bus,demand_gwh,generation_gwh,curtailment_gwh,load_shedding_gwh
Bus1,109.0,767.05,1170.17,0.0
Bus2,134.08,764.77,297.41,0.0
Bus3,103.11,743.13,270.66,0.0
Bus4,161.91,753.0,169.12,0.0
Bus5,118.19,780.75,14.37,0.0
Bus6,1073.53,122.08,0.0,560.93
Bus7,932.08,88.42,0.0,621.39
Bus8,1016.09,344.63,0.0,500.8
Bus9,1026.83,83.2,0.0,705.12
Bus10,880.93,159.21,0.0,465.2
Bus11,1197.34,140.66,0.0,1048.83
Bus12,1118.93,92.47,0.0,973.7
Bus13,1185.21,75.87,0.0,1558.44
Bus14,1167.19,345.81,0.0,898.42
Bus15,1047.47,135.68,0.0,953.65
Bus16,1178.1,137.87,0.0,916.51
Bus17,842.08,139.66,0.0,774.79
Bus18,885.42,81.98,0.0,832.31
Bus19,824.64,105.23,0.0,759.3
Bus20,937.57,86.35,0.0,344.48
