COUNTRY,n_mangrove_cells,mean_slr_rate,mean_slr_risk,mean_tc_risk,mean_composite_risk,std_composite_risk,n_high_risk,n_medium_risk,n_low_risk,pct_high_risk,pct_medium_risk,pct_low_risk
ANT,29,9.342857142857143,0.9342857142857144,0.2070393268259481,0.5706625205558313,,0,1,0,0.0,3.4482758620689653,0.0
American Samoa,6,10.6,1.0,0.640267197411385,0.8201335987056926,,1,0,0,16.666666666666664,0.0,0.0
Angola,107,9.540476190476191,0.954047619047619,0.0,0.4770238095238095,0.005324503745519777,0,6,0,0.0,5.607476635514018,0.0
Antigua and Barbuda,80,7.8392857142857135,0.7839285714285713,0.2286195119549,0.5062740416917357,0.004348650961815685,0,2,0,0.0,2.5,0.0
Aruba,7,9.507142857142858,0.9507142857142858,0.2586980045516979,0.6047061451329919,,0,1,0,0.0,14.285714285714285,0.0
Australia,3539,8.802897574123989,0.880289757412399,0.20744940244294097,0.5438695799276699,0.10599357675200843,21,85,0,0.593387962701328,2.4018084204577566,0.0
Bahamas,615,9.057142857142859,0.9057142857142858,0.25743677000236354,0.5815755278583248,0.038309671495555316,0,7,0,0.0,1.1382113821138211,0.0
Bangladesh,3799,8.129761904761905,0.8129761904761906,0.08279071473773882,0.44788345260696466,0.07024697624036379,0,6,0,0.0,0.1579362990260595,0.0
Barbados,4,8.685714285714287,0.8685714285714287,0.3443539988429827,0.6064627137072057,,0,1,0,0.0,25.0,0.0
Benin,45,9.1,0.91,0.0,0.4549999999999999,,0,1,0,0.0,2.2222222222222223,0.0
Brazil,5841,9.01670918367347,0.9008163265306123,0.06130814411048676,0.48106223532054954,0.04662801789063922,0,56,0,0.0,0.9587399417907893,0.0
Cambodia,326,8.65952380952381,0.8659523809523811,0.0793487612915784,0.4726505711219797,0.056401599417863796,0,3,0,0.0,0.9202453987730062,0.0
Cameroon,798,9.104761904761906,0.9104761904761905,0.0,0.4552380952380953,0.004260840516231739,0,3,0,0.0,0.37593984962406013,0.0
