COUNTRY,n_mangrove_cells,mean_slr_rate,mean_slr_risk,mean_tc_risk,mean_composite_risk,std_composite_risk,n_high_risk,n_medium_risk,n_low_risk,pct_high_risk,pct_medium_risk,pct_low_risk
ANT,29,7.485714285714287,0.7485714285714287,0.2070393268259481,0.4778053776986884,,0,1,0,0.0,3.4482758620689653,0.0
American Samoa,6,8.714285714285714,0.8714285714285713,0.640267197411385,0.7558478844199782,,1,0,0,16.666666666666664,0.0,0.0
Angola,107,7.158333333333334,0.7158333333333333,0.0,0.35791666666666666,0.005313712846747269,0,6,0,0.0,5.607476635514018,0.0
Antigua and Barbuda,80,6.114285714285715,0.6114285714285714,0.2286195119549,0.42002404169173574,0.005611341642505866,0,2,0,0.0,2.5,0.0
Aruba,7,7.6571428571428575,0.7657142857142858,0.2586980045516979,0.5122061451329919,,0,1,0,0.0,14.285714285714285,0.0
Australia,3539,6.709838274932615,0.6709838274932615,0.20744940244294097,0.4392166149681012,0.10925695811918515,0,85,21,0.0,2.4018084204577566,0.593387962701328
Bahamas,615,7.55,0.755,0.25743677000236354,0.5062183850011818,0.039198786661178486,0,7,0,0.0,1.1382113821138211,0.0
Bangladesh,3799,6.1761904761904765,0.6176190476190476,0.08279071473773882,0.35020488117839327,0.06965212752683558,0,4,2,0.0,0.10529086601737299,0.052645433008686494
Barbados,4,6.964285714285714,0.6964285714285714,0.3443539988429827,0.520391285135777,,0,1,0,0.0,25.0,0.0
Benin,45,7.057142857142859,0.7057142857142858,0.0,0.3528571428571429,,0,1,0,0.0,2.2222222222222223,0.0
Brazil,5841,7.010331632653061,0.7010331632653062,0.06130814411048676,0.38117065368789643,0.04534511660815054,0,55,1,0.0,0.9416195856873822,0.01712035610340695
Cambodia,326,6.638095238095239,0.6638095238095238,0.0793487612915784,0.3715791425505512,0.05681536250491311,0,2,1,0.0,0.6134969325153374,0.3067484662576687
Cameroon,798,6.914285714285715,0.6914285714285714,0.0,0.3457142857142857,0.0036246041303900542,0,3,0,0.0,0.37593984962406013,0.0
Cayman Islands,43,7.5,0.75,0.4411138951021601,0.59555694755108,0.006247239245349244,0,2,0,0.0,4.651162790697675,0.0
China,424,6.71218487394958,0.671218487394958,0.1583194790510485,0.41476898322300326,0.05626616079353485,0,17,0,0.0,4.009433962264151,0.0
Colombia,704,7.65,0.765,0.08781789898074231,0.42640894949037117,0.10480121101105111,0,9,5,0.0,1.278409090909091,0.7102272727272727
Comoros,10,7.442857142857143,0.7442857142857144,0.4320442232395932,0.5881649687626538,0.025952648847305946,0,2,0,0.0,20.0,0.0
Congo,177,7.088095238095239,0.7088095238095239,0.0,0.3544047619047619,0.004364357804719911,0,3,0,0.0,1.694915254237288,0.0
Costa Rica,22,7.289285714285715,0.7289285714285715,0.0542537606640049,0.3915911660462882,0.028053378650886113,0,2,0,0.0,9.090909090909092,0.0
Cuba,1018,7.654621848739496,0.7654621848739496,0.3097610495725851,0.5376116172232673,0.09087328885411108,1,16,0,0.09823182711198428,1.5717092337917484,0.0
