lat_grid,lon_grid,mangrove_count,lat_mean,lon_mean
-40,177,1,-39.81275378221357,177.01858419967576
-39,-62,3,-39.09576749199491,-62.191066042372476
-39,144,1,-38.57770000000001,143.95550000000003
-39,145,1,-38.5071,145.3407
-39,146,41,-38.76781608262926,146.19919152277285
-39,147,39,-38.68309200024632,146.69166342082622
-38,144,2,-38.061774814467526,144.4134748352747
-38,145,41,-38.25995606606684,145.32433595035067
-38,146,2,-38.32320000000001,145.5188
-38,148,1,-37.956452309169315,147.74061272476493
-38,175,7,-37.81395166020309,174.90571341253138
-38,176,32,-37.62157397463611,176.0538628619594
-38,177,5,-38.01278000000001,177.12266
-37,-73,1,-36.77134364489184,-73.1582235969556
-37,150,19,-36.694383672862635,149.9786516241955
-37,174,6,-36.57293333333334,174.3581
-37,175,100,-36.96585133886162,174.9485889939015
-37,176,35,-37.04563099170942,175.7370038427988
-36,-73,3,-35.95981400777102,-72.7241687549451
-36,139,2,-35.73054759639537,139.0097338368252
-36,150,17,-36.070544523614906,150.1226985562834
-36,174,69,-36.088352530925675,174.3290881055456
-36,175,31,-36.107153119755615,174.74991609728082
-35,136,1,-34.794231747006584,135.78465694341529
-35,138,2,-34.8953699111394,138.12880868428658
-35,139,6,-34.798033333333336,138.54510000000002
-35,150,1,-35.274100000000004,150.4787
-35,151,15,-34.97343333333334,150.68132666666668
-35,173,81,-34.93355504587122,173.21266351299477
-35,174,53,-35.200713370486,173.95657109881398
-34,-72,3,-34.242352591493876,-72.00297753243304
-34,22,1,-34.147960854027524,22.250062568393727
-34,23,2,-34.04344398443579,23.030253643310935
-34,116,1,-33.547230760107276,115.51254458390488
-34,123,1,-33.9303522635183,123.32907226633017
-34,137,16,-33.71091047117592,137.0215881064934
-34,138,17,-34.13166785780555,138.06018057560053
-34,151,16,-33.856675,151.127825
-34,173,4,-34.49091159201447,172.93360501979834
-33,-72,1,-33.28440688491612,-71.65111432740669
-33,18,1,-32.840382979317155,18.215971813654928
-33,27,3,-33.301966666666665,27.432766666666666
-33,28,9,-32.91005555555556,28.057744444444445
-33,29,4,-32.57115,28.54585
-33,116,1,-32.552490038003526,115.78970446898286
-33,134,5,-32.97950000000001,134.28314
-33,137,5,-33.283746921742605,137.41226126769214
-33,138,27,-32.91530855661899,137.8276161026718
-33,151,11,-33.447585483210396,151.27626805976013
-33,152,37,-32.82181818465626,151.89944010581377
-32,-71,2,-31.987020285663416,-71.47046276642843
-32,29,22,-32.06980951073632,29.059819819786778
-32,30,7,-31.577157142857143,29.615785714285714
-32,133,9,-32.157452032078815,133.469772762365
-32,134,11,-32.27772082789574,133.77928540796427
-32,138,1,-32.4027,137.7589
-32,152,5,-32.0678293929614,152.48196343097624
-32,153,21,-31.870347619047617,152.6382142857143
-31,-72,1,-30.713561222663497,-71.67659363082608
-31,30,16,-31.099515309929895,30.16557455141555
-31,115,1,-30.551767200040267,115.10185245868043
-31,153,12,-31.05105,152.93821666666668
-30,31,17,-29.96974705882353,30.934911764705884
-30,153,9,-30.190166666666666,153.15192222222223
-29,32,40,-28.82485552991516,31.99297240726592
-29,114,1,-28.8867877231999,113.82631567665815
-29,115,5,-28.91542,114.74166
-29,153,29,-29.33175663632126,153.2878864770727
-29,154,13,-28.768294653871504,153.56289623217864
-28,-49,13,-27.628485156587008,-48.5892788281749
-28,32,15,-28.416819736779072,32.41165429784763
-28,33,7,-27.718357142857144,32.61627142857144
-28,114,2,-28.4096,114.45080000000002
-28,153,49,-27.789317844273825,153.39131148046488
-28,154,9,-28.286744444444444,153.5457888888889
-27,-49,12,-27.063907154360184,-48.60434773847647
