state,state_abbr,projects,share_pct,cum_share_pct
california,CA,215,25.841346153846153,25.841346153846153
colorado,CO,142,17.067307692307693,42.90865384615385
utah,UT,130,15.625,58.53365384615385
texas,TX,104,12.5,71.03365384615384
idaho,ID,73,8.774038461538462,79.8076923076923
nevada,NV,58,6.971153846153846,86.77884615384615
wyoming,WY,47,5.649038461538462,92.42788461538461
north dakota,ND,44,5.288461538461538,97.71634615384615
kansas,KS,15,1.8028846153846154,99.51923076923076
montana,MT,1,0.1201923076923077,99.63942307692307
oklahoma,OK,1,0.1201923076923077,99.75961538461537
oregon,OR,1,0.1201923076923077,99.87980769230768
south dakota,SD,1,0.1201923076923077,99.99999999999999
