agent_group,apparatus_category,mentions
acetone,ground,26
ammonium,ground,1
ammonium iodide,ground,79
ammonium perchlorate,ground,3
calcium carbonate,airborne,1
calcium chloride,airborne,28
cesium iodide,mixed ground-airborne,2
dry ice,airborne,7
dry ice,mixed ground-airborne,7
dry ice/carbon dioxide,airborne,3
dry ice/carbon dioxide,ground,1
hygroscopic materials,airborne,24
hygroscopic materials,mixed ground-airborne,8
ionized air,airborne,5
ionized air,ground,12
ionized air,unspecified,4
potassium chloride,airborne,2
potassium iodide,ground,1
propane,mixed ground-airborne,4
silver chloride,ground,1
silver iodide,airborne,218
silver iodide,ground,446
silver iodide,mixed ground-airborne,131
sodium chloride,airborne,5
sodium iodide,ground,108
sodium perchlorate,ground,4
sodium precipitate,ground,1
sulfur dioxide,airborne,1
water,airborne,2
water,ground,1
