year,purpose_group,mentions
2000,hail suppression,3
2000,precipitation enhancement,17
2000,runoff augmentation,1
2000,snowpack augmentation,4
2001,hail suppression,3
2001,precipitation enhancement,12
2001,research,2
2001,runoff augmentation,2
2001,snowpack augmentation,9
2002,fog suppression,2
2002,hail suppression,5
2002,precipitation enhancement,24
2002,runoff augmentation,2
2002,snowpack augmentation,19
2003,fog suppression,2
2003,hail suppression,6
2003,precipitation enhancement,27
2003,runoff augmentation,2
2003,snowpack augmentation,23
2004,fog suppression,1
2004,hail suppression,6
2004,precipitation enhancement,26
2004,runoff augmentation,2
2004,snowpack augmentation,25
2005,fog suppression,1
2005,hail suppression,6
2005,precipitation enhancement,25
2005,runoff augmentation,3
2005,snowpack augmentation,26
2006,fog suppression,1
2006,hail suppression,4
2006,precipitation enhancement,23
2006,research,1
2006,runoff augmentation,3
2006,snowpack augmentation,22
2007,fog suppression,2
2007,hail suppression,4
2007,precipitation enhancement,22
2007,runoff augmentation,2
2007,snowpack augmentation,24
2008,fog suppression,2
2008,hail suppression,3
2008,precipitation enhancement,16
2008,research,1
2008,runoff augmentation,3
2008,snowpack augmentation,27
2009,fog suppression,2
2009,hail suppression,4
2009,precipitation enhancement,17
2009,runoff augmentation,3
2009,snowpack augmentation,26
2010,hail suppression,4
2010,precipitation enhancement,17
2010,runoff augmentation,3
2010,snowpack augmentation,23
2011,hail suppression,4
2011,precipitation enhancement,16
2011,runoff augmentation,2
2011,snowpack augmentation,21
2012,hail suppression,4
2012,precipitation enhancement,14
2012,runoff augmentation,2
2012,snowpack augmentation,20
2013,hail suppression,4
2013,precipitation enhancement,15
2013,runoff augmentation,3
2013,snowpack augmentation,22
2014,hail suppression,4
2014,precipitation enhancement,15
2014,research,2
2014,runoff augmentation,3
2014,snowpack augmentation,23
2015,hail suppression,3
2015,precipitation enhancement,18
2015,research,1
2015,runoff augmentation,2
2015,snowpack augmentation,20
2016,hail suppression,3
2016,precipitation enhancement,19
2016,runoff augmentation,3
2016,snowpack augmentation,21
2017,hail suppression,2
2017,precipitation enhancement,16
2017,runoff augmentation,2
2017,snowpack augmentation,21
2018,hail suppression,2
2018,precipitation enhancement,13
2018,runoff augmentation,1
2018,snowpack augmentation,20
2019,precipitation enhancement,11
2019,runoff augmentation,1
2019,snowpack augmentation,14
2020,hail suppression,2
2020,precipitation enhancement,10
2020,snowpack augmentation,6
2021,hail suppression,1
2021,precipitation enhancement,8
2021,runoff augmentation,1
2021,snowpack augmentation,14
2022,precipitation enhancement,12
2022,runoff augmentation,1
2022,snowpack augmentation,21
2023,hail suppression,1
2023,precipitation enhancement,9
2023,research,1
2023,runoff augmentation,1
2023,snowpack augmentation,23
2024,hail suppression,2
2024,precipitation enhancement,14
2024,research,1
2024,runoff augmentation,3
2024,snowpack augmentation,25
2025,precipitation enhancement,7
2025,runoff augmentation,3
2025,snowpack augmentation,17
