state,purpose_group,mentions
california,precipitation enhancement,134
california,research,3
california,runoff augmentation,42
california,snowpack augmentation,82
colorado,precipitation enhancement,107
colorado,snowpack augmentation,140
idaho,precipitation enhancement,28
idaho,snowpack augmentation,66
kansas,hail suppression,15
kansas,precipitation enhancement,14
montana,fog suppression,1
nevada,fog suppression,7
nevada,precipitation enhancement,2
nevada,snowpack augmentation,56
north dakota,hail suppression,42
north dakota,precipitation enhancement,42
north dakota,research,2
oklahoma,hail suppression,1
oklahoma,precipitation enhancement,1
oregon,precipitation enhancement,1
south dakota,research,1
texas,hail suppression,22
texas,precipitation enhancement,94
utah,fog suppression,5
utah,runoff augmentation,2
utah,snowpack augmentation,125
wyoming,research,3
wyoming,runoff augmentation,10
wyoming,snowpack augmentation,47
