comparison,variable,n_hours,mean_abs_error,max_abs_error,rmse,mean_abs_percentage_error,allclose_at_1e-6
sum_BN001_BN010_vs_CN01,Electricity [kW],8760,5.067889284279801e-15,2.2737367544323206e-13,2.4811687694014237e-14,8.645378095926591e-16,True
sum_BN001_BN010_vs_CN01,Heat [mmBTU],8760,5.153868199794151e-15,8.526512829121202e-14,1.2907649793152806e-14,3.32436068422097e-15,True
sum_BN001_BN010_vs_CN01,Cooling Energy [Ton],8760,9.629638537607203e-15,1.7053025658242404e-13,2.408754278176309e-14,3.422421599224422e-15,True
sum_BN001_BN010_vs_CN01,PV Power Generation [kW],8760,9.052119784341003e-16,2.842170943040401e-14,3.810995369596077e-15,2.1724200486551774e-15,True
sum_BN001_BN010_vs_CN01,Greenhouse Gas Emission [Ton],8760,1.6890801289347404e-14,1.7053025658242404e-13,3.403784888879479e-14,4.307065919213095e-15,True
sum_BN001_BN010_vs_Total,Electricity [kW],8760,5.067889284279801e-15,2.2737367544323206e-13,2.4811687694014237e-14,8.645378095926591e-16,True
sum_BN001_BN010_vs_Total,Heat [mmBTU],8760,5.153868199794151e-15,8.526512829121202e-14,1.2907649793152806e-14,3.32436068422097e-15,True
sum_BN001_BN010_vs_Total,Cooling Energy [Ton],8760,9.629638537607203e-15,1.7053025658242404e-13,2.408754278176309e-14,3.422421599224422e-15,True
sum_BN001_BN010_vs_Total,PV Power Generation [kW],8760,9.052119784341003e-16,2.842170943040401e-14,3.810995369596077e-15,2.1724200486551774e-15,True
sum_BN001_BN010_vs_Total,Greenhouse Gas Emission [Ton],8760,1.6890801289347404e-14,1.7053025658242404e-13,3.403784888879479e-14,4.307065919213095e-15,True
CN01_vs_Total,Electricity [kW],8760,0.0,0.0,0.0,0.0,True
CN01_vs_Total,Heat [mmBTU],8760,0.0,0.0,0.0,0.0,True
CN01_vs_Total,Cooling Energy [Ton],8760,0.0,0.0,0.0,0.0,True
CN01_vs_Total,PV Power Generation [kW],8760,0.0,0.0,0.0,0.0,True
CN01_vs_Total,Greenhouse Gas Emission [Ton],8760,0.0,0.0,0.0,0.0,True
