rank,feature,importance
1,Centroid_distance_mean_15,0.11414841790032917
2,M1_Nose_to_M2_tail_base,0.09073527072032322
3,M1_angle,0.07744958181795981
4,M2_angle,0.06260953361930094
5,M2_Nose_to_M1_tail_base,0.05637169776728586
6,M2_Nose_to_M1_lat_right,0.05238902289866553
7,Centroid_distance_std_15,0.032578175081664544
8,Nose_to_tail_ratio,0.02407666347181296
9,M2_ear_distance,0.02385023080303772
10,M1_Nose_to_M2_lat_left,0.019483406202334592
11,Angle_between_mice,0.018518475603210585
12,M2_centroid_to_lat_left,0.01672598420187861
13,Width_ratio,0.01536969924582941
14,M1_centroid_to_lat_right,0.013412139110410615
15,M1_ear_distance,0.012690479943241052
16,Nose_to_nose_distance_std_15,0.012683455351500832
17,M1_centroid_to_lat_left,0.012361518972188151
18,M1_nose_to_tail,0.012003922519913737
19,M2_nose_to_lat_right,0.010914726586838893
20,M2_centroid_to_lat_right,0.010549365613751792
