rank,feature,importance
1,Centroid_distance_mean_15,0.04270956136411016
2,M1_Nose_to_M2_tail_base,0.03856459555635301
3,M1_angle,0.038422050967775755
4,M2_angle,0.036771567839376844
5,M2_Nose_to_M1_tail_base,0.03231524014018485
6,M2_Nose_to_M1_lat_right,0.028573994671999198
7,M1_Nose_to_M2_lat_right,0.025513111542448258
8,Centroid_distance_mean_10,0.023866412482756047
9,Centroid_distance_mean_5,0.020747641460969222
10,Centroid_distance,0.020245267627982903
11,M2_Nose_to_M1_lat_left,0.019834480612410454
12,Angle_between_mice,0.019349099601339202
13,Centroid_distance_mean_7,0.01909350580816935
14,Centroid_distance_std_15,0.018491483684750995
15,Nose_to_nose_distance_mean_10,0.018135195268837674
16,Nose_to_tail_ratio,0.017329526776282425
17,M1_Nose_to_M2_lat_left,0.017257273619687753
18,Centroid_distance_mean_6,0.016067395986823517
19,Nose_to_nose_distance_mean_7,0.0156322170111045
20,Nose_to_nose_distance_mean_5,0.015501973533677384
