rank,feature,importance
1,M2_angle,0.06995254810839172
2,Centroid_distance_mean_15,0.043622455094132324
3,M1_centroid_to_lat_right,0.038712417998600666
4,M1_angle,0.032829066948320836
5,Centroid_distance_mean_10,0.0270245352703009
6,Centroid_distance_mean_7,0.026313136552688902
7,M2_Nose_to_M1_tail_base,0.025492667122010797
8,Centroid_distance,0.024084428563035946
9,Nose_to_nose_distance_mean_15,0.023493926550933436
10,Centroid_distance_mean_6,0.02340495688479365
11,Angle_between_mice,0.023160703833440325
12,Nose_to_nose_distance_mean_2,0.02220962645575872
13,Total_movement_both_mean_15,0.021960253629250755
14,Nose_to_nose_distance,0.020508679923105726
15,Nose_to_nose_distance_mean_10,0.020296188681331064
16,Centroid_distance_std_15,0.020146498074288206
17,Centroid_distance_mean_5,0.020086190524248235
18,M1_Nose_to_M2_tail_base,0.018349836746936618
19,Nose_to_nose_distance_mean_7,0.01787171071606548
20,M2_Nose_to_M1_lat_right,0.017724186877543603
