rank,feature,importance
1,M2_angle,0.11079131702518097
2,M2_Nose_to_M1_tail_base,0.09502765463517315
3,Centroid_distance_std_15,0.07806394677894649
4,M1_angle,0.06112607829121668
5,Centroid_distance_mean_15,0.05818457275342217
6,M1_Nose_to_M2_tail_base,0.05799108953997105
7,M1_centroid_to_lat_right,0.034074037430405664
8,Total_movement_both_mean_15,0.03230529593629886
9,Movement_M2_ear_right,0.027046416158804456
10,M1_centroid_to_lat_left,0.023777133201183187
11,Nose_to_nose_distance_mean_15,0.018495482075001523
12,M2_Nose_to_M1_lat_right,0.017323940557597815
13,Width_ratio,0.016958746433267387
14,M1_ear_distance,0.016205035744527464
15,M2_nose_to_lat_left,0.014821439000635327
16,Angle_between_mice,0.012994787666763555
17,M2_Nose_to_M1_lat_left,0.012154369129535636
18,Total_movement_both_std_2,0.010584095412593933
19,M2_nose_to_tail,0.010559165127206014
20,Total_movement_both_std_15,0.010466301232187369
