year,region_id,region_name,glacier_area,mass_change_gt,mass_change_gt_err,mass_change_mwe,mass_change_mwe_err,cumulative_gt,cumulative_gt_err,cumulative_mwe,cumulative_mwe_err
2000,0,Global,704082.6956499998,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352,-78.04414729402814,10.562241754595373,-0.1111786793375206,0.3979473757296751
2001,0,Global,701805.4987500003,-215.16931097001844,95.3001011576375,-0.3075164866023069,0.1350498121659405,-293.2134582640466,14.38266498393658,-0.4186951659398275,0.5416751111285026
2002,0,Global,699528.3018500003,-128.46636738674923,91.14634450070768,-0.1841997326262217,0.1289299604899674,-421.6798256507958,17.26289073535667,-0.6028948985660492,0.6498783628541906
2003,0,Global,697251.1049500001,-192.6724697716301,72.79887688516011,-0.2771630264606625,0.1028951725208123,-614.3522954224259,19.25633073630652,-0.8800579250267117,0.7247324051171269
2004,0,Global,694973.9080500001,-229.2369109878561,73.022158218317,-0.3308421919121849,0.1028436503023272,-843.589206410282,21.067235975427344,-1.2109001169388964,0.7925154316031849
2005,0,Global,692696.71115,-315.0371756633185,74.19065798809451,-0.4561666396999292,0.1044578602427483,-1158.6263820736006,22.76003272476634,-1.6670667566388255,0.8558846707190934
2006,0,Global,690419.51425,-279.8898739792978,72.77317030930298,-0.4066108567264724,0.1025138185768302,-1438.5162560528984,24.30621854467983,-2.073677613365298,0.9138120091948677
2007,0,Global,688142.31735,-323.16570882967466,71.78509732133082,-0.4710335566158922,0.1010360421851532,-1761.681964882573,25.7405780289229,-2.5447111699811904,0.9675166305205891
2008,0,Global,685865.12045,-178.6324817323364,71.86184704387401,-0.2612321087124307,0.1011209402057232,-1940.3144466149095,27.10053881949476,-2.805943278693621,1.0184347649897059
2009,0,Global,683587.9235500002,-231.2381243724868,71.29354455724742,-0.3392890923913098,0.1001020384598227,-2171.5525709873964,28.38543198304704,-3.145232371084931,1.066448033895445
2010,0,Global,681310.7266500002,-231.1966727048064,72.2582027545506,-0.3403621001158775,0.101352981542154,-2402.749243692203,29.630912095626424,-3.4855944712008085,1.1129530046419813
2011,0,Global,679033.5297499998,-365.9472468839626,68.11267549573648,-0.540545313270877,0.0950926143458494,-2768.6964905761656,30.758797556381765,-4.0261397844716855,1.1548839789725476
2012,0,Global,676756.3328500001,-188.0208512243996,67.35045471659744,-0.2786624991943321,0.0941254547446842,-2956.717341800565,31.834793572930145,-4.304802283666017,1.1949403581903775
2013,0,Global,674479.1359500001,-304.73798136525033,66.47051377096227,-0.4531718327704068,0.0925856747213776,-3261.4553231658156,32.86220618890395,-4.757974116436424,1.233072639528396
2014,0,Global,672201.9390499997,-149.889416279315,65.94044282966604,-0.2236536803279121,0.0920570437100916,-3411.3447394451305,33.85062833141658,-4.981627796764336,1.269852423734198
2015,0,Global,669924.74215,-284.97423508815865,66.77259130583126,-0.4266624477275931,0.0932270670335857,-3696.3189745332893,34.82294688474159,-5.408290244491929,1.3060445034902917
2016,0,Global,667647.5452499996,-340.6076946742656,68.35959222730513,-0.5116960211749099,0.0952916518024702,-4036.926669207555,35.7910215272607,-5.9199862656668385,1.3420297675162325
2017,0,Global,665370.3483500001,-217.68675972042345,66.39070274109359,-0.3281507593734814,0.0924077513562398,-4254.613428927978,36.7067830884965,-6.24813702504032,1.3760274881905203
