region_id,region_name,method,n_years,first_year,last_year,annual_var_count
10,North Asia,demdiff_and_glaciological,24,1999.75,2022.75,24.0
11,Central Europe,demdiff_and_glaciological,24,1999.75,2022.75,24.0
12,Caucasus & Middle East,demdiff_and_glaciological,24,1999.75,2022.75,24.0
13,Central Asia,altimetry,21,1999.75,2019.75,7.0
13,Central Asia,demdiff_and_glaciological,24,1999.75,2022.75,24.0
14,South Asia West,altimetry,21,1999.75,2019.75,7.0
14,South Asia West,demdiff_and_glaciological,24,1999.75,2022.75,24.0
15,South Asia East,altimetry,21,1999.75,2019.75,7.0
15,South Asia East,demdiff_and_glaciological,24,1999.75,2022.75,24.0
16,Low Latitudes,demdiff_and_glaciological,24,2000.0,2023.0,24.0
17,Southern Andes,altimetry,9,2011.25,2019.25,9.0
17,Southern Andes,gravimetry,20,2002.25,2021.25,18.0
17,Southern Andes,demdiff_and_glaciological,23,2000.25,2022.25,23.0
18,New Zealand,demdiff_and_glaciological,23,2000.25,2022.25,23.0
19,Antarctic & Subantarctic,altimetry,20,2003.25,2022.25,9.0
19,Antarctic & Subantarctic,demdiff_and_glaciological,23,2000.25,2022.25,23.0
1,Alaska,altimetry,9,2010.75,2018.75,9.0
1,Alaska,gravimetry,20,2002.75,2021.75,18.0
1,Alaska,demdiff_and_glaciological,24,1999.75,2022.75,24.0
2,Western Canada & US,altimetry,10,2012.75,2021.75,10.0
2,Western Canada & US,demdiff_and_glaciological,24,1999.75,2022.75,24.0
3,Arctic Canada North,altimetry,21,2002.75,2022.75,9.0
3,Arctic Canada North,gravimetry,20,2002.75,2021.75,18.0
3,Arctic Canada North,demdiff_and_glaciological,24,1999.75,2022.75,24.0
4,Arctic Canada South,altimetry,21,2002.75,2022.75,9.0
4,Arctic Canada South,gravimetry,20,2002.75,2021.75,18.0
4,Arctic Canada South,demdiff_and_glaciological,24,1999.75,2022.75,24.0
5,Greenland Periphery,altimetry,21,2000.75,2020.75,21.0
5,Greenland Periphery,demdiff_and_glaciological,24,1999.75,2022.75,24.0
6,Iceland,altimetry,9,2010.75,2018.75,9.0
6,Iceland,gravimetry,20,2002.75,2021.75,18.0
6,Iceland,demdiff_and_glaciological,24,1999.75,2022.75,24.0
7,Svalbard,altimetry,15,2003.75,2018.75,9.0
7,Svalbard,gravimetry,20,2002.75,2021.75,18.0
7,Svalbard,demdiff_and_glaciological,24,1999.75,2022.75,24.0
8,Scandinavia,demdiff_and_glaciological,24,1999.75,2022.75,24.0
9,Russian Arctic,altimetry,15,2003.75,2018.75,9.0
9,Russian Arctic,gravimetry,20,2002.75,2021.75,18.0
9,Russian Arctic,demdiff_and_glaciological,24,1999.75,2022.75,24.0
