year,region_id,region_name,glacier_area,mass_change_gt,mass_change_gt_err,mass_change_mwe,mass_change_mwe_err
2000,0,Global,704082.6956499998,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352
2001,0,Global,701805.4987500003,-215.16931097001844,95.3001011576375,-0.3075164866023069,0.1350498121659405
2002,0,Global,699528.3018500003,-128.46636738674923,91.14634450070768,-0.1841997326262217,0.1289299604899674
2003,0,Global,697251.1049500001,-192.6724697716301,72.79887688516011,-0.2771630264606625,0.1028951725208123
2004,0,Global,694973.9080500001,-229.2369109878561,73.022158218317,-0.3308421919121849,0.1028436503023272
2005,0,Global,692696.71115,-315.0371756633185,74.19065798809451,-0.4561666396999292,0.1044578602427483
2006,0,Global,690419.51425,-279.8898739792978,72.77317030930298,-0.4066108567264724,0.1025138185768302
2007,0,Global,688142.31735,-323.16570882967466,71.78509732133082,-0.4710335566158922,0.1010360421851532
2008,0,Global,685865.12045,-178.6324817323364,71.86184704387401,-0.2612321087124307,0.1011209402057232
2009,0,Global,683587.9235500002,-231.2381243724868,71.29354455724742,-0.3392890923913098,0.1001020384598227
2010,0,Global,681310.7266500002,-231.1966727048064,72.2582027545506,-0.3403621001158775,0.101352981542154
2011,0,Global,679033.5297499998,-365.9472468839626,68.11267549573648,-0.540545313270877,0.0950926143458494
2012,0,Global,676756.3328500001,-188.0208512243996,67.35045471659744,-0.2786624991943321,0.0941254547446842
2013,0,Global,674479.1359500001,-304.73798136525033,66.47051377096227,-0.4531718327704068,0.0925856747213776
2014,0,Global,672201.9390499997,-149.889416279315,65.94044282966604,-0.2236536803279121,0.0920570437100916
2015,0,Global,669924.74215,-284.97423508815865,66.77259130583126,-0.4266624477275931,0.0932270670335857
2016,0,Global,667647.5452499996,-340.6076946742656,68.35959222730513,-0.5116960211749099,0.0952916518024702
2017,0,Global,665370.3483500001,-217.68675972042345,66.39070274109359,-0.3281507593734814,0.0924077513562398
2018,0,Global,663093.1514499999,-243.81282612823085,66.54077158950466,-0.3687965484035694,0.0924649491234518
2019,0,Global,660815.9545499999,-412.9645781490086,69.99144862252744,-0.6268117422048606,0.0969733224466875
2020,0,Global,658538.75765,-405.0394156368366,76.20680182507151,-0.6169085501621713,0.1065416966938755
2021,0,Global,656261.5607500002,-217.7163545547422,81.6846283807594,-0.3327506622695744,0.1151000186974428
2022,0,Global,653984.3638500002,-460.2989143829609,100.8285184125692,-0.7059556646949124,0.138700930079604
2023,0,Global,651707.1669499998,-548.025110248126,120.16099017378784,-0.8434372990227316,0.1662574332317422
2000,10,North Asia,2487.7225,-0.9197019532932548,1.0265275291265996,-0.3708087865014635,0.4267978293382843
2001,10,North Asia,2477.3595,-1.5411560324271425,0.5757372429047373,-0.6239681453842844,0.2374580820623789
2002,10,North Asia,2466.9965,-2.008519104670919,0.5971520843045376,-0.8166054524398674,0.2449868095663878
2003,10,North Asia,2456.6335,-1.3367036448471714,0.5605964144603081,-0.5457573636092294,0.2316484965833838
2004,10,North Asia,2446.2705,-0.6073020718796399,0.5800062732919948,-0.2490033135176266,0.2410596415169421
2005,10,North Asia,2435.9075,-0.4421699496148141,0.543997009186656,-0.1820678539590347,0.2262170617791567
2006,10,North Asia,2425.5445,-1.4369095884292484,0.5547031793605927,-0.5941895884796716,0.2289152797255827
2007,10,North Asia,2415.1815,-1.5576011706781698,0.555112921025605,-0.6468615442700755,0.2287454249490515
2008,10,North Asia,2404.8185,-1.7288465569663265,0.5495905128318924,-0.7210725895012671,0.2258850833242974
2009,10,North Asia,2394.4555,0.4721992168201645,0.5558080553432801,0.1977986548721905,0.2311109134930584
2010,10,North Asia,2384.0925,-1.278298719425217,0.549382943810827,-0.5377916984722222,0.2270930475136839
2011,10,North Asia,2373.7295,-2.1266620946428576,0.5504841757070587,-0.8986117746265077,0.2247891996692553
2012,10,North Asia,2363.3665,-2.082237426114749,0.5503336578162555,-0.8836982900957205,0.2249054279600158
2013,10,North Asia,2353.0035,-0.9064403927766193,0.5632256664521381,-0.3863861215956616,0.2336466676687554
2014,10,North Asia,2342.6405,-0.7676348462089759,0.5665440381989155,-0.3286653160182816,0.2352461601417673
2015,10,North Asia,2332.2775,-1.9092539350345967,0.578671943989981,-0.8210853690566785,0.2375356175403869
2016,10,North Asia,2321.9145,-1.0968359067228153,0.5699045112972384,-0.4738056959762406,0.2360857122049479
2017,10,North Asia,2311.5515,-2.229459832807573,0.5802175682894745,-0.9673884998110736,0.2369800852580313
2018,10,North Asia,2301.1885,-1.4296283286683342,0.5770101437116635,-0.6231258843095254,0.2382938770019798
2019,10,North Asia,2290.8255,-0.8149763258916679,0.551439985831076,-0.356827096488514,0.2288743209514384
2020,10,North Asia,2280.4625,-1.0545339240245566,0.6479196117270417,-0.4638125139790883,0.2687609048907057
2021,10,North Asia,2270.0995,-1.2541491015757211,0.6493331246844912,-0.5541267553189984,0.2689804421564722
2022,10,North Asia,2259.7365,-2.084194149188092,1.143432150387618,-0.9250926140395432,0.4739003462856356
2023,10,North Asia,2249.3735,-2.383431710308152,1.1452951255418866,-1.0627863806836724,0.4740687462418848
2000,11,Central Europe,2140.639,-0.5934003711822097,0.6009122609745883,-0.2780412432778796,0.2877558756683069
2001,11,Central Europe,2121.1834,0.4019665729881813,0.43422767182019,0.1900713070317529,0.2079672547923675
2002,11,Central Europe,2101.7278,-0.7554326466468112,0.4131614181633634,-0.3605156499993134,0.1972606323468862
2003,11,Central Europe,2082.2722,-4.0975870621061805,0.4666085336252875,-1.9737653955826773,0.2009964215508334
