region_id,region_name,mean_annual_gt,cumulative_gt,mean_annual_mwe,mean_area,mean_uncertainty_gt,pct_of_global
1,Alaska,-61.41082902382488,-1473.8598965717972,-0.7320277166261931,85059.88,34.57925678200215,22.527573761780378
5,Greenland Periphery,-35.436586854737946,-850.4780845137108,-0.4466051923613572,80888.8472,34.47702826355447,12.999341271327543
3,Arctic Canada North,-30.42657164569776,-730.2377194967462,-0.2930927604783487,104154.4899,12.340411357970055,11.161497865476303
17,Southern Andes,-26.282882167382045,-630.7891720171691,-0.9192548379252351,28793.333599999998,32.52273323076262,9.641452103963207
4,Arctic Canada South,-23.010101306000866,-552.2424313440208,-0.5700617959389733,40495.4752,10.150230071639518,8.440885144798655
19,Antarctic & Subantarctic,-17.819153654022866,-427.6596876965488,-0.14547475060075707,123539.7366,42.02470979940596,6.536669585713671
9,Russian Arctic,-16.017819773703753,-384.42767456889004,-0.3151662062045248,51137.9904,10.616941259931396,5.875879257630986
7,Svalbard,-13.795151516440136,-331.08363639456326,-0.4181794988022909,33429.2396,7.134134301741303,5.060529197887479
13,Central Asia,-10.484469748042555,-251.6272739530213,-0.2178055248383941,48681.782199999994,13.521235842538799,3.846058901281917
2,Western Canada & US,-9.243631301302939,-221.84715123127052,-0.6947335348602119,13661.2744,5.109690480791484,3.39087729765082
6,Iceland,-8.294894553976642,-199.07746929543939,-0.7840805613867668,10542.392,6.166974728386488,3.0428484988926563
15,South Asia East,-7.355021193995356,-176.52050865588853,-0.5269353933080533,14110.7518,5.784887799150372,2.6980710910596426
14,South Asia West,-5.610944972121096,-134.66267933090631,-0.17631171148007532,32117.862399999998,8.198705044600267,2.058284812988119
11,Central Europe,-1.97207942247639,-47.32990613943336,-1.061529869356995,1916.8996,0.47472514192793697,0.7234255807992853
8,Scandinavia,-1.6680211091491615,-40.03250661957988,-0.5826021493223924,2869.377,0.6431657310317301,0.6118866846429695
10,North Asia,-1.355185314557352,-32.52444754937645,-0.5764891663859191,2368.5480000000002,0.6384344112200778,0.49712791082381047
16,Low Latitudes,-0.85004179012117,-20.40100296290808,-0.4207200030056206,2034.5631,0.6574648419394447,0.31182414293937183
18,New Zealand,-0.8329537025264065,-19.990888860633756,-0.960771550950061,889.3948,0.6728328762614924,0.3055556531655332
12,Caucasus & Middle East,-0.7366037844157988,-17.67849082597917,-0.6219138378128549,1203.0935,0.3283562942285668,0.27021123717766016
