No.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_10s
GPRFR-2,0.0,0.5301078450090368,0.0,0.0500926869726537,0.3697016062106456,0.050097791441497265,304.60014154281674
GPRFR-3,0.0,0.5706106704507212,0.0,0.14944086180721236,0.20982239211675183,0.0701261674416365,253.19179051663127
GPRFR-1,0.0,0.48451258787893264,0.0,0.060700692151103144,0.45478647504419284,0.0,238.20712432177402
G-042,0.14094187214901174,0.591213469724186,0.07622518060868366,0.09585094387023263,0.0957685336478861,0.0,146.63835810332625
GPRFR-4,0.0,0.6796300844191252,0.0,0.23033092595743287,0.0900391617164726,0.0,146.24203821656047
G-107,0.13153840151429808,0.585805341416514,0.09346979529372941,0.09231488999068535,0.09687157178477324,0.0,137.0134465675867
G-004,0.2163563060405009,0.1994740702224794,0.0881418434484952,0.17430278490590836,0.32172499538261606,0.0,126.82236376503893
G-041,0.12457265137375594,0.6201755264247695,0.0921295619726014,0.07596144603593272,0.08716081419294035,0.0,123.99150743099787
G-154,0.1360027324230745,0.5760787538394659,0.09639392267261102,0.09824696492092226,0.0,0.09327762614392625,121.33050247699929
G-164,0.1318291300177241,0.5795522916729042,0.1177844702812793,0.07684392559088624,0.0,0.09399018243720617,118.895966029724
G-152,0.14164926999612998,0.5797928455802961,0.10449837361472324,0.08608844230889631,0.0,0.08797106849995458,113.8004246284501
G-005,0.11982103312688624,0.4100782635726174,0.1918131069994494,0.18716702427784399,0.09112057202320299,0.0,109.27105449398444
G-153,0.16249466873075383,0.575870681244267,0.1038209193654809,0.08804577070242324,0.0,0.06976795995707516,107.8556263269639
G-040,0.2907703431335454,0.08835411115546692,0.0,0.2228370531533274,0.39803849255766033,0.0,107.5725406935598
G-108,0.12131765133120861,0.5865106499216102,0.09573166757103267,0.10734914199275752,0.08909088918339114,0.0,107.5725406935598
G-013,0.2123454146473781,0.5079801849379997,0.19680715250970285,0.08286724790491946,0.0,0.0,104.74168435951876
G-074,0.5532939832112999,0.20109334402789553,0.17248319354111652,0.07312947921968825,0.0,0.0,104.74168435951876
G-012,0.3078800999942429,0.2213090350308787,0.38635015696330094,0.08446070801157755,0.0,0.0,103.60934182590233
G-081,0.34649267432488273,0.4771066025959439,0.08483410318086682,0.09156661989830668,0.0,0.0,103.4961075725407
G-141,0.24038480507031545,0.4190266636623315,0.16174875011207296,0.09152076806089708,0.0,0.08731901309438288,101.45789101203114
