cell_id,mean_p_response,std_p_response,min_p_response,max_p_response,n_elements
0,0.15410001154749908,0.27031640190391437,9.999999994736443e-08,0.9758242153610002,120
1,0.1698848477957944,0.2727353459284143,9.999999994736443e-08,0.9357453512942367,120
2,0.15381555565579108,0.2682773115004637,9.999999994736443e-08,0.9251815353886074,120
3,0.17230325367862193,0.2921440199495694,9.999999994736443e-08,0.9718938706539128,120
4,0.1690854934377741,0.27129849858247934,9.999999994736443e-08,0.9999999825040072,120
5,0.14600849254816384,0.2703135016940359,9.999999994736443e-08,0.9710974395186048,120
6,0.17611418208031138,0.283256209050225,9.999999994736443e-08,0.9225502156000482,120
7,0.15724835136350096,0.266094851889617,9.999999994736443e-08,0.9999999982515728,120
8,0.16912501891462015,0.2456044515659661,9.999999994736443e-08,0.7756959394225896,120
9,0.16224969443988602,0.2669843297717157,9.999999994736443e-08,0.9398291620784536,120
10,0.16994337889773434,0.27037254182199777,9.999999994736443e-08,0.9720251651276915,120
11,0.1394943465216723,0.26686413536336157,9.999999994736443e-08,0.9999999871544228,120
12,0.15233310437822217,0.26892973384111485,9.999999994736443e-08,0.9420401134916652,120
13,0.17561143466037538,0.27915786039825596,9.999999994736443e-08,0.9797682089564076,120
14,0.16859441188930377,0.25857805174432047,9.999999994736443e-08,0.95276077257504,120
15,0.16390435646642096,0.26737716309249454,9.999999994736443e-08,0.9999999603100316,120
16,0.17725968174720508,0.26542703437606147,9.999999994736443e-08,0.8993361809071221,120
17,0.15174930246464827,0.2708683007115082,9.999999994736443e-08,0.979951400424622,120
18,0.15472754250166024,0.2588073898417766,9.999999994736443e-08,0.9172378654112598,120
19,0.1597012817834552,0.26659689238441314,9.999999994736443e-08,0.9538574212158396,120
20,0.1695215401035967,0.2609079295948894,9.999999994736443e-08,0.8883973591764318,120
21,0.13361816905055854,0.2559586666683205,9.999999994736443e-08,0.9934082007080106,120
22,0.15445985540289658,0.26187627775604067,9.999999994736443e-08,0.999999958434201,120
23,0.15481870525356917,0.28009408227661536,9.999999994736443e-08,0.999999958434201,120
24,0.16175721474391452,0.26455523066601744,9.999999994736443e-08,0.9520431625702008,120
