mw,logp,tpsa,hba,hbd,rotbonds,aromatic_rings,heavy_atoms,fraction_csp3
71.079,-0.2229,43.09,1,1,2,0,5,0.6666666666666666
113.15999999999998,0.8163999999999998,29.1,1,1,3,0,8,0.8333333333333334
183.29499999999996,2.7685000000000013,29.1,1,1,9,0,13,0.9090909090909091
127.18699999999998,1.2065,29.1,1,1,2,0,9,0.8571428571428571
127.18699999999998,1.2065,29.1,1,1,4,0,9,0.8571428571428571
72.06299999999999,0.37639999999999996,37.3,1,1,2,0,5,0.6666666666666666
128.171,1.6351,26.3,2,0,5,0,9,0.8571428571428571
125.127,0.74868,50.09,3,0,4,0,9,0.6666666666666666
154.20899999999997,2.1677,26.3,2,0,3,0,11,0.8888888888888888
100.11699999999999,0.8549,26.3,2,0,3,0,7,0.8
184.27899999999994,3.051400000000002,26.3,2,0,8,0,13,0.9090909090909091
156.225,2.4153000000000002,26.3,2,0,7,0,11,0.8888888888888888
128.17099999999996,1.4909999999999999,26.3,2,0,4,0,9,0.8571428571428571
114.14399999999998,1.2434,26.3,2,0,3,0,8,0.8333333333333334
86.08999999999999,0.4648,26.3,2,0,2,0,6,0.75
184.27899999999997,3.195500000000002,26.3,2,0,9,0,13,0.9090909090909091
114.14399999999999,1.2449999999999999,26.3,2,0,4,0,8,0.8333333333333334
128.17099999999996,1.6335,26.3,2,0,4,0,9,0.8571428571428571
324.5490000000001,7.096500000000008,26.3,2,0,19,0,23,0.9523809523809523
128.17099999999996,1.6335,26.3,2,0,2,0,9,0.8571428571428571
53.06399999999999,0.81538,23.79,1,0,1,0,4,0.6666666666666666
67.091,1.2054799999999999,23.79,1,0,1,0,5,0.75
200.23399999999992,1.427,52.6,4,0,10,0,14,0.8
172.17999999999995,0.6468,52.6,4,0,8,0,12,0.75
186.20699999999994,1.0369,52.6,4,0,9,0,13,0.7777777777777778
56.10799999999999,1.7018,0.0,0,0,2,0,4,1.0
84.16199999999999,2.482,0.0,0,0,4,0,6,1.0
110.2,2.8721000000000014,0.0,0,0,2,0,8,1.0
28.053999999999995,0.9216,0.0,0,0,1,0,2,1.0
126.243,3.652300000000003,0.0,0,0,7,0,9,1.0
112.216,3.2622000000000018,0.0,0,0,6,0,8,1.0
56.10799999999999,1.7018,0.0,0,0,1,0,4,1.0
84.16199999999999,2.3379000000000003,0.0,0,0,3,0,6,1.0
70.13499999999999,1.9478,0.0,0,0,2,0,5,1.0
70.13499999999999,2.0919,0.0,0,0,2,0,5,1.0
140.27,4.042400000000003,0.0,0,0,8,0,10,1.0
98.189,2.8721000000000014,0.0,0,0,5,0,7,1.0
42.080999999999996,1.3117,0.0,0,0,1,0,3,1.0
70.13499999999999,2.0919,0.0,0,0,3,0,5,1.0
84.16199999999999,2.3379000000000003,0.0,0,0,1,0,6,1.0
71.079,-0.07540000000000008,29.1,1,1,2,0,5,0.6666666666666666
113.16,0.6765999999999999,29.1,2,1,6,0,8,0.8333333333333334
141.214,1.8751,29.1,1,1,7,0,10,0.875
169.26800000000003,2.6553000000000004,29.1,1,1,9,0,12,0.9
