feature,composite,spearman,var_explained,mi
Int_MeanEdge_AKT_cell,0.5301049964029371,0.4075151422688477,0.7094827242157533,0.21110564799263415
Int_MeanEdge_BP1_cell,0.16077432883095896,0.1569967336817358,0.23317650285681069,0.09124950802258378
Int_MeanEdge_Bcl2_cell,0.2997612188252672,0.1894066789653714,0.4726557549541496,0.14358080199025186
Int_MeanEdge_CDK2_cell,0.3677397602269912,0.2523746592336945,0.5125246209044061,0.20445259240453612
Int_MeanEdge_CDK4_cell,0.6909262552133477,0.5250516084873479,0.7085126450929788,0.5223624449771935
Int_MeanEdge_CDK6_cell,0.14391410541925678,0.19447938013604357,0.13322733718141333,0.1197910371952319
Int_MeanEdge_Cdh1_cell,0.6694185810220568,0.51899649092858,0.6656672830402457,0.5232203780140572
Int_MeanEdge_Cdt1_cell,0.29300882604615236,0.17856418394330828,0.4117678703596269,0.21784205723818278
Int_MeanEdge_DNA_cell,0.39567037609388855,0.39891312295106696,0.42601152726365155,0.196406552491949
Int_MeanEdge_E2F1_cell,0.5890906380253631,0.5613029512101861,0.39101461968269857,0.585653478604912
Int_MeanEdge_ERK_cell,0.7820412322380825,0.7004076716833824,0.7725072512682962,0.46454141952251954
Int_MeanEdge_Fra1_cell,0.4064894083009246,0.41140457446841555,0.4255107403450836,0.21157667884671433
Int_MeanEdge_GSK3b_cell,0.24662867581520329,0.14090244178826375,0.4193729064246495,0.12376153596177508
Int_MeanEdge_RB_cell,0.11552218029588456,0.09187794268651057,0.1959552020619899,0.09666986464141475
Int_MeanEdge_RSK1_cell,0.09492825735659312,0.07024434468861182,0.16977270573188386,0.1000894678800488
Int_MeanEdge_S6_cell,0.4724288120006508,0.39564062674745215,0.5896430698560843,0.21379950510830564
Int_MeanEdge_STAT3_cell,0.1951927710078338,0.2041387616703416,0.23371545092422463,0.12650927171811172
Int_MeanEdge_Skp2_cell,0.8486317769319682,0.7760233638504221,0.6967854978600345,0.6540482331979909
Int_MeanEdge_YAP_cell,0.3638107499311735,0.17232432947790782,0.6582820392654707,0.11414620555276711
Int_MeanEdge_bCat_cell,0.650065456671878,0.6278234465271674,0.5666944085194952,0.44457905643172435
Int_MeanEdge_cFos_cell,0.349417775428959,0.2659670547349114,0.48163849745474774,0.17197860107419022
Int_MeanEdge_cJun_cell,0.2965228270504292,0.22487987503837795,0.42329489246764596,0.14918317883018986
Int_MeanEdge_cMyc_cell,0.3592491198954337,0.22713756483422898,0.4478340700969331,0.29844058759880265
Int_MeanEdge_cycA_cell,0.3558670043569616,0.4138528628147698,0.3079137152607194,0.2122846726705759
Int_MeanEdge_cycB1_cell,0.4102602714684062,0.3218612186143845,0.5595630809351251,0.17221632493284078
Int_MeanEdge_cycD1_cell,0.19709648737051477,0.2232780129287297,0.22591099356764144,0.11579341053042433
Int_MeanEdge_cycE_cell,0.20906656512446542,0.23474665483176663,0.1489009865219323,0.23516891965539125
Int_MeanEdge_p14ARF_cell,0.14232825177635738,0.017578564361153216,0.31322669817154714,0.12571472418834104
Int_MeanEdge_p16_cell,0.0904317519270678,0.022325906705977953,0.1973249752973273,0.11730015541094706
Int_MeanEdge_p21_cell,0.09770309786573263,0.10715896586271259,0.14088178610952762,0.09476691264798233
Int_MeanEdge_p27_cell,0.31821152275927317,0.23388040076150704,0.38196094283035087,0.2541633953910223
Int_MeanEdge_p38_cell,0.4275199898702196,0.3544404514204506,0.5612733690030447,0.17567391996256437
Int_MeanEdge_p53_cell,0.4732306396070046,0.5849449268242515,0.3034786055919112,0.3263756851137134
Int_MeanEdge_pAKT_cell,0.20171286637038421,0.15150131016971866,0.32174138177090184,0.10402783259430382
Int_MeanEdge_pCHK1_cell,0.2770217140304875,0.30894424705220935,0.29042021252488714,0.14837637438570744
Int_MeanEdge_pERK_cell,0.3297635908858851,0.2381285982810242,0.48957259634948636,0.1424045786224908
Int_MeanEdge_pGSK3b_cell,0.3764794204403313,0.2621399075374029,0.563218694896521,0.15076281693500457
Int_MeanEdge_pH2AX_cell,0.31387702813291857,0.17273531738452164,0.4949588805487206,0.17910592228207117
Int_MeanEdge_pRB_cell,0.23443769272404213,0.21825198964700193,0.29961455213840393,0.13666546683253578
Int_MeanEdge_pRSK_cell,0.15376938051786693,0.16867212869693943,0.196309958242337,0.10243956857002315
Int_MeanEdge_pS6_cell,0.3286601020675735,0.18724694165304706,0.5225242561016893,0.16666174130287836
Int_MeanEdge_pSTAT3_cell,0.10126703026926542,0.18212699307225227,0.05925550330243334,0.1076966559653838
Int_MeanEdge_pp21_cell,0.24701704088133672,0.33940145356503904,0.13820112598166912,0.2159297567675653
Int_MeanEdge_pp27_cell,0.4379445867207605,0.5213197192937747,0.29431837694922114,0.3225473980418307
Int_MeanEdge_pp38_cell,0.20899523637613668,0.004232037333576991,0.43998949199176696,0.1752895488083217
Int_MeanEdge_pp53_cell,0.18489577493713324,0.21282244253565463,0.1826956659164849,0.15055276686649713
Int_MeanEdge_pp65_cell,0.09205025714827347,0.003224159159107188,0.20917415219947044,0.1330554785521904
Int_Med_AKT_cell,0.5295415007199877,0.4192237474038913,0.6455275088420307,0.2763690361109636
Int_Med_BP1_cell,0.2193105872042878,0.12818180868230622,0.32637139181298613,0.18193157533298515
Int_Med_Bcl2_cell,0.4248352916726823,0.25758518653876106,0.6506183948287161,0.1855439392323561
Int_Med_CDK2_cell,0.3521022763283711,0.23353376266719242,0.4972798121403912,0.20436107903860845
Int_Med_CDK4_cell,0.7132575474627393,0.4772215504971141,0.7638408150338283,0.58216902676605
Int_Med_CDK6_cell,0.29212093678826334,0.22976529538732696,0.4060221456465326,0.15194418125873477
Int_Med_Cdh1_cell,0.7063122119417758,0.4847877317677987,0.7167625299767645,0.6124811768066654
Int_Med_Cdt1_cell,0.411003656611749,0.16528316430117015,0.586412269494486,0.3558906362252863
Int_Med_DNA_cell,0.3200683683310311,0.5107051110061427,0.12192564949062656,0.21494315318504087
Int_Med_E2F1_cell,0.6503993822951201,0.5669967470986854,0.49838568531350735,0.6183724535467487
Int_Med_ERK_cell,0.7206544158225293,0.667590000157753,0.7195605377105516,0.398360641366743
Int_Med_Fra1_cell,0.33517911441128523,0.4776957468860302,0.1489858141781253,0.26978761364811105
Int_Med_GSK3b_cell,0.306077378313932,0.1427079933372366,0.5232770773091462,0.16089437607711543
Int_Med_RB_cell,0.12274846203013687,0.09678604785826303,0.1856672739612878,0.1244823083560466
Int_Med_RSK1_cell,0.17004312652703235,0.03145306048610638,0.3039041319491347,0.20006844175226918
Int_Med_S6_cell,0.5618625378386417,0.43320202103633326,0.6861203576285274,0.2992536112776661
Int_Med_STAT3_cell,0.24887253832134718,0.1197940516084304,0.4187231246817329,0.16036714277528663
Int_Med_Skp2_cell,0.9120454692831557,0.8514952820861508,0.642816926731705,0.8061570029698961
Int_Med_YAP_cell,0.37648651996873034,0.21562500997631323,0.59778356202326,0.17015184269749145
Int_Med_bCat_cell,0.6885601325740485,0.6806772158473788,0.5408690202547788,0.5181758328084545
Int_Med_cFos_cell,0.3574173062996331,0.26942810553754265,0.43977302199439916,0.24509184442775464
Int_Med_cJun_cell,0.14401155648051014,0.2227643916937642,0.10142347180568534,0.12231371505109603
Int_Med_cMyc_cell,0.3032352015539624,0.16386453733343678,0.3634827763430093,0.3309343951030679
Int_Med_cycA_cell,0.41670828725435016,0.46311944291820806,0.30980395682471906,0.3204712193420832
Int_Med_cycB1_cell,0.4180546375427677,0.25487188895337937,0.6582970239585988,0.1593978666980736
Int_Med_cycD1_cell,0.23114610734392535,0.2785554600687483,0.2292527146905129,0.1350856095569899
Int_Med_cycE_cell,0.253053541991503,0.2650655148731508,0.1642419735800189,0.3025521099858457
Int_Med_p14ARF_cell,0.27456766228686036,0.0679990035203054,0.5058076189111788,0.19427247858999788
Int_Med_p16_cell,0.4107581458786684,0.21966380630865012,0.6633759175335635,0.18001922301457
Int_Med_p21_cell,0.3737937349754825,0.29231563980022574,0.45181809409810403,0.2459194773642385
Int_Med_p27_cell,0.2637449194528718,0.2641450714406757,0.17053047608909877,0.32705972878969924
Int_Med_p38_cell,0.5436369507859773,0.4038396481827907,0.7280673391597134,0.23178813645562785
Int_Med_p53_cell,0.576420798394784,0.6064028700228925,0.49117744702294475,0.35596666891817624
Int_Med_pAKT_cell,0.20472175341306065,0.2287887730820439,0.2522064279447309,0.09641123117964978
Int_Med_pCHK1_cell,0.37334305368886156,0.2799912312425284,0.5064846871117377,0.19059685676128996
Int_Med_pERK_cell,0.23376143932040763,0.24727380961602746,0.2596236093729304,0.14653485730026117
Int_Med_pGSK3b_cell,0.2572721557139855,0.11832161723978764,0.47522249804346983,0.11366492381231055
Int_Med_pH2AX_cell,0.3775446820292772,0.12629977975112652,0.6072113988729072,0.28444966559908114
Int_Med_pRB_cell,0.20893581610251769,0.3156389491705825,0.1144776604811174,0.1677263460086947
Int_Med_pRSK_cell,0.23785278884877792,0.2527676769665645,0.267720298046912,0.14044112463165784
Int_Med_pS6_cell,0.2498332528016079,0.17522136721352882,0.3525603221907879,0.17256111035596294
Int_Med_pSTAT3_cell,0.17384273098043118,0.12170077171383363,0.2564713508478831,0.1481467311875459
Int_Med_pp21_cell,0.34884020412594713,0.26181388593457905,0.47139059778651937,0.18933665313043707
Int_Med_pp27_cell,0.5959500440375725,0.6291173214643474,0.5004999271698785,0.3698325977775799
Int_Med_pp38_cell,0.3378253821787872,0.08902823625637693,0.5586875605963224,0.28232643579302774
Int_Med_pp53_cell,0.40820434581332543,0.24380323314545244,0.5375301779558068,0.3026739215536567
Int_Med_pp65_cell,0.299756734802528,0.17797145212816873,0.32774571082322146,0.3476559789493026
Int_MeanEdge_PCNA_cell,0.23310279504384318,0.09032627841818314,0.4088660428489418,0.16757204703612533
Int_Med_PCNA_cell,0.2637693450297466,0.23806764638848135,0.3126472547332525,0.17851155150539916
Int_Med_AKT_cyto,0.5243896885337253,0.42088295374109314,0.6373988020577432,0.26950431318252654
Int_Med_BP1_cyto,0.2608816716153195,0.14800169459874854,0.40719398940496354,0.1716443773109393
Int_Med_Bcl2_cyto,0.45049659578123064,0.2803493616218359,0.6903774166846932,0.17780730098427336
Int_Med_CDK2_cyto,0.32770701636987715,0.2098816659776342,0.4710437799634275,0.1994729942688469
Int_Med_CDK4_cyto,0.7547545752266083,0.5223594193825846,0.7931711037825129,0.6035826331326233
Int_Med_CDK6_cyto,0.2622028340085189,0.20829751066025873,0.36549096562899674,0.14638804309188636
Int_Med_Cdh1_cyto,0.7478388588012541,0.5229950464747434,0.7575977878658896,0.6286104344390717
Int_Med_Cdt1_cyto,0.4084133511516945,0.11324878703293635,0.6506990628735854,0.33665848309691526
Int_Med_DNA_cyto,0.48472300549622427,0.5150920168608369,0.49728095234992764,0.20485230953863
Int_Med_E2F1_cyto,0.6514156784668794,0.5812426699616499,0.48603231785553436,0.6177224136493041
Int_Med_ERK_cyto,0.7385857924354025,0.6883341735457296,0.7169678399397067,0.42573723265924834
Int_Med_Fra1_cyto,0.5069114164583653,0.484592419895098,0.5330254641771576,0.2657356879462408
Int_Med_GSK3b_cyto,0.2573394674461764,0.103129265270566,0.4586826345761136,0.1563478285688151
Int_Med_RB_cyto,0.2121340937714874,0.14838985125163995,0.3289911482736404,0.1295206551368579
Int_Med_RSK1_cyto,0.17157732922153743,0.03025771398638486,0.3079939082213622,0.20091313534376565
Int_Med_S6_cyto,0.5582449500724221,0.4347822768824185,0.6843848832180288,0.28869794001697224
Int_Med_STAT3_cyto,0.25093949865199927,0.13542976350862548,0.4127900106718878,0.1525408979171894
Int_Med_Skp2_cyto,0.9882577239957739,0.8423829015864679,0.8416664646034918,0.7842559197797934
Int_Med_YAP_cyto,0.3371488303810673,0.18176174106145046,0.5584430693223905,0.152507497123341
Int_Med_bCat_cyto,0.6698963206712258,0.6708314894853495,0.5176269763386645,0.5071548640755648
Int_Med_cFos_cyto,0.34626642130569785,0.25662538625315057,0.4399168687895332,0.22984080933357423
Int_Med_cJun_cyto,0.30343952125112017,0.19598036843298663,0.49977019874026596,0.11007117372328519
Int_Med_cMyc_cyto,0.44503843298959955,0.2654976158422561,0.5651433126071195,0.3450177918370476
Int_Med_cycA_cyto,0.5414877328859322,0.4620441426410974,0.597267756950339,0.31499318889532213
Int_Med_cycB1_cyto,0.4109212384779715,0.24337957457763507,0.657859991117429,0.15489230404976193
