rank,feature,composite,spearman,var_explained,mi
1,Int_Med_Skp2_cyto,0.9882577239957739,0.8423829015864679,0.8416664646034918,0.7842559197797934
2,Int_Med_CDK4_cell,0.7132575474627393,0.4772215504971141,0.7638408150338283,0.58216902676605
3,Int_MeanEdge_ERK_cell,0.7820412322380825,0.7004076716833824,0.7725072512682962,0.46454141952251954
4,Int_Med_bCat_cell,0.6885601325740485,0.6806772158473788,0.5408690202547788,0.5181758328084545
5,Int_Med_E2F1_cyto,0.6514156784668794,0.5812426699616499,0.48603231785553436,0.6177224136493041
6,Int_MeanEdge_Skp2_cell,0.8486317769319682,0.7760233638504221,0.6967854978600345,0.6540482331979909
7,Int_Med_p53_cyto,0.6062421067247267,0.6281249661720752,0.5224300273464738,0.37294299263703207
8,Int_Med_S6_cell,0.5618625378386417,0.43320202103633326,0.6861203576285274,0.2992536112776661
9,Int_Med_Cdh1_cyto,0.7478388588012541,0.5229950464747434,0.7575977878658896,0.6286104344390717
10,Int_Med_Skp2_cell,0.9120454692831557,0.8514952820861508,0.642816926731705,0.8061570029698961
11,Int_Med_AKT_cyto,0.5243896885337253,0.42088295374109314,0.6373988020577432,0.26950431318252654
12,Int_Intg_DNA_nuc,0.4146317116184591,0.2959620392620708,0.5672446015323229,0.21086712755532883
13,Int_Med_ERK_cyto,0.7385857924354025,0.6883341735457296,0.7169678399397067,0.42573723265924834
14,Int_MeanEdge_p53_cell,0.4732306396070046,0.5849449268242515,0.3034786055919112,0.3263756851137134
15,Int_Med_Bcl2_cyto,0.45049659578123064,0.2803493616218359,0.6903774166846932,0.17780730098427336
16,Int_Med_cycA_cyto,0.5414877328859322,0.4620441426410974,0.597267756950339,0.31499318889532213
17,Int_Med_Fra1_cyto,0.5069114164583653,0.484592419895098,0.5330254641771576,0.2657356879462408
18,Int_MeanEdge_bCat_cell,0.650065456671878,0.6278234465271674,0.5666944085194952,0.44457905643172435
19,Int_Med_p38_cyto,0.5306085633326301,0.39106588114582547,0.7122984032961767,0.23165777895373932
20,Int_Med_pp27_cell,0.5959500440375725,0.6291173214643474,0.5004999271698785,0.3698325977775799
21,Int_MeanEdge_Cdh1_cell,0.6694185810220568,0.51899649092858,0.6656672830402457,0.5232203780140572
22,Int_MeanEdge_AKT_cell,0.5301049964029371,0.4075151422688477,0.7094827242157533,0.21110564799263415
23,Int_Med_cMyc_cyto,0.44503843298959955,0.2654976158422561,0.5651433126071195,0.3450177918370476
24,Int_MeanEdge_Fra1_cell,0.4064894083009246,0.41140457446841555,0.4255107403450836,0.21157667884671433
25,Int_Med_DNA_cyto,0.48472300549622427,0.5150920168608369,0.49728095234992764,0.20485230953863
26,Int_MeanEdge_S6_cell,0.4724288120006508,0.39564062674745215,0.5896430698560843,0.21379950510830564
27,Int_Med_bCat_nuc,0.36605616122036,0.4570089533176154,0.300277790885235,0.19249968095645778
28,Int_Med_p16_cell,0.4107581458786684,0.21966380630865012,0.6633759175335635,0.18001922301457
29,Int_MeanEdge_cFos_cell,0.349417775428959,0.2659670547349114,0.48163849745474774,0.17197860107419022
30,Int_Med_Cdt1_cyto,0.4084133511516945,0.11324878703293635,0.6506990628735854,0.33665848309691526
