acid,epoxide,predicted_tg,prediction_std,source_tg
O=C(O)c1ccccc1NC(=O)N1Cc2ccccc2CC1C(=O)O,Cc1ncccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,483.6138122951685,27.31993941811405,476.1631
Cc1c(NC(=O)CC2(CC(=O)O)CCC2)cccc1C(=O)O,O=C(O)c1cccc(C#Cc2cccc(NC(=O)N(CC3CO3)CC3CO3)c2)c1,490.21603548243223,25.986584841970366,492.29
O=C(O)COCc1ccc(NC(=O)Nc2ccc3c(c2)oc2ccccc23)cc1COCC(=O)O,c1ccc(CNCc2cc(OCC3CO3)cc(CNCc3ccccc3)c2OCC2CO2)cc1,411.45499937914997,20.580836121681994,414.9673
COc1cccc(CNc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)c1O,CN1CCN(C(=O)c2ccc(CNC(=O)c3cccc(OCC4CO4)c3OCC3CO3)cc2)CC1,446.2701456457623,28.66176145774935,449.7822
Cc1noc(C)c1CNCCNC(=O)C(CCC(=O)O)CCC(=O)O,CCc1ccc(C(=O)NCc2cccnc2OCC2CO2)c(OCC2CO2)c1,439.61349223261084,20.205844942958024,415.9253
O=CCC(CCC(=O)O)CCC(=O)O,c1cc(CNc2ccnc3c(OCC4CO4)cccc23)cc(OCC2CO2)c1,405.84762093729364,29.699098521619945,394.3361
Cc1c(NCC(=O)N(CCC(=O)O)CCC(=O)O)cccc1C(=O)NCCO,CCc1ccccc1NC(=O)N(CC1CO1)CC1CO1,443.5695842109757,21.818249672071005,450.6117
O=C(O)CCN(CCC(=O)O)C(=O)NCCCn1cnc2ccccc21,CN(C)CCOc1cccc(CNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,397.7282006537895,21.83404509853434,389.5898
Cn1nccc1C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O,O=C(Nc1ccccc1)c1ccc(NC(=O)N(CCCOCC2CO2)CCOCC2CO2)cc1,425.40903407349055,24.319450186421157,421.7796
COc1ccc(CN(C)C(=O)C(=O)N(CCC(=O)O)CCC(=O)O)cc1C,Cc1cc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)nc2ccccc12,399.53259633013306,22.91229140198042,428.2318
COCCCCCN1CCC(CNC(=O)C(CCC(=O)O)CCC(=O)O)CC1,Cc1ccc2c(c1)CCN(CC(=O)N(CC1CO1)CC1CO1)C2,394.99223319498367,22.92144648535218,410.1847
CC(C)(CCNC(=O)C(=O)Nc1ccc(OCC(=O)O)cc1)C(=O)O,COc1ccc(OCCNC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc1,407.0944099889291,23.663618432936918,402.3807
O=C(O)COCCCN(CCOCC(=O)O)C(=O)Nc1cccn(Cc2ccccc2)c1=O,O=C(Nc1ccc(OCCN2C(=O)c3ccccc3C2=O)cc1)N(CC1CO1)CC1CO1,464.5758315338233,21.996737821583597,442.5911
CC(C)(C)N(Cc1ccc(OCCC(=O)O)cc1)C(=O)CCCC(=O)O,COc1cc(CNC(=O)c2c(C)cc(C)nc2OCC2CO2)ccc1OCC1CO1,414.55665549270196,25.142344384136116,417.9433
CC(C)(CCC(=O)O)C(=O)NCCCNCCCC(=O)O,CCNC(=O)CCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,356.29535913212226,26.075448519014383,364.4611
Cc1cccc(CCCNC(COCC(=O)O)COCC(=O)O)c1,COC(=O)CNC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,403.201538845648,21.705241236872915,401.5377
CCOCOc1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)cc1,COc1ccc2c(c1)CN(C(=O)c1ccc(OCC3CO3)cc1OCC1CO1)CC2,339.6922196512179,26.842330265121568,348.7018
CC1CCC(N(C)C(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,O=C(NCC1CO1)c1ccnc(C(=O)NCC2CO2)c1,453.64129375310085,24.40152493739601,458.0167
O=C(O)COCc1ccc(NC(=O)c2ccc(OC3CCC3)cc2)cc1COCC(=O)O,CN1CCN(c2ccc(CCNC(=O)C(CC3CO3)CC3CO3)cc2)CC1,423.716941628931,20.343885211152184,423.9194
CCC(CC)(CNC(=O)C(=O)Nc1ccc(C(=O)O)cc1C)C(=O)O,Cc1cc(CN(CC2CO2)CC2CO2)ccc1C(=O)O,443.2608360656615,29.093204020787823,459.1265
CC(C)(CC(=O)O)C(=O)NCCCNCCCCCCC(=O)O,O=C(CCCC1CO1)NCCCCCCNCCOCC1CO1,340.26597368154785,23.11711076089411,327.9278
CN(C(=O)CN(CCC(=O)O)CCC(=O)O)C1CC1,Cc1ccccc1NC(=O)NC(C)Cc1ccc(OCC2CO2)c(OCC2CO2)c1,395.24304525043465,25.200680211778106,413.5557
Cn1ccnc1CNCCCCCCNC(=O)C(CCC(=O)O)CCC(=O)O,O=C(O)COCC(=O)NCc1ccc(OCC2CO2)c(OCC2CO2)c1,347.17650926652357,29.695846277645586,367.0993
CN(CCOCCC(=O)O)CCC(=O)O,COc1cc(CN(C)Cc2ccccc2OCC2CO2)ccc1OCC1CO1,343.1126185380368,27.751328233611147,340.1597
O=C(O)CCN(CCCn1c(O)nc2ccccc21)CCC(=O)O,CCOc1cccc(C=Nc2ccc(OCC3CO3)cc2)c1OCC1CO1,393.56429869993116,20.884925020519194,382.4873
Cc1cc(C(=O)N2CCN(C(=O)C(CCC(=O)O)CCC(=O)O)CC2)c(C)o1,COc1ccc(CNc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cn1,445.2975242178495,21.959828624191452,442.727
