frame,coulomb_energy,mean_abs_phi
0,-12.854723080550716,0.507686106132696
1,-10.350207386844705,0.6657782146122622
2,-20.913830532705575,0.45536231434616903
3,-5.239796584033492,0.6017135735295271
4,-11.28578666520078,0.5071077182155206
5,-12.861865390351571,0.5351360332564619
6,-5.127119951105017,0.5860526884967459
7,-0.9766362441758102,0.6575390775143933
8,-17.77296969366348,0.48377175312992393
9,1.7410941758674876,0.8312896965750936
10,-3.6470690438303133,0.6468388745551645
11,-9.590568863824661,0.557840461585492
12,-4.84430305631114,0.6155634527969449
13,-5.395683711196959,0.6937145876927389
14,-4.453172164355991,0.7780142761972828
15,-13.371563911728273,0.5239155639533233
16,-13.741824098886632,0.37406230459368484
17,-13.654136519304187,0.44096531371185
18,-10.249129633814073,0.5183796479234376
19,-11.155260547708771,0.49549109060280727
20,-1.8681159831282763,0.8952180819484273
21,2.9937058111827355,0.7956419432136214
22,-9.894751873747477,0.624526640199586
23,-6.904938842000016,0.6092103065872313
24,-3.3869090553095735,0.8653708015880768
25,-6.556805979164435,0.5743294345078943
26,-5.4702296672346975,0.6705672064266983
27,-6.9901913487499465,0.7250146775335928
28,-12.068985474763142,0.4874847167008287
29,-2.1993079220519376,0.8860072015775164
30,-9.431871400450573,0.5166910640896843
31,-16.584024874918796,0.4699497985802009
32,-10.916736898372081,0.4680252955335944
33,-6.62793228878216,0.8111357748412715
34,-1.4233057535801417,0.7404049778233353
35,1.1902222368106836,0.6856008028506183
36,-7.84860537058966,0.5751442897078642
37,-3.790582544588147,0.728836854860774
38,-1.2413492385584803,0.7092228705318188
39,-12.36083425073168,0.48055722204740725
40,-18.831334241577427,0.47455468330621764
41,-6.268068055461457,0.6525595132090456
42,-4.692855245770098,0.7377279855608659
43,-4.733231845442784,0.6283843122468478
44,-13.491575861080646,0.6447686283613236
45,-4.155636365684934,0.7496663904770318
46,-8.072858511725228,0.5467337402962045
47,-10.444889646575136,0.5876646189177377
48,-6.600582136373775,0.5726696335403414
49,-8.50283397847652,0.5758255995965413
50,-10.048003143025833,0.5321000517144198
51,4.34638514681002,0.7493921904650136
52,-2.4861600513901223,0.7751407079605966
53,-14.51225228552987,0.5039197864480749
54,-7.8922141545971884,0.6898026258279981
55,-4.452719866542221,0.5961034819638337
56,-3.703084267387342,0.634687619411468
57,-11.359242810255665,0.649261604796842
58,-13.080709337527354,0.49402721224603474
59,-4.290645704986884,0.6958956773254543
60,-7.246080338069982,0.6726879913944288
61,-12.14238964661086,0.5385518451353022
62,-7.783364836587185,0.5052191010783177
63,-7.945009916764938,0.6432061865059651
64,-9.414292355864005,0.6306323745497435
65,-12.618180131251675,0.5321388071608575
66,-9.954073351271235,0.6672123529371099
67,-12.884359987845961,0.584430274903788
68,-8.223728465968415,0.5912968260624837
69,1.1744420196523124,0.7615076945149899
70,-14.864034770018431,0.48159447372678726
71,-10.988397178428324,0.5633977076563907
72,-3.7484880646936922,0.7120546066232465
73,-10.047116712018742,0.5480940529674292
74,-10.140467381461647,0.4190702749931342
75,-7.15031923160704,0.6977150381356331
76,-19.899507726586346,0.5134229022416713
77,-13.975542316839295,0.6004749122046613
78,-10.867815313213239,0.7398672053961826
79,-12.974832171419276,0.5435785700845248
80,-13.339700320071994,0.5507913629165169
81,-7.402352676595157,0.6060517124695292
82,-15.160407190500887,0.566548618380191
83,-1.4569648120242076,0.7055586209797179
84,-1.2902173268555797,0.7080699463456929
85,4.3355710556263425,0.8173258462269717
86,-9.20070784575568,0.7390624120339586
87,-12.854524379552817,0.534494069666611
88,-7.786770712578814,0.6197034464639595
89,-8.925818062491123,0.6210594059017438
90,-4.616854590377596,0.6155720899612892
91,0.2265536078569606,0.641983980808994
92,-7.92677413528602,0.40615900334573063
93,-12.02993582256939,0.4870195365903361
94,-11.232580717858974,0.5888845780415619
95,-8.975814461056583,0.6964461359769853
96,-14.67378890609828,0.4657447783275079
97,-11.60302047349681,0.6218220056095018
98,-15.74913253799003,0.6111475428161247
99,-5.906821878783369,0.6335761215027269
