row_id,apparatus
0,airborne
1,airborne
2,airborne
3,airborne
4,ground
4,airborne
5,ground
5,airborne
6,ground
7,ground
8,airborne
9,ground
10,ground
11,ground
12,ground
13,ground
14,airborne
15,airborne
16,airborne
17,airborne
18,ground
19,ground
20,ground
21,ground
22,ground
23,airborne
24,ground
25,ground
26,ground
27,ground
28,ground
29,ground
30,airborne
31,airborne
32,ground
33,ground
34,ground
35,airborne
36,airborne
37,ground
38,ground
39,ground
40,ground
41,airborne
42,airborne
43,airborne
44,airborne
45,airborne
46,airborne
47,ground
48,ground
49,ground
50,ground
51,ground
52,ground
53,ground
54,airborne
55,airborne
56,ground
57,airborne
58,ground
59,ground
60,airborne
61,ground
62,ground
63,ground
64,airborne
65,ground
66,ground
66,airborne
67,ground
67,airborne
68,airborne
69,airborne
70,airborne
71,airborne
72,ground
73,ground
74,ground
74,airborne
75,ground
76,ground
77,ground
78,ground
79,airborne
80,airborne
81,ground
82,airborne
83,ground
83,airborne
84,ground
84,airborne
85,ground
85,airborne
86,ground
87,ground
88,ground
89,airborne
90,ground
91,ground
92,airborne
93,ground
94,ground
95,ground
96,ground
96,airborne
97,ground
97,airborne
98,airborne
99,airborne
100,airborne
101,airborne
102,ground
103,ground
104,ground
104,airborne
105,ground
106,ground
107,ground
107,airborne
108,ground
109,airborne
110,ground
111,airborne
112,ground
113,ground
114,ground
115,ground
116,airborne
117,ground
118,ground
119,ground
120,ground
120,airborne
121,ground
121,airborne
122,airborne
123,ground
123,airborne
124,ground
124,airborne
125,ground
125,airborne
126,ground
126,airborne
127,ground
128,ground
129,ground
129,airborne
130,airborne
131,airborne
132,ground
132,airborne
133,ground
133,airborne
134,airborne
135,ground
136,ground
137,ground
138,airborne
139,ground
140,ground
141,airborne
142,airborne
143,airborne
144,airborne
145,airborne
146,ground
146,airborne
147,ground
147,airborne
148,ground
148,airborne
149,ground
150,ground
151,ground
152,ground
153,ground
154,ground
155,ground
156,ground
157,airborne
158,airborne
159,ground
160,ground
160,airborne
161,ground
161,airborne
162,ground
162,airborne
163,ground
163,airborne
164,ground
165,ground
166,ground
166,airborne
167,airborne
168,airborne
169,ground
170,ground
171,ground
172,ground
173,ground
174,ground
175,ground
176,ground
177,ground
178,ground
179,ground
180,ground
181,ground
182,ground
183,ground
184,ground
184,airborne
185,ground
186,ground
187,ground
188,ground
189,ground
190,ground
190,airborne
191,ground
191,airborne
192,ground
193,ground
194,ground
195,ground
