agent,(missing),airborne,ground
acetone,0.0,0.0,1.0
ammonium,0.0,0.0,1.0
ammonium iodide,0.0,0.0,1.0
ammonium perchlorate,0.0,0.0,1.0
ammonium sodium perchlorate,0.0,0.0,1.0
calcium carbonate,0.0,1.0,0.0
calcium chloride,0.0,1.0,0.0
carbon dioxide,0.0,0.75,0.25
cesium iodide,0.0,0.5,0.5
dry ice,0.0,0.6666666666666666,0.3333333333333333
hygroscopic,0.0,0.6153846153846154,0.38461538461538464
hygroscopic aerosols,0.0,0.875,0.125
hygroscopic agents,0.0,0.8571428571428571,0.14285714285714285
hygroscopic materials,0.0,1.0,0.0
ionized air,0.19047619047619047,0.23809523809523808,0.5714285714285714
liquid propane,0.0,0.5,0.5
potassium chloride,0.0,1.0,0.0
potassium iodide,0.0,0.0,1.0
propane,0.0,0.5,0.5
silver chloride,0.0,0.0,1.0
silver iodide,0.0,0.37688984881209503,0.6231101511879049
sodium chloride,0.0,1.0,0.0
sodium iodide,0.0,0.0,1.0
sodium perchlorate,0.0,0.0,1.0
sodium precipitate,0.0,0.0,1.0
sulfur dioxide,0.0,1.0,0.0
water,0.0,0.6666666666666666,0.3333333333333333
