agent,mentions,record_share
silver iodide,795,0.9555288461538461
sodium iodide,108,0.12980769230769232
ammonium iodide,79,0.09495192307692307
calcium chloride,28,0.03365384615384615
acetone,26,0.03125
ionized air,21,0.025240384615384616
hygroscopic aerosols,14,0.016826923076923076
dry ice,14,0.016826923076923076
hygroscopic,8,0.009615384615384616
hygroscopic agents,6,0.007211538461538462
sodium chloride,5,0.006009615384615385
hygroscopic materials,4,0.004807692307692308
carbon dioxide,4,0.004807692307692308
sodium perchlorate,3,0.003605769230769231
water,3,0.003605769230769231
propane,3,0.003605769230769231
ammonium perchlorate,3,0.003605769230769231
cesium iodide,2,0.002403846153846154
potassium chloride,2,0.002403846153846154
sulfur dioxide,1,0.001201923076923077
calcium carbonate,1,0.001201923076923077
liquid propane,1,0.001201923076923077
sodium precipitate,1,0.001201923076923077
ammonium sodium perchlorate,1,0.001201923076923077
ammonium,1,0.001201923076923077
silver chloride,1,0.001201923076923077
potassium iodide,1,0.001201923076923077
