agent,(missing),airborne,ground
acetone,0,0,26
ammonium,0,0,1
ammonium iodide,0,0,79
ammonium perchlorate,0,0,3
ammonium sodium perchlorate,0,0,1
calcium carbonate,0,1,0
calcium chloride,0,28,0
carbon dioxide,0,3,1
cesium iodide,0,2,2
dry ice,0,14,7
hygroscopic,0,8,5
hygroscopic aerosols,0,14,2
hygroscopic agents,0,6,1
hygroscopic materials,0,4,0
ionized air,4,5,12
liquid propane,0,1,1
potassium chloride,0,2,0
potassium iodide,0,0,1
propane,0,3,3
silver chloride,0,0,1
silver iodide,0,349,577
sodium chloride,0,5,0
sodium iodide,0,0,108
sodium perchlorate,0,0,3
sodium precipitate,0,0,1
sulfur dioxide,0,1,0
water,0,2,1
