feature,spearman_r,spearman_pval,r2_poly3,mutual_info,variance,abs_spearman_r,spearman_qval,dynamic_score
Int_Intg_DNA_nuc,0.7359945236404305,0.0,0.6617649611724268,0.5602747093488913,0.013663305,0.7359945236404305,0.0,0.7929272978079003
Int_Med_cycA_nuc,0.73238994282907,0.0,0.6304464957026434,0.5318317493074849,0.02450445,0.73238994282907,0.0,0.766860096849536
AreaShape_Area_nuc,0.7146348635615427,0.0,0.4802995312193674,0.4642413302902231,0.0075154626,0.7146348635615427,0.0,0.6785225765306666
Int_Med_Skp2_nuc,0.5137867003929676,9.559193336100257e-186,0.42310443523718355,0.545520680615363,0.031221697,0.5137867003929676,2.303765594000162e-184,0.6245459421616164
Int_Med_pH2AX_nuc,0.5826144580301129,1.4635854529268305e-250,0.34031863942035034,0.3496713355808341,0.015501872,0.5826144580301129,7.054481883107323e-249,0.5223734576644724
Int_Med_cycB1_ring,0.560699121186191,2.955451368626579e-228,0.3320334715361082,0.3533280818554587,0.012809334,0.560699121186191,1.0175196854842936e-226,0.5130797832733089
Int_Med_cycB1_cyto,0.560699121186191,2.955451368626579e-228,0.3320334715361082,0.3533280818554587,0.012809334,0.560699121186191,1.0175196854842936e-226,0.5130797832733089
Int_Med_CDK2_nuc,0.6007035083485317,2.6986961034138792e-270,0.37981713166019626,0.27456291573304625,0.015399673,0.6007035083485317,1.6259644023068624e-268,0.5012417004833284
Int_Std_PCNA_nuc,0.5537299982861966,1.6582414796456995e-221,0.36618708049260207,0.30306776904287336,0.02346997,0.5537299982861966,4.99545245743267e-220,0.4936262509517594
Int_Med_cycB1_cell,0.5493045847193913,2.648509179489189e-217,0.32328620633562677,0.3222739307557356,0.011533205,0.5493045847193913,7.092119025076607e-216,0.48926979365482404
Int_Med_E2F1_nuc,0.42886615522800786,7.3740567553754276e-124,0.27181239653359357,0.40610473889680687,0.0055323876,0.42886615522800786,1.1847651186969853e-122,0.47053962082811013
Int_Med_Cdt1_nuc,-0.5046733847071077,3.0938446602227847e-178,0.12635412907098464,0.3384494972515828,0.0077581513,0.5046733847071077,6.7783323919426465e-177,0.42099892373302505
Int_Med_Cdh1_nuc,-0.3670278266151216,9.857296571373306e-89,0.34997692216713405,0.26915860680899684,0.017832322,0.3670278266151216,1.3974167492358629e-87,0.3959256189810706
Int_Med_pp21_nuc,0.48406344714421334,4.544553614195187e-162,0.12025383217641128,0.27956263175258567,0.0018224801,0.48406344714421334,8.424903238623385e-161,0.37939379219183333
Int_Med_p27_nuc,-0.4947794690043613,2.4541327081169057e-170,0.2452525464200761,0.20086727532148974,0.016722517,0.4947794690043613,4.928716522134786e-169,0.37904225922906043
Int_Med_cycB1_nuc,0.4304464779673577,7.397036919086567e-125,0.22697778151021053,0.15429727985392905,0.009459314,0.4304464779673577,1.273347069642759e-123,0.3228906538884623
Int_Med_cycA_cyto,0.2937574364225623,4.832180700797207e-56,0.18713354205634436,0.2366050295008577,0.004198548,0.2937574364225623,4.658222195568507e-55,0.30033358320887227
Int_Med_cycA_ring,0.2937574364225623,4.832180700797207e-56,0.18713354205634436,0.2366050295008577,0.004198548,0.2937574364225623,4.658222195568507e-55,0.30033358320887227
Int_Med_p21_nuc,-0.22669044155715595,1.7365767974963494e-33,0.11157428282000559,0.2941102676116669,0.01180668,0.22669044155715595,1.0207683126746834e-32,0.2816302803181172
Int_Med_cycA_cell,0.28653325024829934,2.7247838640312147e-53,0.08883794363156405,0.23924908031832803,0.00065534655,0.28653325024829934,2.525665043198164e-52,0.2693709905016954
Int_Med_cycD1_nuc,-0.15777634535034174,7.691459110558893e-17,0.20342564939052576,0.266128853306534,0.012135798,0.15777634535034174,3.0387567961388415e-16,0.2666373582252235
Int_Med_pp53_nuc,0.3704153269125632,1.8151732322612535e-90,0.11402765585044683,0.13110323588227146,0.002665842,0.3704153269125632,2.734104681093513e-89,0.25257386738134613
Int_Med_cycE_nuc,0.361543468093203,5.7340795043887424e-86,0.10308049790680163,0.1292146960933982,0.0015232979,0.361543468093203,7.677295336431595e-85,0.2447297547837035
Int_Med_pCHK1_nuc,0.3293488779009708,8.408262106252681e-71,0.1272247939811273,0.13310671930843299,0.0069970377,0.3293488779009708,1.0665216671615244e-69,0.24117919765935594
Int_Med_PCNA_ring,-0.2745114406756147,6.867407576079879e-49,0.08828691034022262,0.1938942683523006,0.003017713,0.2745114406756147,5.910875806554466e-48,0.2401116492052142
Int_Med_PCNA_cyto,-0.2745114406756147,6.867407576079879e-49,0.08828691034022262,0.1938942683523006,0.003017713,0.2745114406756147,5.910875806554466e-48,0.2401116492052142
Int_Med_BP1_nuc,0.2680758638404665,1.2694018306113264e-46,0.12021830042031068,0.16370363272085076,0.013557215,0.2680758638404665,1.0197528039244323e-45,0.2309512107787622
