feature,importance
AreaShape_Area_nuc,1.639686
Int_Intg_DNA_nuc,1.1032867
Int_Med_p21_nuc,0.65370584
Int_Med_pH2AX_nuc,0.62642074
Int_Med_Cdh1_nuc,0.6198709
Int_Med_cycA_nuc,0.60606086
Int_Med_CDK2_nuc,0.55688345
Int_Med_pp21_nuc,0.39911252
Int_Std_PCNA_nuc,0.19554585
Int_Med_Skp2_nuc,0.14247666
Int_Med_cycB1_cyto,0.1367825
Int_Med_cycB1_ring,0.1367825
Int_Med_E2F1_nuc,0.13054857
Int_Med_cycB1_nuc,0.12715204
Int_Med_cycB1_cell,0.12619255
Int_Med_Cdt1_nuc,0.054265983
Int_Med_cycA_cell,0.04739929
Int_Med_cycA_ring,0.004043836
Int_Med_cycA_cyto,0.004043836
Int_Med_p27_nuc,0.0002309084
