feature,variance
Int_Med_Skp2_nuc,0.031221703
Int_Med_pRB_nuc,0.026878322
Int_Med_cycA_nuc,0.024504459
Int_Std_PCNA_nuc,0.023470003
Int_Med_Fra1_nuc,0.021419603
Int_Med_AKT_nuc,0.021186927
Int_Med_Cdh1_nuc,0.017832275
Int_Med_YAP_cyto,0.017683873
Int_Med_YAP_ring,0.017683873
Int_MeanEdge_YAP_cell,0.017278602
Int_Med_p38_ring,0.017262222
Int_Med_p38_cyto,0.017262222
Int_Med_pERK_ring,0.016871948
Int_Med_pERK_cyto,0.016871948
Int_MeanEdge_cycB1_cell,0.01682797
Int_Med_p27_nuc,0.016722526
Int_Med_pERK_cell,0.016605178
Int_Med_YAP_nuc,0.016110195
Int_Med_pH2AX_nuc,0.015501865
Int_Med_CDK2_nuc,0.015399682
Int_Med_S6_cyto,0.014904062
Int_Med_S6_ring,0.014904062
Int_Intg_DNA_nuc,0.013663321
Int_Med_AKT_ring,0.013659527
Int_Med_AKT_cyto,0.013659527
Int_Med_pp27_cyto,0.013629197
Int_Med_pp27_ring,0.013629197
Int_Med_BP1_nuc,0.013557203
Int_MeanEdge_pERK_cell,0.013470189
Int_Med_p16_nuc,0.013392003
Int_Med_S6_cell,0.013303702
Int_Med_cycB1_ring,0.012809296
Int_Med_cycB1_cyto,0.012809296
Int_Med_pAKT_cell,0.012742515
Int_Med_pAKT_ring,0.012575388
Int_Med_pAKT_cyto,0.012575388
Int_MeanEdge_CDK2_cell,0.012188418
Int_Med_cycD1_nuc,0.012135805
Int_Med_p21_nuc,0.011806693
Int_Med_p38_cell,0.011759653
Int_Med_RB_nuc,0.011587773
Int_MeanEdge_pp53_cell,0.011557185
Int_Med_cycB1_cell,0.011533202
Int_MeanEdge_S6_cell,0.011213967
Int_Med_pGSK3b_cyto,0.01116385
Int_Med_pGSK3b_ring,0.01116385
Int_Med_YAP_cell,0.011011273
Int_Med_ERK_cell,0.010498822
Int_Med_cJun_nuc,0.01047288
Int_Med_pGSK3b_nuc,0.010136929
Int_Med_ERK_ring,0.010058904
Int_Med_ERK_cyto,0.010058904
Int_Med_AKT_cell,0.009883867
Int_Med_p14ARF_nuc,0.009769213
Int_Med_cFos_nuc,0.00964524
Int_Med_GSK3b_cell,0.009597353
Int_MeanEdge_AKT_cell,0.009520735
Int_Med_cycB1_nuc,0.00945933
Int_MeanEdge_pAKT_cell,0.009433483
Int_Med_CDK4_ring,0.009219067
Int_Med_CDK4_cyto,0.009219067
Int_Med_p53_nuc,0.009108955
Int_Med_pH2AX_cell,0.009096426
Int_Med_pGSK3b_cell,0.009048377
Int_Med_CDK2_cell,0.008838555
Int_Med_CDK2_ring,0.008563544
Int_Med_CDK2_cyto,0.008563544
Int_Med_pp65_nuc,0.008369559
Int_Med_pRSK_nuc,0.00836018
Int_Med_p14ARF_cell,0.008321489
Int_Med_pp27_cell,0.008034875
Int_MeanEdge_ERK_cell,0.007992668
Int_Med_CDK4_nuc,0.0079085305
Int_Med_Cdt1_nuc,0.0077581573
AreaShape_Area_nuc,0.007515461
Int_MeanEdge_pGSK3b_cell,0.007405834
Int_Med_pH2AX_ring,0.0073747844
Int_Med_pH2AX_cyto,0.0073747844
Int_MeanEdge_p38_cell,0.007337304
Int_Med_pAKT_nuc,0.007315478
Int_MeanEdge_bCat_cell,0.007303191
Int_Med_S6_nuc,0.007297246
Int_Med_cMyc_nuc,0.007061354
Int_Med_bCat_cell,0.0070284004
Int_Med_pCHK1_nuc,0.006997042
Int_MeanEdge_CDK4_cell,0.0068605
Int_Med_p14ARF_ring,0.006826223
Int_Med_p14ARF_cyto,0.006826223
Int_MeanEdge_pp38_cell,0.0065612365
Int_Med_CDK4_cell,0.0063810367
Int_Med_bCat_cyto,0.0063732318
Int_Med_bCat_ring,0.0063732318
Int_Med_GSK3b_nuc,0.0063704606
Int_MeanEdge_pp65_cell,0.006331088
Int_MeanEdge_cycD1_cell,0.006218958
Int_MeanEdge_RSK1_cell,0.006122501
Int_MeanEdge_pRB_cell,0.005965947
Int_MeanEdge_p14ARF_cell,0.005914233
Int_Med_p16_cell,0.0058932225
Int_MeanEdge_p16_cell,0.0058908295
Int_Med_STAT3_nuc,0.005865666
Int_MeanEdge_cFos_cell,0.0058656624
Int_Med_Bcl2_cell,0.0058607417
Int_Med_Bcl2_ring,0.005826879
Int_Med_Bcl2_cyto,0.005826879
Int_MeanEdge_pS6_cell,0.0057822876
Int_Med_ERK_nuc,0.005764394
Int_Med_E2F1_nuc,0.0055323867
Int_Med_Cdt1_ring,0.0054659117
Int_Med_Cdt1_cyto,0.0054659117
Int_MeanEdge_RB_cell,0.005328276
Int_MeanEdge_PCNA_cell,0.005313182
Int_Med_p16_cyto,0.0051652617
Int_Med_p16_ring,0.0051652617
Int_Med_Fra1_ring,0.0049609193
Int_Med_Fra1_cyto,0.0049609193
Int_MeanEdge_pH2AX_cell,0.0049003456
Int_MeanEdge_Cdh1_cell,0.004887204
Int_Med_pp21_ring,0.004834544
Int_Med_pp21_cyto,0.004834544
Int_Med_GSK3b_ring,0.0047890595
Int_Med_GSK3b_cyto,0.0047890595
Int_Med_pp38_nuc,0.004701226
