candidate_id,predicted_tg,nearest_vitrimer_idx,nearest_distance,nearest_acid_smiles,nearest_epoxide_smiles,nearest_actual_tg,nearest_md_tg
698,443.8790071990302,1283,0.8275446407743059,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,475.33984,563.8622
663,442.8909983279984,5526,0.7688664871643985,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,O=C(NCC1CO1)c1ccc(NC(=O)C2(CC3CO3)CCCC2)cc1,463.9671,551.3993
688,441.9136531705982,3644,0.7217521811416944,Cc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1C,Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,474.05914,562.4299
686,441.70424112126364,3644,0.8242048263701581,Cc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1C,Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,474.05914,562.4299
683,441.42880745230605,3644,0.6713056252063324,Cc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1C,Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,474.05914,562.4299
694,441.1545630328873,1283,0.7298186405263333,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,475.33984,563.8622
681,440.8738637327985,3644,0.73066937005799,Cc1ccc(Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1C,Cc1ccc(NC(=O)C(=O)Nc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cc1,474.05914,562.4299
664,440.5250712745152,5526,0.799219965218903,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,O=C(NCC1CO1)c1ccc(NC(=O)C2(CC3CO3)CCCC2)cc1,463.9671,551.3993
697,440.50119470987994,1283,0.8357868313099931,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,475.33984,563.8622
690,440.486483177049,1283,0.7843941367859857,O=C(O)c1ccc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,Cc1cc(NC(=O)c2ccc(C)c(OCC3CO3)c2)ccc1OCC1CO1,475.33984,563.8622
